,where,is,the,comparison,found,of,this,lord,'s,prayer,hymn,?
luther,0.15538732707500458,0.08282390236854553,0.1759674996137619,0.10471576452255249,0.04881587624549866,0.1719115972518921,0.17328955233097076,0.16014143824577332,-0.009990512393414974,0.23982968926429749,0.24335725605487823,0.1732746809720993
's,0.0007701900321990252,0.02396530658006668,-0.01540423184633255,0.03061027079820633,0.005866709165275097,-0.03817026689648628,0.02106832154095173,-0.00021723240206483752,0.9999999403953552,0.06618055701255798,0.01253789383918047,-0.023395681753754616
1538,0.042693059891462326,-0.08138345181941986,0.06727851927280426,0.0682399570941925,-0.014804071746766567,-0.04154718294739723,0.08381611853837967,-0.016110731288790703,-0.025364305824041367,-0.014228053390979767,-0.050408538430929184,0.1654166877269745
hymnic,0.21033532917499542,0.2499849945306778,0.26652225852012634,0.21245336532592773,0.1713951677083969,0.2967688739299774,0.25475698709487915,0.20575031638145447,0.015982117503881454,0.4346781075000763,0.7424775958061218,0.26386120915412903
version,0.18799389898777008,0.26673051714897156,0.27268242835998535,0.2830906808376312,0.10635600239038467,0.14166875183582306,0.27579987049102783,0.11218421161174774,-0.009124638512730598,0.16964641213417053,0.19262230396270752,0.2573966085910797
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2909576892852783,0.2982911467552185,1.0,0.45148900151252747,0.20127125084400177,-0.03817026689648628,0.18775463104248047,0.27317509055137634,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,1.0,0.2772393822669983,0.3452354073524475,0.733189046382904,0.6274310946464539,0.2489406019449234,-0.01540423184633255,0.2471906840801239,0.22713270783424377,0.22068053483963013
lord,0.14689426124095917,0.14423592388629913,0.2489406019449234,0.09697041660547256,0.11155424267053604,0.20127125084400177,0.17409808933734894,1.0000001192092896,-0.00021723240206483752,0.27337387204170227,0.23972555994987488,0.09544310718774796
's,0.0007701900321990252,0.02396530658006668,-0.01540423184633255,0.03061027079820633,0.005866709165275097,-0.03817026689648628,0.02106832154095173,-0.00021723240206483752,0.9999999403953552,0.06618055701255798,0.01253789383918047,-0.023395681753754616
prayer,0.1671883761882782,0.17994995415210724,0.2471906840801239,0.055557869374752045,0.14183220267295837,0.18775463104248047,0.2305622100830078,0.27337387204170227,0.06618055701255798,1.0000001192092896,0.35265955328941345,0.2122897058725357
