,when,people,take,on,debt,",",it,leads,potentially,to,what,?
the,0.5091903209686279,0.36838498711586,0.31620436906814575,0.5107308030128479,0.200801283121109,0.4933079481124878,0.6251175999641418,0.3400644361972809,0.269131064414978,0.535392165184021,0.42745697498321533,0.22068053483963013
result,0.32054403424263,0.1918027251958847,0.21445338428020477,0.22479186952114105,0.15645600855350494,0.23341737687587738,0.21765680611133575,0.26798784732818604,0.29241448640823364,0.23653174936771393,0.19945499300956726,0.17218433320522308
leads,0.24118760228157043,0.11166851967573166,0.3555101454257965,0.16108176112174988,0.1598069965839386,0.22268962860107422,0.14215582609176636,1.0000001192092896,0.2337660938501358,0.2697960138320923,0.17333360016345978,0.11554955691099167
to,0.5423505902290344,0.37275731563568115,0.4075521230697632,0.41031414270401,0.2523629069328308,0.44245919585227966,0.513711154460907,0.2697960138320923,0.4024839997291565,1.0,0.455847829580307,0.29463258385658264
even,0.5135882496833801,0.309556782245636,0.36487722396850586,0.297456830739975,0.24323660135269165,0.34610581398010254,0.4264930188655853,0.2125300168991089,0.41372111439704895,0.46467068791389465,0.40872135758399963,0.30082517862319946
greater,0.2015577107667923,0.25514882802963257,0.18426094949245453,0.15935756266117096,0.18450911343097687,0.25035545229911804,0.23357433080673218,0.15281657874584198,0.22433604300022125,0.25585630536079407,0.1946859508752823,0.09723397344350815
inequality,0.18042483925819397,0.2395709902048111,0.21151858568191528,0.16136983036994934,0.36175304651260376,0.21822890639305115,0.1806231439113617,0.2952685058116913,0.277012437582016,0.24361056089401245,0.30072227120399475,0.23619021475315094
and,0.4716290831565857,0.3016039729118347,0.296702116727829,0.4077630043029785,0.24152103066444397,0.6633074283599854,0.40957894921302795,0.28972697257995605,0.266715943813324,0.48971283435821533,0.31309178471565247,0.20544172823429108
potential,0.2868275046348572,0.09651848673820496,0.21415957808494568,0.21637758612632751,0.2484370917081833,0.23060423135757446,0.22285383939743042,0.27274343371391296,0.8087139129638672,0.3595958650112152,0.27308183908462524,0.20122039318084717
economic,0.16004443168640137,0.24503347277641296,0.12970860302448273,0.20757777988910675,0.3923816382884979,0.2340485155582428,0.2075573205947876,0.17593178153038025,0.29601427912712097,0.26856908202171326,0.18082544207572937,0.1206481084227562
instability,0.34193459153175354,0.15190957486629486,0.195920929312706,0.2502557933330536,0.2699195444583893,0.21491506695747375,0.24474965035915375,0.2735779881477356,0.37255167961120605,0.2809094190597534,0.26797956228256226,0.18248671293258667
.,0.475719153881073,0.33118996024131775,0.3045158088207245,0.49257001280784607,0.21830663084983826,0.6812511086463928,0.5593622326850891,0.2178809642791748,0.22438080608844757,0.4645031690597534,0.3567904531955719,0.4130953550338745
