,what,was,luther,involved,in,dealing,with,the,minds,in,mansfeld,?
luther,0.2134782373905182,0.19185513257980347,1.0,0.12428950518369675,0.20523880422115326,0.12133079767227173,0.14705438911914825,0.1759674996137619,0.2417827844619751,0.20523880422115326,0.29925280809402466,0.1732746809720993
journeyed,0.16895554959774017,0.3218499422073364,0.17946267127990723,0.1453380137681961,0.21078209578990936,0.2456873059272766,0.21665363013744354,0.2937592566013336,0.23617815971374512,0.21078209578990936,0.19637349247932434,0.043394725769758224
to,0.455847829580307,0.3636345863342285,0.18029534816741943,0.24297703802585602,0.45010748505592346,0.3146139085292816,0.4239959120750427,0.535392165184021,0.27614256739616394,0.45010748505592346,0.22356681525707245,0.29463258385658264
mansfeld,0.1572582721710205,0.25422683358192444,0.29925280809402466,0.1634804606437683,0.2820907533168793,0.17189255356788635,0.12417449057102203,0.22619470953941345,0.1700136363506317,0.2820907533168793,1.0000001192092896,0.17363522946834564
twice,0.20608042180538177,0.32907354831695557,0.09621664881706238,0.1955009400844574,0.2796696126461029,0.15504838526248932,0.2835121750831604,0.3638015687465668,0.04622212424874306,0.2796696126461029,0.1666582077741623,0.16248004138469696
in,0.30808621644973755,0.45514053106307983,0.20523880422115326,0.2988407015800476,1.0,0.3009101450443268,0.4080928862094879,0.6662389636039734,0.1497032642364502,1.0,0.2820907533168793,0.20430970191955566
late,0.1576872020959854,0.4393066465854645,0.14947126805782318,0.20841188728809357,0.3439198434352875,0.1304718255996704,0.2326577752828598,0.31481194496154785,0.20227661728858948,0.3439198434352875,0.17925235629081726,0.11339222639799118
1545,0.09490685164928436,-0.02688269503414631,0.04201095178723335,-0.06644704937934875,-0.09937114268541336,0.06703267246484756,-0.02168973907828331,-0.09684163331985474,0.08579215407371521,-0.09937114268541336,-0.012908709235489368,0.07005058974027634
to,0.455847829580307,0.3636345863342285,0.18029534816741943,0.24297703802585602,0.45010748505592346,0.3146139085292816,0.4239959120750427,0.535392165184021,0.27614256739616394,0.45010748505592346,0.22356681525707245,0.29463258385658264
participate,0.26813289523124695,0.15034474432468414,0.0875774621963501,0.40026479959487915,0.2822986841201782,0.2684769332408905,0.22955244779586792,0.24406622350215912,0.19323989748954773,0.2822986841201782,0.19578510522842407,0.2079276293516159
