,what,provided,much,of,the,basis,for,the,structure,of,the,parliament,in,1995,?
publishing,0.16863952577114105,0.17794235050678253,0.17647437751293182,0.22269268333911896,0.19456727802753448,0.2240011990070343,0.2092023640871048,0.19456727802753448,0.13943703472614288,0.22269268333911896,0.19456727802753448,0.2647039294242859,0.2093200981616974,0.03470967710018158,0.11419087648391724
its,0.30393704771995544,0.22010774910449982,0.31350770592689514,0.48690423369407654,0.559237003326416,0.27490729093551636,0.2992613911628723,0.559237003326416,0.31056487560272217,0.48690423369407654,0.559237003326416,0.23021577298641205,0.3793783485889435,-0.09866449981927872,0.15103481709957123
blueprint,0.3535868227481842,0.25339174270629883,0.21009768545627594,0.3022735118865967,0.2958637773990631,0.27919647097587585,0.27570995688438416,0.2958637773990631,0.2858918607234955,0.3022735118865967,0.2958637773990631,0.18789082765579224,0.268386572599411,-0.06776374578475952,0.2517049014568329
for,0.3017193675041199,0.38938868045806885,0.2994346022605896,0.4185989499092102,0.4739971458911896,0.34436357021331787,0.9999999403953552,0.4739971458911896,0.17053212225437164,0.4185989499092102,0.4739971458911896,0.23382046818733215,0.4322226941585541,0.017580198124051094,0.264628142118454
devolution,0.2737932801246643,0.21877552568912506,0.24206295609474182,0.3624095916748047,0.3272518813610077,0.37046051025390625,0.22887830436229706,0.3272518813610077,0.3402320444583893,0.3624095916748047,0.3272518813610077,0.4072609841823578,0.3030261993408203,0.0352906696498394,0.21433620154857635
in,0.30808621644973755,0.19033823907375336,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.24894960224628448,0.4322226941585541,0.6662389636039734,0.2992834448814392,0.5696388483047485,0.6662389636039734,0.2323146015405655,1.0,-0.06584297865629196,0.20430970191955566
1995,0.13580629229545593,-0.035959649831056595,0.0362694151699543,-0.03749867156147957,-0.025311529636383057,-0.002868311945348978,0.017580198124051094,-0.025311529636383057,-0.07394739985466003,-0.03749867156147957,-0.025311529636383057,0.1454886943101883,-0.06584297865629196,0.9999999403953552,0.14293554425239563
",",0.3087472915649414,0.27036961913108826,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.23746788501739502,0.4464869201183319,0.4933079481124878,0.20300157368183136,0.4946078956127167,0.4933079481124878,0.25442883372306824,0.5201468467712402,0.03718609735369682,0.31091248989105225
the,0.42745697498321533,0.304488867521286,0.35023224353790283,0.733189046382904,1.0,0.2758672833442688,0.4739971458911896,1.0,0.2933249771595001,0.733189046382904,1.0,0.26521381735801697,0.6662389636039734,-0.025311529636383057,0.22068053483963013
convention,0.17446810007095337,0.14543496072292328,0.17309828102588654,0.2509908974170685,0.2588678300380707,0.3151240348815918,0.2988576889038086,0.2588678300380707,0.18688367307186127,0.2509908974170685,0.2588678300380707,0.3056471645832062,0.22991126775741577,0.029525991529226303,0.1647067815065384
provided,0.2206064909696579,1.0,0.24202565848827362,0.272808313369751,0.304488867521286,0.3363610506057739,0.38938868045806885,0.304488867521286,0.17314119637012482,0.272808313369751,0.304488867521286,0.10871163755655289,0.19033823907375336,-0.035959649831056595,0.16893617808818817
much,0.45316147804260254,0.24202565848827362,0.9999998807907104,0.2671096920967102,0.35023224353790283,0.303716778755188,0.2994346022605896,0.35023224353790283,0.28896164894104004,0.2671096920967102,0.35023224353790283,0.162418931722641,0.2725222110748291,0.0362694151699543,0.23442231118679047
