,what,was,the,final,score,of,super,bowl,xxxiii,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.3131234347820282,0.22068053483963013
broncos,0.1787765771150589,0.23574475944042206,0.25985947251319885,0.2183726727962494,0.20637564361095428,0.19310332834720612,0.36141330003738403,0.4351775348186493,0.46111395955085754,0.18377114832401276
last,0.23175878822803497,0.32424551248550415,0.3698786795139313,0.4394223988056183,0.19008532166481018,0.3052992522716522,0.17231976985931396,0.20327796041965485,0.2604474425315857,0.22371746599674225
wore,0.16125711798667908,0.3308514654636383,0.2265123575925827,0.17472797632217407,0.1809670329093933,0.20192945003509521,0.16364960372447968,0.17592862248420715,0.21195809543132782,0.11052817106246948
matching,0.25211000442504883,0.09847573190927505,0.25132954120635986,0.21189992129802704,0.1823153793811798,0.22235850989818573,0.08712805807590485,0.16784971952438354,0.19846192002296448,0.2242019772529602
white,0.1410645991563797,0.17150278389453888,0.25492873787879944,0.11142368614673615,0.1086699441075325,0.23826628923416138,0.11256568133831024,0.17490817606449127,0.14468711614608765,0.124679796397686
jerseys,0.11635155230760574,0.18702057003974915,0.279405415058136,0.20415571331977844,0.18114502727985382,0.2144838273525238,0.23186436295509338,0.19441187381744385,0.28409475088119507,0.0964861810207367
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2635152339935303,0.16766662895679474,0.5116966962814331,0.18368244171142578,0.1698254644870758,0.18720266222953796,0.20544172823429108
pants,0.1608412116765976,0.15645967423915863,0.15805065631866455,0.14699774980545044,0.09760461747646332,0.12108626216650009,0.2106703817844391,0.2013835906982422,0.22776800394058228,0.17935864627361298
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25512343645095825,0.13240541517734528,0.5696388483047485,0.18576006591320038,0.17236235737800598,0.23179616034030914,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.3131234347820282,0.22068053483963013
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.18389330804347992,0.14868654310703278,0.14718765020370483,1.0000001192092896,0.4848237931728363,0.521435022354126,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.2308216542005539,0.18485401570796967,0.2243070751428604,0.4848237931728363,1.0,0.5332549810409546,0.21118052303791046
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25512343645095825,0.13240541517734528,0.5696388483047485,0.18576006591320038,0.17236235737800598,0.23179616034030914,0.20430970191955566
