,what,characteristic,did,tesla,say,helped,his,scientific,abilities,?
tesla,0.23221199214458466,0.14168396592140198,0.09757418930530548,0.9999999403953552,0.14495143294334412,0.09726529568433762,0.1580733060836792,0.2500409185886383,0.22979404032230377,0.10250775516033173
never,0.42662814259529114,0.21953122317790985,0.4329567551612854,0.09116636961698532,0.39930087327957153,0.22488832473754883,0.3670501708984375,0.1341542899608612,0.24344560503959656,0.24137508869171143
married,0.13977670669555664,0.0950070470571518,0.199991375207901,0.07507890462875366,0.15935306251049042,0.15718623995780945,0.3483057916164398,0.048791926354169846,0.07263219356536865,0.18062160909175873
;,0.10986888408660889,0.08271545171737671,0.10727239400148392,-0.03835732489824295,0.009675594046711922,0.060616496950387955,0.07100893557071686,0.08065993338823318,0.11818774044513702,0.10349778085947037
he,0.3114890456199646,0.15501604974269867,0.3292143940925598,0.12373391538858414,0.2822306752204895,0.332091748714447,0.7171558737754822,0.1930006891489029,0.19543595612049103,0.2089974731206894
said,0.3951668441295624,0.1864478439092636,0.5119821429252625,0.1453642100095749,0.6222705245018005,0.37216153740882874,0.34223124384880066,0.18301402032375336,0.23379626870155334,0.28991883993148804
his,0.26976513862609863,0.19348309934139252,0.3546801507472992,0.1580733060836792,0.21501833200454712,0.3259269595146179,0.9999998807907104,0.21954511106014252,0.3117562532424927,0.18075084686279297
chastity,0.269154816865921,0.28501081466674805,0.2133110761642456,0.1431749314069748,0.2813074588775635,0.09939371049404144,0.265537291765213,0.21690993010997772,0.261404424905777,0.1929284632205963
was,0.22111038863658905,0.15926383435726166,0.41399896144866943,0.16455206274986267,0.24911612272262573,0.384408563375473,0.4405253231525421,0.17888261377811432,0.10184995085000992,0.18412111699581146
very,0.37053924798965454,0.3459593653678894,0.3388260006904602,0.15882818400859833,0.34157973527908325,0.2816255986690521,0.28776130080223083,0.20745716989040375,0.2778775691986084,0.20864155888557434
helpful,0.3775959312915802,0.25256073474884033,0.2299293875694275,0.08937276154756546,0.35356155037879944,0.31506115198135376,0.1541360765695572,0.2337486296892166,0.37229490280151367,0.42450982332229614
to,0.455847829580307,0.26635119318962097,0.4452643394470215,0.17548894882202148,0.38071900606155396,0.42226478457450867,0.3715193271636963,0.26786625385284424,0.3397108018398285,0.29463258385658264
his,0.26976513862609863,0.19348309934139252,0.3546801507472992,0.1580733060836792,0.21501833200454712,0.3259269595146179,0.9999998807907104,0.21954511106014252,0.3117562532424927,0.18075084686279297
scientific,0.18922170996665955,0.22816255688667297,0.18252882361412048,0.2500409185886383,0.20950940251350403,0.1921687126159668,0.21954511106014252,1.0,0.21451905369758606,0.16215236485004425
abilities,0.24971850216388702,0.40790238976478577,0.2688460350036621,0.22979404032230377,0.2480703741312027,0.2863578498363495,0.3117562532424927,0.21451905369758606,1.0000001192092896,0.1976996213197708
.,0.3567904531955719,0.2017466127872467,0.35288307070732117,0.17949827015399933,0.33481550216674805,0.25779226422309875,0.3119256794452667,0.18281413614749908,0.2075580358505249,0.4130953550338745
