,under,elie,metchnikoff,'s,cellular,theory,",",what,cells,were,responsible,for,immune,response,?
according,0.19851656258106232,0.18536657094955444,0.14005815982818604,-0.0037221983075141907,0.048920419067144394,0.2092074304819107,0.3107093870639801,0.2776208221912384,0.11855778098106384,0.25184938311576843,0.2688092887401581,0.1956551969051361,0.14093175530433655,0.2148788869380951,0.21173474192619324
to,0.27177539467811584,0.1420959234237671,0.2659737765789032,0.03782717138528824,0.16043607890605927,0.21947365999221802,0.44245919585227966,0.455847829580307,0.26320719718933105,0.31913647055625916,0.19470079243183136,0.4451248347759247,0.2541976273059845,0.277526319026947,0.29463258385658264
the,0.3348022699356079,0.21759118139743805,0.2820717394351959,-0.01540423184633255,0.20089124143123627,0.2277156263589859,0.4933079481124878,0.42745697498321533,0.19095487892627716,0.3906462490558624,0.3305104374885559,0.4739971458911896,0.21364226937294006,0.28909924626350403,0.22068053483963013
cellular,0.08550556004047394,0.17412959039211273,0.3853710889816284,-0.05407495051622391,1.0000001192092896,0.24189800024032593,0.15201711654663086,0.17455364763736725,0.6283379793167114,0.05744476616382599,0.2244858592748642,0.1848229616880417,0.4188671410083771,0.22741952538490295,0.16428864002227783
theory,0.17844101786613464,0.2444058209657669,0.2979962229728699,-0.0025054612196981907,0.24189800024032593,0.9999999403953552,0.18095813691616058,0.297923743724823,0.18208518624305725,0.1573960781097412,0.20886042714118958,0.20500218868255615,0.2637048661708832,0.2616921067237854,0.1387292891740799
of,0.32766106724739075,0.16890323162078857,0.273300439119339,-0.03817026689648628,0.19871774315834045,0.23506702482700348,0.4946078956127167,0.33290785551071167,0.21305565536022186,0.34038281440734863,0.37070101499557495,0.4185989499092102,0.16620753705501556,0.21864040195941925,0.1826142966747284
immunity,0.15418215095996857,0.23165224492549896,0.2929466664791107,-0.030517444014549255,0.33158576488494873,0.2129906266927719,0.21605436503887177,0.21864116191864014,0.3603610694408417,0.19465433061122894,0.2234680950641632,0.19869372248649597,0.635888397693634,0.3737179636955261,0.16423189640045166
",",0.24875585734844208,0.23477554321289062,0.39484703540802,-0.0016132977325469255,0.15201711654663086,0.18095813691616058,1.0000001192092896,0.3087472915649414,0.20582014322280884,0.36755475401878357,0.2192283272743225,0.4464869201183319,0.15102852880954742,0.24039098620414734,0.31091248989105225
represented,0.16097238659858704,0.16685307025909424,0.16281811892986298,0.09158138185739517,0.1098458394408226,0.13868072628974915,0.3088570833206177,0.139044851064682,0.08092571794986725,0.2571416199207306,0.279263436794281,0.25933438539505005,0.10680476576089859,0.1827164888381958,0.11276352405548096
in,0.2535393238067627,0.22696031630039215,0.3360670804977417,-0.037580832839012146,0.20714080333709717,0.16955126821994781,0.5201468467712402,0.30808621644973755,0.1711641103029251,0.3815755248069763,0.24309778213500977,0.4322226941585541,0.14682820439338684,0.20744606852531433,0.20430970191955566
