,who,set,aside,seed,funding,for,the,week-long,event,leading,up,to,the,super,bowl,?
a,0.36608949303627014,0.2540091574192047,0.3305223286151886,0.1487489938735962,0.2314450591802597,0.44038116931915283,0.5829201340675354,0.2933846414089203,0.2635729908943176,0.26281067728996277,0.32523053884506226,0.45503583550453186,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.23916715383529663
professional,0.2792035639286041,0.07133602350950241,0.19971448183059692,0.05145369842648506,0.2047172486782074,0.2828660011291504,0.1869824379682541,0.1859694868326187,0.30099666118621826,0.19633011519908905,0.20478762686252594,0.20276802778244019,0.1869824379682541,0.2055639624595642,0.10252594947814941,0.13074518740177155
fundraiser,0.3207855224609375,0.2510615289211273,0.2601460814476013,0.1333134025335312,0.5940870642662048,0.366900235414505,0.23239782452583313,0.3776681423187256,0.2799789011478424,0.28531989455223083,0.2825576364994049,0.29414573311805725,0.23239782452583313,0.13603858649730682,0.14742133021354675,0.18370157480239868
will,0.24651563167572021,0.2575322389602661,0.2505806088447571,0.1880478858947754,0.32298097014427185,0.3647450804710388,0.3635469079017639,0.3474915027618408,0.2018716037273407,0.21032533049583435,0.3349364995956421,0.5091033577919006,0.3635469079017639,0.1544499397277832,0.1507955938577652,0.35046905279159546
aid,0.31013068556785583,0.12215106934309006,0.16927479207515717,0.1551855355501175,0.42415300011634827,0.28007441759109497,0.21952909231185913,0.1733655333518982,0.16743414103984833,0.19116441905498505,0.12057749181985855,0.2690417766571045,0.21952909231185913,0.10608575493097305,0.10107844322919846,0.08358026295900345
in,0.2792111933231354,0.2663729190826416,0.2715734839439392,0.16289909183979034,0.2074873298406601,0.4322226941585541,0.6662389636039734,0.3214828073978424,0.27304479479789734,0.33273574709892273,0.3120773434638977,0.45010748505592346,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.20430970191955566
finding,0.272481769323349,0.273723840713501,0.16061696410179138,0.10513422638177872,0.36106207966804504,0.34628403186798096,0.2933822274208069,0.23596978187561035,0.14264634251594543,0.22892843186855316,0.2107991725206375,0.29713475704193115,0.2933822274208069,0.11244530230760574,0.09264431893825531,0.18021653592586517
business,0.25227707624435425,0.18522502481937408,0.21004417538642883,0.1621437966823578,0.4091570973396301,0.2736336290836334,0.2389037162065506,0.28788116574287415,0.15981173515319824,0.2240794152021408,0.22579425573349,0.28079214692115784,0.2389037162065506,0.09769033640623093,0.08380642533302307,0.1545659303665161
sponsors,0.24083063006401062,0.07526770979166031,0.21385516226291656,0.11749958246946335,0.5065823793411255,0.29548242688179016,0.24524325132369995,0.22718499600887299,0.35723236203193665,0.22582224011421204,0.16932396590709686,0.21741999685764313,0.24524325132369995,0.13641707599163055,0.14229486882686615,0.11456003785133362
and,0.41279885172843933,0.27649927139282227,0.2829201817512512,0.17492708563804626,0.30138206481933594,0.5064792633056641,0.5171257257461548,0.37675920128822327,0.17869816720485687,0.34015700221061707,0.4032393991947174,0.48971283435821533,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
individual,0.30539795756340027,0.2548947334289551,0.255076140165329,0.24766039848327637,0.3008078932762146,0.33574938774108887,0.3706541955471039,0.23629111051559448,0.282617449760437,0.23925605416297913,0.2357223480939865,0.3278317153453827,0.3706541955471039,0.1529809981584549,0.12248928844928741,0.2058374285697937
donors,0.2512964904308319,0.12769803404808044,0.20086446404457092,0.18912887573242188,0.41673600673675537,0.33092764019966125,0.2651021480560303,0.2609133720397949,0.1854524314403534,0.24149882793426514,0.18656723201274872,0.2756665349006653,0.2651021480560303,0.052772894501686096,0.16245703399181366,0.1380949169397354
",",0.3365725874900818,0.24912182986736298,0.2501535415649414,0.13968035578727722,0.23183828592300415,0.4464869201183319,0.4933079481124878,0.4005611538887024,0.22701776027679443,0.25808972120285034,0.34193792939186096,0.44245919585227966,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
but,0.4487357437610626,0.2716006338596344,0.37186750769615173,0.2608969211578369,0.27101555466651917,0.45162561535835266,0.4859698414802551,0.33886638283729553,0.28904035687446594,0.20249201357364655,0.39005759358406067,0.5542377829551697,0.4859698414802551,0.21924501657485962,0.15839487314224243,0.27921953797340393
still,0.3870375156402588,0.21231889724731445,0.3693495988845825,0.15133021771907806,0.24723562598228455,0.37984156608581543,0.40142056345939636,0.3038899898529053,0.12876036763191223,0.20054714381694794,0.3128596842288971,0.41205283999443054,0.40142056345939636,0.18637657165527344,0.1228920966386795,0.3039587736129761
may,0.23082798719406128,0.18118330836296082,0.19297334551811218,0.12009415030479431,0.16677793860435486,0.29255861043930054,0.2694292366504669,0.28503257036209106,0.21385762095451355,0.21491189301013947,0.2067306935787201,0.391582727432251,0.2694292366504669,0.06435030698776245,0.13486415147781372,0.2768254578113556
need,0.24696506559848785,0.18241769075393677,0.30037808418273926,0.22547005116939545,0.263567179441452,0.3668079972267151,0.2594960331916809,0.3372141718864441,0.2079540640115738,0.1508151739835739,0.33754202723503113,0.42094892263412476,0.2594960331916809,0.15470245480537415,0.1174093559384346,0.40413710474967957
the,0.3733934462070465,0.2927955985069275,0.3075125813484192,0.2115030139684677,0.3006567358970642,0.4739971458911896,1.0,0.38099297881126404,0.2960145175457001,0.3809107840061188,0.38423117995262146,0.535392165184021,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
city,0.21073515713214874,0.20298238098621368,0.15483450889587402,0.13379868865013123,0.2155899554491043,0.18687109649181366,0.35769423842430115,0.3047522306442261,0.13720391690731049,0.1783791482448578,0.17179104685783386,0.20300441980361938,0.35769423842430115,0.14329007267951965,0.18699099123477936,0.13423943519592285
council,0.19620807468891144,0.14087197184562683,0.10447103530168533,0.11550010740756989,0.3168202340602875,0.1601620316505432,0.2829204201698303,0.20476588606834412,0.14536866545677185,0.08655718713998795,0.1345137059688568,0.23829470574855804,0.2829204201698303,0.07803991436958313,0.13730627298355103,0.1160062924027443
