,what,is,the,main,defense,mechanism,of,bacteria,known,as,?
immune,0.2410416603088379,0.2092347890138626,0.21364226937294006,0.16125424206256866,0.3479399085044861,0.4836464822292328,0.16620753705501556,0.41212543845176697,0.14558014273643494,0.17487213015556335,0.16080476343631744
systems,0.1871482878923416,0.23126937448978424,0.28089964389801025,0.13227014243602753,0.15043000876903534,0.3542206287384033,0.277031809091568,0.2171166092157364,0.1850762963294983,0.1958734095096588,0.1575973927974701
appear,0.2962318956851959,0.2552686333656311,0.3581200838088989,0.2128221094608307,0.15416307747364044,0.13463537395000458,0.2246912121772766,0.21829724311828613,0.2142091691493988,0.32869234681129456,0.22635367512702942
even,0.40872135758399963,0.28202980756759644,0.37996912002563477,0.14798124134540558,0.19768494367599487,0.21084661781787872,0.34735506772994995,0.298115611076355,0.21494261920452118,0.37670591473579407,0.30082517862319946
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.28862449526786804,0.20235490798950195,0.19862714409828186,0.5696388483047485,0.1903567910194397,0.32641831040382385,0.3887844979763031,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.2604767382144928,0.24941077828407288,0.733189046382904,0.1839996725320816,0.3624623417854309,0.48381632566452026,0.22068053483963013
structurally,0.25080808997154236,0.22290584444999695,0.24165211617946625,0.2127990871667862,0.14737488329410553,0.39537277817726135,0.20147353410720825,0.28605958819389343,0.16393086314201355,0.2689598798751831,0.1785702109336853
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.288818359375,0.18461458384990692,0.20657187700271606,0.4178851246833801,0.14577016234397888,0.3850763440132141,0.3548237979412079,0.2107497900724411
simple,0.4218197166919708,0.29377081990242004,0.24738673865795135,0.20272354781627655,0.13170979917049408,0.2672068774700165,0.23205730319023132,0.21700610220432281,0.16887317597866058,0.275139719247818,0.4614735543727875
forms,0.16334041953086853,0.35419854521751404,0.2950737178325653,0.20803265273571014,0.17163506150245667,0.2434433102607727,0.33835989236831665,0.27454015612602234,0.2655903995037079,0.265371173620224,0.1196754202246666
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.27720823884010315,0.21395906805992126,1.0,0.17966590821743011,0.35814476013183594,0.3886612355709076,0.1826142966747284
life,0.24693015217781067,0.2110576033592224,0.23528170585632324,0.16573810577392578,0.21896648406982422,0.17752686142921448,0.2788603901863098,0.2140149623155594,0.16769470274448395,0.23248597979545593,0.21677987277507782
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.21538467705249786,0.12176363915205002,0.4946078956127167,0.2358950972557068,0.3604377806186676,0.48816442489624023,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1962798684835434,0.19516409933567047,0.22127245366573334,0.41827285289764404,0.17902995645999908,0.23440474271774292,0.40387406945228577,0.2433311939239502
bacteria,0.1863701492547989,0.15164050459861755,0.1839996725320816,0.09482334554195404,0.12492453306913376,0.2902703285217285,0.17966590821743011,0.9999998807907104,0.1818506121635437,0.2039324790239334,0.18786604702472687
using,0.27984681725502014,0.26543745398521423,0.28364112973213196,0.1544642448425293,0.16531629860401154,0.2897803783416748,0.24298200011253357,0.22231441736221313,0.1587827354669571,0.31195345520973206,0.2804589569568634
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.27217230200767517,0.21441413462162018,0.2361949384212494,0.5052502155303955,0.19924654066562653,0.30882248282432556,0.39550232887268066,0.23916715383529663
unique,0.2536143958568573,0.3167116045951843,0.26165643334388733,0.1842012256383896,0.14895136654376984,0.17201612889766693,0.29481077194213867,0.26099178194999695,0.36083123087882996,0.2774978280067444,0.17680858075618744
defense,0.193815678358078,0.17166511714458466,0.2604767382144928,0.2044491171836853,1.0,0.301877498626709,0.27720823884010315,0.12492453306913376,0.1227164939045906,0.23991791903972626,0.21935760974884033
mechanism,0.2635997533798218,0.21533295512199402,0.24941077828407288,0.13524144887924194,0.301877498626709,1.0,0.21395906805992126,0.2902703285217285,0.1689223349094391,0.18819177150726318,0.1732848435640335
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.21538467705249786,0.12176363915205002,0.4946078956127167,0.2358950972557068,0.3604377806186676,0.48816442489624023,0.31091248989105225
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.2583436071872711,0.18206292390823364,0.25077199935913086,0.4222904443740845,0.2034970372915268,0.4469456970691681,0.2827680706977844,0.18963319063186646
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.2604767382144928,0.24941077828407288,0.733189046382904,0.1839996725320816,0.3624623417854309,0.48381632566452026,0.22068053483963013
restriction,0.3188212513923645,0.20708097517490387,0.2859073281288147,0.17019732296466827,0.21187828481197357,0.382080078125,0.23267412185668945,0.24018004536628723,0.13781757652759552,0.25294527411460876,0.2774273455142975
modification,0.23004505038261414,0.23001977801322937,0.2607528269290924,0.239723339676857,0.2274298369884491,0.43061667680740356,0.21708963811397552,0.30492979288101196,0.15672175586223602,0.2695973217487335,0.27161240577697754
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.13672471046447754,0.15304578840732574,0.318759560585022,0.25597915053367615,0.196626216173172,0.15005269646644592,0.1973835676908493,0.15556083619594574
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.26116618514060974,0.22797247767448425,0.24238377809524536,0.41548454761505127,0.19413231313228607,0.14337651431560516,0.42092081904411316,0.29463258385658264
protect,0.25314101576805115,0.17850741744041443,0.2559677064418793,0.2733987271785736,0.35615065693855286,0.19750942289829254,0.19880573451519012,0.17715074121952057,0.12559087574481964,0.2537829577922821,0.20180222392082214
themselves,0.34807315468788147,0.16502061486244202,0.3444426357746124,0.14458473026752472,0.2472625970840454,0.23571628332138062,0.2638634443283081,0.290338397026062,0.20754823088645935,0.28746727108955383,0.20170879364013672
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.22770823538303375,0.10595439374446869,0.11642146855592728,0.4249346852302551,0.21068820357322693,0.18996182084083557,0.3251767158508301,0.19969791173934937
viral,0.16982226073741913,0.19604195654392242,0.24132177233695984,0.10291723906993866,0.09301327913999557,0.3037857711315155,0.222082257270813,0.5462318062782288,0.24254703521728516,0.18177951872348785,0.15731066465377808
pathogens,0.24503889679908752,0.19907276332378387,0.23115308582782745,0.09334896504878998,0.2758696973323822,0.4077969491481781,0.22946582734584808,0.7157832980155945,0.21632184088230133,0.22061175107955933,0.21364152431488037
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.21538467705249786,0.12176363915205002,0.4946078956127167,0.2358950972557068,0.3604377806186676,0.48816442489624023,0.31091248989105225
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.2583436071872711,0.18206292390823364,0.25077199935913086,0.4222904443740845,0.2034970372915268,0.4469456970691681,0.2827680706977844,0.18963319063186646
bacteriophages,0.18435794115066528,0.16204839944839478,0.21909427642822266,0.13642758131027222,0.2310962826013565,0.4464254081249237,0.22295115888118744,0.8321173787117004,0.20494893193244934,0.20773111283779144,0.1619587242603302
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31122034788131714,0.26610422134399414,0.1935136765241623,0.5352458953857422,0.24264462292194366,0.283290296792984,0.515582263469696,0.4130953550338745
