,what,kind,of,universities,is,the,region,famous,for,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2619408071041107,0.5823672413825989,1.0,0.35020557045936584,0.28616565465927124,0.4739971458911896,0.22068053483963013
tech,0.15585371851921082,0.05668392404913902,0.2152935266494751,0.3019416332244873,0.1655074954032898,0.2296874225139618,0.14246107637882233,0.1591096669435501,0.14438574016094208,0.17427054047584534
coast,0.2200622260570526,0.15816666185855865,0.2811681628227234,0.2123379111289978,0.25204822421073914,0.28366661071777344,0.27730435132980347,0.1859794408082962,0.2135225236415863,0.15869849920272827
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.2421088069677353,1.0,0.5823672413825989,0.3317503035068512,0.26248517632484436,0.43268078565597534,0.22961433231830597
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.21368376910686493,0.658733606338501,0.5829201340675354,0.23209655284881592,0.26728492975234985,0.44038116931915283,0.23916715383529663
moniker,0.1562960296869278,0.2180553674697876,0.13126428425312042,0.13328786194324493,0.14707694947719574,0.14551545679569244,0.13095593452453613,0.20052403211593628,0.19838285446166992,0.17967860400676727
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.19889220595359802,0.3995479643344879,0.5473989248275757,0.20183102786540985,0.1761402189731598,0.4137635827064514,0.32716336846351624
has,0.20338068902492523,0.25336754322052,0.3909035325050354,0.2231019288301468,0.5668748617172241,0.4177538752555847,0.18160095810890198,0.23563779890537262,0.450642853975296,0.15994466841220856
gained,0.15457381308078766,0.14491769671440125,0.29895761609077454,0.15771278738975525,0.2201099395751953,0.29543522000312805,0.12352490425109863,0.1948971450328827,0.28392210602760315,0.11261032521724701
use,0.3453877568244934,0.39127564430236816,0.2750902473926544,0.18278881907463074,0.3357410430908203,0.34342584013938904,0.18071889877319336,0.1478712409734726,0.47655582427978516,0.32795652747154236
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.2182735651731491,0.43216490745544434,0.48381632566452026,0.17285758256912231,0.21419654786586761,0.44774648547172546,0.27043893933296204
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.21368376910686493,0.658733606338501,0.5829201340675354,0.23209655284881592,0.26728492975234985,0.44038116931915283,0.23916715383529663
descriptor,0.3625287115573883,0.32326602935791016,0.2772480249404907,0.11263053119182587,0.33003124594688416,0.3063916563987732,0.1959029585123062,0.18599779903888702,0.252880722284317,0.2425549477338791
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.2253284901380539,0.43268078565597534,0.4739971458911896,0.17531010508537292,0.2801532745361328,0.9999999403953552,0.264628142118454
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2619408071041107,0.5823672413825989,1.0,0.35020557045936584,0.28616565465927124,0.4739971458911896,0.22068053483963013
region,0.2298986315727234,0.16578975319862366,0.2852717339992523,0.25974422693252563,0.3317503035068512,0.35020557045936584,1.0,0.18606524169445038,0.17531010508537292,0.13441751897335052
's,0.02692362666130066,0.046514540910720825,-0.03817026689648628,0.006707479711622,0.02396530658006668,-0.01540423184633255,-0.058744437992572784,0.01744024269282818,-0.07241261005401611,-0.023395681753754616
diversified,0.12123613804578781,0.18081696331501007,0.2651498019695282,0.3333969712257385,0.16932843625545502,0.2821139991283417,0.18804365396499634,0.21640275418758392,0.11162314563989639,0.04989355057477951
technology,0.1940862536430359,0.15218472480773926,0.25238582491874695,0.34147414565086365,0.20767556130886078,0.21669498085975647,0.19629421830177307,0.12406064569950104,0.24007871747016907,0.11564995348453522
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3038506805896759,0.3859752118587494,0.5171257257461548,0.2372262328863144,0.2970265746116638,0.5064792633056641,0.20544172823429108
industrial,0.16054853796958923,0.14942404627799988,0.3120400011539459,0.32286936044692993,0.2672993242740631,0.30435431003570557,0.2722826600074768,0.24962031841278076,0.2770422399044037,0.08039500564336777
base,0.1336955726146698,0.15357530117034912,0.23717565834522247,0.15626990795135498,0.28868359327316284,0.2870652377605438,0.2056128978729248,0.07620027661323547,0.15657725930213928,0.10518061369657516
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.2182735651731491,0.43216490745544434,0.48381632566452026,0.17285758256912231,0.21419654786586761,0.44774648547172546,0.27043893933296204
well,0.4154493808746338,0.3272657096385956,0.3343164324760437,0.28245413303375244,0.33406564593315125,0.42630070447921753,0.2001243531703949,0.4244558811187744,0.46352139115333557,0.24815571308135986
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.2182735651731491,0.43216490745544434,0.48381632566452026,0.17285758256912231,0.21419654786586761,0.44774648547172546,0.27043893933296204
its,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.24170787632465363,0.4447362422943115,0.559237003326416,0.2717832922935486,0.23443712294101715,0.2992613911628723,0.15103481709957123
multitude,0.3254760205745697,0.2265866994857788,0.1932007372379303,0.2124335914850235,0.19410203397274017,0.22660435736179352,0.21303755044937134,0.10348106920719147,0.1502978652715683,0.1284782439470291
of,0.33290785551071167,0.2285657674074173,1.0,0.29948264360427856,0.4854315221309662,0.733189046382904,0.2852717339992523,0.3074295222759247,0.4185989499092102,0.1826142966747284
prestigious,0.11413072049617767,0.09438829869031906,0.26540738344192505,0.4526250958442688,0.21526983380317688,0.2841964662075043,0.2620536983013153,0.36459478735923767,0.25742247700691223,0.050204768776893616
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3038506805896759,0.3859752118587494,0.5171257257461548,0.2372262328863144,0.2970265746116638,0.5064792633056641,0.20544172823429108
world-renowned,0.12698569893836975,0.2025224268436432,0.3264079689979553,0.39681532979011536,0.2584953308105469,0.2999110519886017,0.2698630392551422,0.5260447859764099,0.27934592962265015,0.18230976164340973
research,0.237140491604805,0.15839476883411407,0.22573977708816528,0.43150097131729126,0.23478153347969055,0.24391183257102966,0.1994050294160843,0.08861950784921646,0.29481053352355957,0.13481977581977844
universities,0.1630716770887375,0.06965359300374985,0.29948264360427856,0.9999999403953552,0.2421088069677353,0.2619408071041107,0.25974422693252563,0.22453734278678894,0.2253284901380539,0.16836881637573242
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3038506805896759,0.3859752118587494,0.5171257257461548,0.2372262328863144,0.2970265746116638,0.5064792633056641,0.20544172823429108
other,0.341873437166214,0.2729318141937256,0.38583824038505554,0.32961708307266235,0.25895947217941284,0.44152235984802246,0.20447027683258057,0.23237358033657074,0.3273986279964447,0.24682199954986572
public,0.1729622185230255,0.12321480363607407,0.2391265481710434,0.3672715425491333,0.1980048567056656,0.22857438027858734,0.13099455833435059,0.1829574555158615,0.3092794418334961,0.19872993230819702
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3038506805896759,0.3859752118587494,0.5171257257461548,0.2372262328863144,0.2970265746116638,0.5064792633056641,0.20544172823429108
private,0.16778090596199036,0.17179736495018005,0.18706899881362915,0.3659079670906067,0.1420905888080597,0.18291357159614563,0.09587900340557098,0.2003362625837326,0.22242696583271027,0.14389030635356903
institutions,0.22018329799175262,0.1758316457271576,0.3371490240097046,0.5808476805686951,0.14988303184509277,0.2776423394680023,0.22350692749023438,0.20099303126335144,0.26791197061538696,0.19119486212730408
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2545505464076996,0.4569662809371948,0.5934505462646484,0.2506107687950134,0.2322506159543991,0.4726039469242096,0.4130953550338745
