,at,what,degree,are,the,pistons,of,a,two-cylinder,compound,connected,to,the,cranks,?
with,0.29126521944999695,0.2464839518070221,0.20720073580741882,0.38996943831443787,0.4223487675189972,0.26753267645835876,0.41827285289764404,0.3783375024795532,0.2808476984500885,0.21534183621406555,0.28264787793159485,0.4239959120750427,0.4223487675189972,0.30906689167022705,0.2433311939239502
two-cylinder,0.2139410376548767,0.1208973154425621,0.2249847799539566,0.22258992493152618,0.23971812427043915,0.4628579616546631,0.20004141330718994,0.3007708191871643,1.0,0.34083065390586853,0.22066690027713776,0.2076745182275772,0.23971812427043915,0.3998902142047882,0.1583930402994156
compounds,0.169922336935997,0.19472219049930573,0.17245268821716309,0.3708919882774353,0.18294313549995422,0.2477543205022812,0.232599675655365,0.23579706251621246,0.3359343707561493,0.8823803067207336,0.18426138162612915,0.29820382595062256,0.18294313549995422,0.25051483511924744,0.2057836651802063
used,0.22295412421226501,0.27546408772468567,0.14595767855644226,0.3322218656539917,0.3718377649784088,0.21412789821624756,0.3075267970561981,0.3864384889602661,0.3026164472103119,0.3038730025291443,0.30594226717948914,0.40058770775794983,0.3718377649784088,0.2007971554994583,0.22430120408535004
in,0.4374977946281433,0.30808621644973755,0.28089648485183716,0.3841303884983063,0.6662389636039734,0.24242204427719116,0.5696388483047485,0.539380669593811,0.2143358439207077,0.20910684764385223,0.28792381286621094,0.45010748505592346,0.6662389636039734,0.19239495694637299,0.20430970191955566
railway,0.19894804060459137,0.16704553365707397,0.11026377230882645,0.16314223408699036,0.2692219316959381,0.13924537599086761,0.21322962641716003,0.23760579526424408,0.20721478760242462,0.10644693672657013,0.3229881525039673,0.20460735261440277,0.2692219316959381,0.16761188209056854,0.07994066178798676
work,0.24906395375728607,0.3762225806713104,0.2486126571893692,0.26678818464279175,0.2704800069332123,0.18908491730690002,0.23473061621189117,0.266241192817688,0.20229589939117432,0.1485278457403183,0.20124301314353943,0.3482864499092102,0.2704800069332123,0.20915009081363678,0.2621155381202698
",",0.38314947485923767,0.3087472915649414,0.1912073791027069,0.4062570035457611,0.4933079481124878,0.25920015573501587,0.4946078956127167,0.427140474319458,0.20920050144195557,0.19082562625408173,0.2201492041349411,0.44245919585227966,0.4933079481124878,0.27227526903152466,0.31091248989105225
the,0.457212895154953,0.42745697498321533,0.20765221118927002,0.40399202704429626,1.0,0.278138667345047,0.733189046382904,0.5829201340675354,0.23971812427043915,0.18848907947540283,0.31369513273239136,0.535392165184021,1.0,0.33573660254478455,0.22068053483963013
pistons,0.2331906408071518,0.14228332042694092,0.17972488701343536,0.24051342904567719,0.278138667345047,0.9999999403953552,0.20359718799591064,0.24513056874275208,0.4628579616546631,0.18791545927524567,0.19459326565265656,0.2704523503780365,0.278138667345047,0.45044583082199097,0.16843746602535248
are,0.2074895054101944,0.29724663496017456,0.15332596004009247,1.0,0.40399202704429626,0.24051342904567719,0.39081433415412903,0.265255331993103,0.22258992493152618,0.27501243352890015,0.33255407214164734,0.3504326641559601,0.40399202704429626,0.2896965742111206,0.24591213464736938
connected,0.23600004613399506,0.21880124509334564,0.12778863310813904,0.33255407214164734,0.31369513273239136,0.19459326565265656,0.2951911687850952,0.24938417971134186,0.22066690027713776,0.16382968425750732,1.0,0.2315610647201538,0.31369513273239136,0.18805095553398132,0.11086785048246384
