,when,was,zia-ul-haq,killed,?
zia-ul-haq,0.17593058943748474,0.2723572254180908,1.0,0.2203376442193985,0.21305955946445465
was,0.37326499819755554,1.0000001192092896,0.2723572254180908,0.31229376792907715,0.18412111699581146
killed,0.2550056278705597,0.31229376792907715,0.2203376442193985,0.9999998807907104,0.17928971350193024
in,0.4431333839893341,0.45514053106307983,0.22364242374897003,0.1957504004240036,0.20430970191955566
1988,-0.1402929574251175,0.06523006409406662,0.2258618324995041,0.044466782361269,0.08449683338403702
but,0.5599016547203064,0.36023372411727905,0.1646994948387146,0.2286493480205536,0.27921953797340393
islamization,0.2594495117664337,0.20866511762142181,0.5125686526298523,0.13256624341011047,0.24860025942325592
remains,0.2758557200431824,0.34667134284973145,0.11772073060274124,0.23532414436340332,0.1479063630104065
an,0.33026179671287537,0.3694365322589874,0.19184090197086334,0.1452481895685196,0.19793890416622162
important,0.24781537055969238,0.24924467504024506,0.15844197571277618,0.15394626557826996,0.17812499403953552
element,0.24271050095558167,0.17419062554836273,0.22314530611038208,0.09416412562131882,0.18393386900424957
in,0.4431333839893341,0.45514053106307983,0.22364242374897003,0.1957504004240036,0.20430970191955566
pakistani,0.15695345401763916,0.20068155229091644,0.5192727446556091,0.15346446633338928,0.13618601858615875
society,0.17042754590511322,0.21627455949783325,0.17675213515758514,0.10400991886854172,0.1373005360364914
.,0.475719153881073,0.40146201848983765,0.26902973651885986,0.2666846215724945,0.4130953550338745
