,who,is,the,museum,named,for,?
it,0.2868398427963257,0.6328473687171936,0.6251175999641418,0.18497297167778015,0.27125322818756104,0.32171204686164856,0.25732165575027466
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.21266788244247437,0.37528327107429504,0.3863949179649353,0.18412111699581146
founded,0.2723641097545624,0.21368175745010376,0.2840350568294525,0.24418509006500244,0.3635748326778412,0.13431425392627716,0.09119737893342972
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.2407650351524353,0.28130269050598145,0.4322226941585541,0.20430970191955566
1852,-0.006907804403454065,0.04912298545241356,0.008079012855887413,-0.05839924141764641,0.02766147442162037,-0.012239672243595123,0.006410371046513319
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.21554097533226013,0.23097854852676392,0.5064792633056641,0.20544172823429108
named,0.38541290163993835,0.28335005044937134,0.3521348536014557,0.15080158412456512,1.0,0.22057102620601654,0.1297498345375061
after,0.32549580931663513,0.2835143506526947,0.4565047025680542,0.14579711854457855,0.4528660774230957,0.3650246858596802,0.16608688235282898
queen,0.20093972980976105,0.19885572791099548,0.24681736528873444,0.16492700576782227,0.1884787678718567,0.15831752121448517,0.17460165917873383
victoria,0.1687670201063156,0.1633591204881668,0.2204313427209854,0.16867820918560028,0.19399461150169373,0.18287640810012817,0.12246892601251602
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.21554097533226013,0.23097854852676392,0.5064792633056641,0.20544172823429108
prince,0.19059205055236816,0.18090571463108063,0.24284426867961884,0.11867308616638184,0.148915097117424,0.12641793489456177,0.15431542694568634
albert,0.20950829982757568,0.14875668287277222,0.17599669098854065,0.17505663633346558,0.18688665330410004,0.19380667805671692,0.15350762009620667
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.19497929513454437,0.24760639667510986,0.4726039469242096,0.4130953550338745
