,can,the,president,of,the,council,vote,on,important,matters,related,to,the,european,central,bank,?
the,0.312528520822525,1.0,0.24330610036849976,0.733189046382904,1.0,0.2829204201698303,0.22779929637908936,0.5107308030128479,0.39348116517066956,0.32925453782081604,0.26962998509407043,0.535392165184021,1.0,0.3423081040382385,0.3417201042175293,0.3216422498226166,0.22068053483963013
president,0.06478694081306458,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.24330610036849976,0.2747114896774292,0.3003843128681183,0.18996542692184448,0.12299366295337677,0.22814364731311798,0.13858048617839813,0.21247753500938416,0.24330610036849976,0.19107700884342194,0.16655924916267395,0.21080857515335083,0.14148259162902832
of,0.2603091299533844,0.733189046382904,0.21610750257968903,1.0,0.733189046382904,0.2972237169742584,0.19845709204673767,0.3966929316520691,0.43301743268966675,0.298933744430542,0.2691357135772705,0.41548454761505127,0.733189046382904,0.2507138252258301,0.3415789008140564,0.2346848100423813,0.1826142966747284
the,0.312528520822525,1.0,0.24330610036849976,0.733189046382904,1.0,0.2829204201698303,0.22779929637908936,0.5107308030128479,0.39348116517066956,0.32925453782081604,0.26962998509407043,0.535392165184021,1.0,0.3423081040382385,0.3417201042175293,0.3216422498226166,0.22068053483963013
council,0.12142665684223175,0.2829204201698303,0.2747114896774292,0.2972237169742584,0.2829204201698303,1.0,0.3168671727180481,0.16224971413612366,0.15985533595085144,0.3681009113788605,0.08846557885408401,0.23829470574855804,0.2829204201698303,0.2610081732273102,0.20783263444900513,0.24037444591522217,0.1160062924027443
and,0.3675691485404968,0.5171257257461548,0.23286236822605133,0.5116966962814331,0.5171257257461548,0.25117602944374084,0.1828758865594864,0.4077630043029785,0.37549954652786255,0.3753611743450165,0.27869361639022827,0.48971283435821533,0.5171257257461548,0.24143946170806885,0.2465941160917282,0.23291631042957306,0.20544172823429108
a,0.3915780484676361,0.5829201340675354,0.16959697008132935,0.5052502155303955,0.5829201340675354,0.16385574638843536,0.21813347935676575,0.3848365545272827,0.2963852882385254,0.25797080993652344,0.21209308505058289,0.45503583550453186,0.5829201340675354,0.2254103124141693,0.26925721764564514,0.22206707298755646,0.23916715383529663
commissioner,0.08170060068368912,0.25271227955818176,0.3574775457382202,0.233353391289711,0.25271227955818176,0.4006367623806,0.20059889554977417,0.17557738721370697,0.16514143347740173,0.31376904249191284,0.0904376208782196,0.21615050733089447,0.25271227955818176,0.2403787225484848,0.15644970536231995,0.24603521823883057,0.1209191158413887
can,1.0,0.312528520822525,0.06478694081306458,0.2603091299533844,0.312528520822525,0.12142665684223175,0.20820198953151703,0.2772369682788849,0.2711654007434845,0.3273395895957947,0.19034971296787262,0.4979398250579834,0.312528520822525,0.14084136486053467,0.131996750831604,0.08828950673341751,0.3226337134838104
sit,0.2426762729883194,0.21260488033294678,0.11626706272363663,0.17225311696529388,0.21260488033294678,0.09011825919151306,0.27737846970558167,0.17279043793678284,0.12121672928333282,0.20551927387714386,0.11618717014789581,0.21244771778583527,0.21260488033294678,0.09484940767288208,0.15067490935325623,0.08140793442726135,0.19120019674301147
in,0.26527702808380127,0.6662389636039734,0.18811661005020142,0.5696388483047485,0.6662389636039734,0.2689173221588135,0.21458156406879425,0.46853652596473694,0.3796374499797821,0.22737738490104675,0.2638801634311676,0.45010748505592346,0.6662389636039734,0.23319172859191895,0.30844059586524963,0.2690856158733368,0.20430970191955566
on,0.2772369682788849,0.5107308030128479,0.18996542692184448,0.3966929316520691,0.5107308030128479,0.16224971413612366,0.23685438930988312,0.9999999403953552,0.23164092004299164,0.2929304540157318,0.21967367827892303,0.41031414270401,0.5107308030128479,0.19710737466812134,0.242094486951828,0.21732264757156372,0.2714994251728058
ecb,0.19525054097175598,0.21182040870189667,0.13101311028003693,0.22225256264209747,0.21182040870189667,0.3316376209259033,0.17493359744548798,0.17771600186824799,0.15867699682712555,0.2386743426322937,0.12115344405174255,0.1792391985654831,0.21182040870189667,0.21993735432624817,0.21072733402252197,0.24939213693141937,0.26676657795906067
meetings,0.20386868715286255,0.31532901525497437,0.263705313205719,0.23476074635982513,0.31532901525497437,0.45088788866996765,0.31244418025016785,0.2744849622249603,0.2622082233428955,0.46407434344291687,0.1544521450996399,0.2931969165802002,0.31532901525497437,0.289263516664505,0.1797914355993271,0.13128884136676788,0.17293356359004974
",",0.3139454126358032,0.4933079481124878,0.26552814245224,0.4946078956127167,0.4933079481124878,0.23820561170578003,0.27201512455940247,0.49057599902153015,0.3452564477920532,0.3183421194553375,0.28963401913642883,0.44245919585227966,0.4933079481124878,0.19684812426567078,0.2587154507637024,0.2756500244140625,0.31091248989105225
but,0.4161612093448639,0.4859698414802551,0.16334708034992218,0.39942997694015503,0.4859698414802551,0.21318432688713074,0.335405170917511,0.3584071099758148,0.29821017384529114,0.41905611753463745,0.24336588382720947,0.5542377829551697,0.4859698414802551,0.20225681364536285,0.12442533671855927,0.1802080273628235,0.27921953797340393
do,0.45775556564331055,0.30239659547805786,0.15047983825206757,0.26150479912757874,0.30239659547805786,0.10125786811113358,0.23587724566459656,0.3025321364402771,0.3145715296268463,0.29232457280158997,0.21855129301548004,0.38876664638519287,0.30239659547805786,0.14099381864070892,0.17118939757347107,0.0975152775645256,0.4093979299068451
not,0.49270012974739075,0.4310511648654938,0.12908896803855896,0.3307090103626251,0.4310511648654938,0.16596728563308716,0.331701397895813,0.3516409695148468,0.2887309193611145,0.39304685592651367,0.2465992122888565,0.5149973034858704,0.4310511648654938,0.20631356537342072,0.18825478851795197,0.16714131832122803,0.41942933201789856
have,0.5489245653152466,0.40389683842658997,0.13375303149223328,0.3802283704280853,0.40389683842658997,0.1461305320262909,0.26096346974372864,0.36494916677474976,0.31485000252723694,0.35794776678085327,0.3106505870819092,0.4544740617275238,0.40389683842658997,0.19048169255256653,0.20610825717449188,0.1506093144416809,0.32991164922714233
voting,0.24016720056533813,0.26425203680992126,0.28368422389030457,0.19275255501270294,0.26425203680992126,0.24867349863052368,0.7671977281570435,0.23323959112167358,0.14953839778900146,0.33951807022094727,0.09044381231069565,0.2493610978126526,0.26425203680992126,0.2022724747657776,0.12197567522525787,0.13614195585250854,0.31114646792411804
rights,0.1727154403924942,0.2579100430011749,0.24519474804401398,0.19425496459007263,0.2579100430011749,0.23208506405353546,0.3405036926269531,0.22401921451091766,0.21105928719043732,0.3648969531059265,0.15765689313411713,0.2570022940635681,0.2579100430011749,0.20173384249210358,0.08245737850666046,0.16969169676303864,0.21814769506454468
