,what,strains,of,y.,pestis,were,found,in,the,mass,graves,?
these,0.4164220690727234,0.3780275881290436,0.42684608697891235,0.07766048610210419,0.2972303032875061,0.587685227394104,0.30648550391197205,0.3791837692260742,0.49086877703666687,0.23959819972515106,0.19436252117156982,0.2571668326854706
clades,0.21586823463439941,0.3971828818321228,0.25594544410705566,0.06665175408124924,0.32047635316848755,0.28101325035095215,0.2224826216697693,0.17964375019073486,0.2675536870956421,0.17499330639839172,0.15269812941551208,0.17848095297813416
(,0.2411840260028839,0.11020202189683914,0.35032153129577637,0.13315913081169128,0.165696382522583,0.14743882417678833,0.1583331823348999,0.3087427020072937,0.33289089798927307,0.16710513830184937,0.1952846348285675,0.40561532974243164
which,0.5261979103088379,0.28654178977012634,0.5011631846427917,0.07363233715295792,0.3103539049625397,0.2807837128639221,0.25134438276290894,0.4840516746044159,0.6521818041801453,0.2918572425842285,0.18872812390327454,0.25814583897590637
are,0.29724663496017456,0.32726290822029114,0.39081433415412903,0.02955223061144352,0.2383180856704712,0.6489362716674805,0.2740558087825775,0.3841303884983063,0.40399202704429626,0.19478152692317963,0.18553313612937927,0.24591213464736938
thought,0.4469435214996338,0.24023497104644775,0.34673458337783813,-0.1321345418691635,0.25360268354415894,0.40236467123031616,0.372762531042099,0.24524326622486115,0.3509289622306824,0.26066216826438904,0.2485206574201584,0.2600135803222656
to,0.455847829580307,0.2623961269855499,0.41548454761505127,0.06021231412887573,0.20381589233875275,0.31913647055625916,0.25225648283958435,0.45010748505592346,0.535392165184021,0.20907121896743774,0.21795877814292908,0.29463258385658264
be,0.3929833769798279,0.2750367820262909,0.33904364705085754,0.13265995681285858,0.27711811661720276,0.4064064621925354,0.23313552141189575,0.3481820821762085,0.4248143136501312,0.2344316840171814,0.15928219258785248,0.3324260413646698
extinct,0.1671062558889389,0.23111775517463684,0.22219842672348022,0.008805355988442898,0.2809530794620514,0.17230606079101562,0.20768728852272034,0.16810175776481628,0.21509680151939392,0.14173296093940735,0.14207078516483307,0.13103057444095612
),0.26259949803352356,0.11832748353481293,0.3680361211299896,0.14017075300216675,0.15671733021736145,0.1566188633441925,0.16750772297382355,0.3326910734176636,0.3456730246543884,0.18670302629470825,0.18893533945083618,0.42300865054130554
were,0.22298263013362885,0.2279212325811386,0.34038281440734863,-0.10727162659168243,0.19339026510715485,1.0000001192092896,0.23296621441841125,0.3815755248069763,0.3906462490558624,0.2088848054409027,0.308952659368515,0.17890112102031708
found,0.1796332150697708,0.2600105404853821,0.2982911467552185,-0.03475420922040939,0.22019493579864502,0.23296621441841125,0.9999999403953552,0.39141854643821716,0.3452354073524475,0.17981718480587006,0.26971909403800964,0.16790300607681274
to,0.455847829580307,0.2623961269855499,0.41548454761505127,0.06021231412887573,0.20381589233875275,0.31913647055625916,0.25225648283958435,0.45010748505592346,0.535392165184021,0.20907121896743774,0.21795877814292908,0.29463258385658264
be,0.3929833769798279,0.2750367820262909,0.33904364705085754,0.13265995681285858,0.27711811661720276,0.4064064621925354,0.23313552141189575,0.3481820821762085,0.4248143136501312,0.2344316840171814,0.15928219258785248,0.3324260413646698
ancestral,0.17634287476539612,0.24299973249435425,0.31762784719467163,-0.04984690994024277,0.25893470644950867,0.27439573407173157,0.26548516750335693,0.22662998735904694,0.274385929107666,0.12087833881378174,0.21190151572227478,0.11722901463508606
to,0.455847829580307,0.2623961269855499,0.41548454761505127,0.06021231412887573,0.20381589233875275,0.31913647055625916,0.25225648283958435,0.45010748505592346,0.535392165184021,0.20907121896743774,0.21795877814292908,0.29463258385658264
modern,0.2655639946460724,0.1961035132408142,0.3482828736305237,-0.0545920804142952,0.12665799260139465,0.2078569084405899,0.16013142466545105,0.29808807373046875,0.3283970355987549,0.14027468860149384,0.13431581854820251,0.12475407868623734
isolates,0.22660017013549805,0.33813175559043884,0.24662165343761444,0.15528593957424164,0.1624472290277481,0.11510654538869858,0.22178426384925842,0.22972838580608368,0.2699366807937622,0.1339685171842575,0.11615059524774551,0.1288473755121231
