,on,whose,comments,is,the,posting,on,the,door,based,?
the,0.5107308030128479,0.38253846764564514,0.25228628516197205,0.5823672413825989,1.0,0.2761021852493286,0.5107308030128479,1.0,0.23557746410369873,0.29860720038414,0.22068053483963013
story,0.20766423642635345,0.20857010781764984,0.21209187805652618,0.21414481103420258,0.2915393114089966,0.2076362818479538,0.20766423642635345,0.2915393114089966,0.24212124943733215,0.31024232506752014,0.2304346114397049
is,0.3635730445384979,0.26491984724998474,0.24300244450569153,1.0,0.5823672413825989,0.2164599746465683,0.3635730445384979,0.5823672413825989,0.17586170136928558,0.3248139023780823,0.22961433231830597
based,0.36055147647857666,0.20902396738529205,0.24886472523212433,0.3248139023780823,0.29860720038414,0.16422469913959503,0.36055147647857666,0.29860720038414,0.12346886843442917,1.0000001192092896,0.134929820895195
on,0.9999999403953552,0.17062877118587494,0.34911417961120605,0.3635730445384979,0.5107308030128479,0.3099772334098816,0.9999999403953552,0.5107308030128479,0.16448314487934113,0.36055147647857666,0.2714994251728058
comments,0.34911417961120605,0.123116135597229,1.0000001192092896,0.24300244450569153,0.25228628516197205,0.42702528834342957,0.34911417961120605,0.25228628516197205,0.18222656846046448,0.24886472523212433,0.3595547676086426
made,0.37619519233703613,0.1889038383960724,0.43664512038230896,0.29543453454971313,0.3885267674922943,0.21754474937915802,0.37619519233703613,0.3885267674922943,0.15084990859031677,0.3004448413848877,0.17218779027462006
by,0.33887791633605957,0.3384193778038025,0.22967104613780975,0.3899846076965332,0.4408751428127289,0.19449356198310852,0.33887791633605957,0.4408751428127289,0.16735400259494781,0.3462308943271637,0.17966607213020325
philipp,0.11743269115686417,0.15929879248142242,0.18176323175430298,0.07510848343372345,0.15171875059604645,0.16969677805900574,0.11743269115686417,0.15171875059604645,0.06346696615219116,0.05359411984682083,0.14114081859588623
melanchthon,0.10151411592960358,0.14633218944072723,0.2121373414993286,0.24596455693244934,0.17877939343452454,0.10316509753465652,0.10151411592960358,0.17877939343452454,0.10488363355398178,0.1999920904636383,0.14275860786437988
",",0.49057599902153015,0.25601375102996826,0.2937995195388794,0.4691906273365021,0.4933079481124878,0.25699013471603394,0.49057599902153015,0.4933079481124878,0.1610245406627655,0.27976205945014954,0.31091248989105225
though,0.3181023597717285,0.3198091387748718,0.32714229822158813,0.3265945613384247,0.38776206970214844,0.2807733416557312,0.3181023597717285,0.38776206970214844,0.13974668085575104,0.21154214441776276,0.3188856542110443
it,0.4529881477355957,0.24409078061580658,0.32445016503334045,0.6328473687171936,0.6251175999641418,0.27481287717819214,0.4529881477355957,0.6251175999641418,0.21083283424377441,0.304902046918869,0.25732165575027466
is,0.3635730445384979,0.26491984724998474,0.24300244450569153,1.0,0.5823672413825989,0.2164599746465683,0.3635730445384979,0.5823672413825989,0.17586170136928558,0.3248139023780823,0.22961433231830597
thought,0.225023552775383,0.26686781644821167,0.27925029397010803,0.28001952171325684,0.3509289622306824,0.17822875082492828,0.225023552775383,0.3509289622306824,0.10232559591531754,0.19774867594242096,0.2600135803222656
that,0.42569106817245483,0.3740115463733673,0.3151260316371918,0.3995479643344879,0.5473989248275757,0.3742193281650543,0.42569106817245483,0.5473989248275757,0.19322742521762848,0.31403544545173645,0.32716336846351624
he,0.32403138279914856,0.21916402876377106,0.20259244740009308,0.36230841279029846,0.4571082592010498,0.215692400932312,0.32403138279914856,0.4571082592010498,0.14369863271713257,0.1603626310825348,0.2089974731206894
was,0.3909217119216919,0.2162860482931137,0.19956475496292114,0.5810302495956421,0.48711544275283813,0.18225519359111786,0.3909217119216919,0.48711544275283813,0.1678711622953415,0.2870393395423889,0.18412111699581146
not,0.3516409695148468,0.36739736795425415,0.4289281666278839,0.3776007890701294,0.4310511648654938,0.32338905334472656,0.3516409695148468,0.4310511648654938,0.1756858378648758,0.20628370344638824,0.41942933201789856
in,0.46853652596473694,0.23496666550636292,0.17926956713199615,0.5394441485404968,0.6662389636039734,0.21238498389720917,0.46853652596473694,0.6662389636039734,0.20952431857585907,0.3070422410964966,0.20430970191955566
wittenberg,0.19844768941402435,0.1697942465543747,0.19471198320388794,0.20511244237422943,0.31221258640289307,0.19913312792778015,0.19844768941402435,0.31221258640289307,0.25758886337280273,0.1278800219297409,0.15716047585010529
at,0.4806317389011383,0.17824941873550415,0.2054234892129898,0.25906258821487427,0.457212895154953,0.24390354752540588,0.4806317389011383,0.457212895154953,0.10933937877416611,0.17453226447105408,0.21978627145290375
the,0.5107308030128479,0.38253846764564514,0.25228628516197205,0.5823672413825989,1.0,0.2761021852493286,0.5107308030128479,1.0,0.23557746410369873,0.29860720038414,0.22068053483963013
time,0.30044233798980713,0.165165513753891,0.23073306679725647,0.25187405943870544,0.43061500787734985,0.3046863079071045,0.30044233798980713,0.43061500787734985,0.15713949501514435,0.22609136998653412,0.27391523122787476
.,0.49257001280784607,0.2718997597694397,0.2798987030982971,0.4569662809371948,0.5934505462646484,0.30678433179855347,0.49257001280784607,0.5934505462646484,0.21004024147987366,0.29699069261550903,0.4130953550338745
