,of,what,hollywood,film,company,was,upt,a,subsidiary,of,when,it,merged,with,abc,?
at,0.42558613419532776,0.2838611304759979,0.22398044168949127,0.2055114060640335,0.17487694323062897,0.36707764863967896,0.08853987604379654,0.3095070421695709,0.15271495282649994,0.42558613419532776,0.38876327872276306,0.36473900079727173,0.0855112224817276,0.29126521944999695,0.12953892350196838,0.21978627145290375
the,0.733189046382904,0.42745697498321533,0.21118220686912537,0.2824619710445404,0.26591673493385315,0.48711544275283813,0.25772973895072937,0.5829201340675354,0.2279236614704132,0.733189046382904,0.5091903209686279,0.6251175999641418,0.22961698472499847,0.4223487675189972,0.2068762183189392,0.22068053483963013
same,0.3808329105377197,0.3764382302761078,0.13858263194561005,0.17870794236660004,0.14996281266212463,0.27172183990478516,0.23856046795845032,0.4048157036304474,0.13047334551811218,0.3808329105377197,0.37020012736320496,0.3616943955421448,0.1939879208803177,0.33861321210861206,0.21684971451759338,0.22649677097797394
time,0.35127586126327515,0.36319252848625183,0.2233743816614151,0.21054072678089142,0.18971289694309235,0.3641340136528015,0.23358342051506042,0.3292340338230133,0.12174847722053528,0.35127586126327515,0.4363728165626526,0.3375589847564697,0.1163908839225769,0.31862112879753113,0.17553414404392242,0.27391523122787476
he,0.38706058263778687,0.3114890456199646,0.2293577939271927,0.16020090878009796,0.22237855195999146,0.5410010814666748,0.1528482437133789,0.4393508732318878,0.10338651388883591,0.38706058263778687,0.39115971326828003,0.36018872261047363,0.11804062873125076,0.2845253646373749,0.22597992420196533,0.2089974731206894
made,0.33167365193367004,0.23419176042079926,0.18723037838935852,0.12445706129074097,0.2360643744468689,0.3433256447315216,0.1995401382446289,0.3180864453315735,0.18266429007053375,0.33167365193367004,0.2936893105506897,0.3944323658943176,0.23527774214744568,0.3459964990615845,0.16169872879981995,0.17218779027462006
attempts,0.22225669026374817,0.192328080534935,0.16350598633289337,0.14165319502353668,0.15914271771907806,0.1730942279100418,0.1354520618915558,0.2561189830303192,0.08019984513521194,0.22225669026374817,0.23838594555854797,0.19653531908988953,0.044674139469861984,0.1756386160850525,0.10819454491138458,0.09428907185792923
to,0.41548454761505127,0.455847829580307,0.23734064400196075,0.20211438834667206,0.24903783202171326,0.3636345863342285,0.28000348806381226,0.45503583550453186,0.1481173038482666,0.41548454761505127,0.5423505902290344,0.513711154460907,0.08683764189481735,0.4239959120750427,0.1762417107820511,0.29463258385658264
help,0.22745388746261597,0.3728281855583191,0.09703607857227325,0.16524817049503326,0.1783524453639984,0.14012886583805084,0.29579514265060425,0.23381464183330536,0.10162010043859482,0.22745388746261597,0.3472992777824402,0.23227837681770325,0.1389082670211792,0.32894450426101685,0.10666012763977051,0.28403452038764954
grow,0.2535724341869354,0.23171839118003845,0.10398556292057037,0.16879913210868835,0.11955621093511581,0.12265907227993011,0.3272482752799988,0.20655770599842072,0.1684231162071228,0.2535724341869354,0.27463123202323914,0.2934291362762451,0.12897929549217224,0.2057950794696808,0.1124480813741684,0.12417493760585785
