,who,was,jacksonville,'s,mayor,at,the,time,of,the,consolidation,?
in,0.2792111933231354,0.45514053106307983,0.22147351503372192,-0.037580832839012146,0.19987569749355316,0.4374977946281433,0.6662389636039734,0.3431483507156372,0.5696388483047485,0.6662389636039734,0.2733294367790222,0.20430970191955566
honor,0.25787192583084106,0.2958109676837921,0.18892709910869598,0.00392131507396698,0.17399559915065765,0.16558460891246796,0.2633417248725891,0.19428794085979462,0.27187082171440125,0.2633417248725891,0.14348195493221283,0.1187526285648346
of,0.2827862501144409,0.4069072902202606,0.23084138333797455,-0.03817026689648628,0.17262716591358185,0.42558613419532776,0.733189046382904,0.35127586126327515,1.0,0.733189046382904,0.3290441930294037,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.2176690250635147,-0.01540423184633255,0.21459873020648956,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,1.0,0.3002266585826874,0.22068053483963013
occasion,0.34372538328170776,0.21339811384677887,0.13408072292804718,0.04829338565468788,0.18668325245380402,0.1614541858434677,0.22899624705314636,0.3017566204071045,0.18207356333732605,0.22899624705314636,0.16487634181976318,0.18074023723602295
",",0.3365725874900818,0.45456063747406006,0.2837527096271515,-0.0016132977325469255,0.28074726462364197,0.38314947485923767,0.4933079481124878,0.3029961884021759,0.4946078956127167,0.4933079481124878,0.23713846504688263,0.31091248989105225
then-mayor,0.2902093827724457,0.3154772222042084,0.30485299229621887,0.0012004245072603226,0.8609092831611633,0.21645396947860718,0.33236029744148254,0.20804403722286224,0.25806695222854614,0.33236029744148254,0.2432049959897995,0.20849400758743286
hans,0.2921501696109772,0.21729552745819092,0.0753524973988533,0.013335803523659706,0.20484405755996704,0.12359892576932907,0.2071325033903122,0.15854671597480774,0.1693631112575531,0.2071325033903122,0.04353010654449463,0.10353465378284454
tanzler,0.27587971091270447,0.33602815866470337,0.250655859708786,0.01669669710099697,0.3423074781894684,0.22293250262737274,0.2570924162864685,0.21352283656597137,0.23744867742061615,0.2570924162864685,0.16481775045394897,0.2173357754945755
posed,0.26172876358032227,0.2885967195034027,0.13325771689414978,-0.035102177411317825,0.15328218042850494,0.1930711716413498,0.23124444484710693,0.2714923918247223,0.24146881699562073,0.23124444484710693,0.10175838321447372,0.21519874036312103
with,0.3282766342163086,0.27411898970603943,0.2283513844013214,-0.04624466598033905,0.07663588970899582,0.29126521944999695,0.4223487675189972,0.31862112879753113,0.41827285289764404,0.4223487675189972,0.21942877769470215,0.2433311939239502
actress,0.19982321560382843,0.24704307317733765,0.21950162947177887,0.04003738611936569,0.19423481822013855,0.13548390567302704,0.16107499599456787,0.12474174052476883,0.12232538312673569,0.16107499599456787,0.07779917120933533,0.17259088158607483
lee,0.23078079521656036,0.23897704482078552,0.33033713698387146,0.05411209166049957,0.12286806106567383,0.14155851304531097,0.16821028292179108,0.1753004491329193,0.15092487633228302,0.16821028292179108,0.09791991114616394,0.19113655388355255
meredith,0.29571253061294556,0.29848748445510864,0.4071900546550751,-0.01593899168074131,0.1280948668718338,0.25032898783683777,0.2297440767288208,0.20920172333717346,0.19718630611896515,0.2297440767288208,0.11405148357152939,0.14512039721012115
