,what,troops,attacked,fort,william,henry,in,early,1757,?
french,0.17393042147159576,0.26327648758888245,0.18762165307998657,0.27450791001319885,0.20046363770961761,0.2602366805076599,0.22093388438224792,0.16730161011219025,0.23167487978935242,0.1386883556842804
irregular,0.20618969202041626,0.26670998334884644,0.1558634340763092,0.11610821634531021,0.18588168919086456,0.07638819515705109,0.21882960200309753,0.17057223618030548,-0.08875442296266556,0.08403849601745605
forces,0.2112482488155365,0.6963536739349365,0.4038008451461792,0.32474279403686523,0.1888331174850464,0.18746033310890198,0.2565164566040039,0.1589776575565338,0.003545336425304413,0.16984491050243378
(,0.2411840260028839,0.15045426785945892,0.17197254300117493,0.17754094302654266,0.190822571516037,0.18191124498844147,0.3087427020072937,0.1926054060459137,0.13076847791671753,0.40561532974243164
canadian,0.14819227159023285,0.13376955687999725,0.09291654080152512,0.21067798137664795,0.24348607659339905,0.23224341869354248,0.15288233757019043,0.13050031661987305,0.09469173103570938,0.10011322796344757
scouts,0.18292468786239624,0.31946998834609985,0.1429654061794281,0.2904782295227051,0.13373206555843353,0.17297391593456268,0.22082512080669403,0.1857241988182068,0.054619308561086655,0.1461811363697052
and,0.31309178471565247,0.23100681602954865,0.29838094115257263,0.2106139063835144,0.2535148561000824,0.2218981832265854,0.4954058527946472,0.29847630858421326,-0.02447538636624813,0.20544172823429108
indians,0.2342250943183899,0.31790292263031006,0.21740780770778656,0.35250183939933777,0.20311784744262695,0.2023315280675888,0.23019428551197052,0.21292471885681152,0.14008671045303345,0.13372346758842468
),0.26259949803352356,0.14455367624759674,0.1774025410413742,0.17857417464256287,0.20569993555545807,0.19819509983062744,0.3326910734176636,0.2297687977552414,0.12782175838947296,0.42300865054130554
harassed,0.28360289335250854,0.27888479828834534,0.4992441236972809,0.16563008725643158,0.13042190670967102,0.14056751132011414,0.1943107694387436,0.2087683081626892,-0.024468865245580673,0.24062752723693848
fort,0.19451747834682465,0.3374136686325073,0.2491377741098404,0.9999999403953552,0.321216881275177,0.3162190616130829,0.24152536690235138,0.15193334221839905,0.10305498540401459,0.15686731040477753
william,0.24990826845169067,0.18058252334594727,0.1929374486207962,0.321216881275177,1.0,0.5330269932746887,0.21605195105075836,0.21531084179878235,0.11081720888614655,0.14462219178676605
henry,0.1911626160144806,0.18897674977779388,0.20646658539772034,0.3162190616130829,0.5330269932746887,1.0,0.21735817193984985,0.19800056517124176,0.11911104619503021,0.16836383938789368
throughout,0.2130906730890274,0.28813987970352173,0.18493133783340454,0.1770433932542801,0.05992481857538223,0.09263808280229568,0.46596065163612366,0.4236849546432495,-0.07762031257152557,0.12665234506130219
the,0.42745697498321533,0.3229958415031433,0.27774572372436523,0.2420126497745514,0.21537061035633087,0.2542637586593628,0.6662389636039734,0.34442198276519775,-0.019627166911959648,0.22068053483963013
first,0.28086137771606445,0.1924997866153717,0.22107012569904327,0.17213241755962372,0.26558709144592285,0.2219134271144867,0.4127444326877594,0.4007106125354767,0.07357817888259888,0.18701928853988647
half,0.13016436994075775,0.14210321009159088,0.19293968379497528,0.06677838414907455,0.16886253654956818,0.1901872754096985,0.25644969940185547,0.2282509207725525,-0.003046588273718953,0.07471233606338501
of,0.33290785551071167,0.23602326214313507,0.1974567323923111,0.18979716300964355,0.20272590219974518,0.2390729784965515,0.5696388483047485,0.30937549471855164,-0.0294172540307045,0.1826142966747284
1757,0.029528258368372917,0.06791425496339798,0.038376614451408386,0.10305498540401459,0.11081720888614655,0.11911104619503021,-0.0014661961467936635,0.017890900373458862,1.0,0.10058208554983139
.,0.3567904531955719,0.19217929244041443,0.249810591340065,0.2578873038291931,0.2768123149871826,0.3065545856952667,0.5591574311256409,0.3224305212497711,0.06322338432073593,0.4130953550338745
