,colonial,rule,",",or,physical,occupation,of,a,territory,is,an,example,of,what,kind,of,imperialism,?
to,0.22932834923267365,0.2587790787220001,0.44245919585227966,0.38921234011650085,0.24461913108825684,0.1859113872051239,0.41548454761505127,0.45503583550453186,0.2642725706100464,0.42745086550712585,0.3138085603713989,0.3451666533946991,0.41548454761505127,0.455847829580307,0.28460726141929626,0.41548454761505127,0.21685542166233063,0.29463258385658264
clear,0.15279126167297363,0.1994868963956833,0.2705954313278198,0.330760657787323,0.18027791380882263,0.17247968912124634,0.25915294885635376,0.24375371634960175,0.14392860233783722,0.22241374850273132,0.20907902717590332,0.20241454243659973,0.25915294885635376,0.4239453375339508,0.2761657238006592,0.25915294885635376,0.19388124346733093,0.2738020122051239
out,0.14698976278305054,0.1947413980960846,0.3161109685897827,0.30417007207870483,0.1345742642879486,0.07693061977624893,0.34176841378211975,0.34264278411865234,0.19579508900642395,0.2817855477333069,0.2333006113767624,0.2541006803512573,0.34176841378211975,0.3633197546005249,0.2557421624660492,0.34176841378211975,0.13073424994945526,0.22020699083805084
this,0.18399208784103394,0.31583675742149353,0.4316047728061676,0.4406825602054596,0.24299249053001404,0.12357626855373383,0.45148900151252747,0.5422310829162598,0.2112988531589508,0.480927973985672,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.5489566326141357,0.4221852123737335,0.45148900151252747,0.2821269631385803,0.3155723512172699
confusion,0.19779179990291595,0.17969869077205658,0.28259900212287903,0.3438436985015869,0.24271808564662933,0.14377443492412567,0.2222754955291748,0.2771179676055908,0.1375870406627655,0.25147637724876404,0.20599961280822754,0.33875125646591187,0.2222754955291748,0.3303605318069458,0.2239149510860443,0.2222754955291748,0.2347743660211563,0.3015955984592438
about,0.11839554458856583,0.16028688848018646,0.3877100944519043,0.3335071802139282,0.1732972413301468,0.14520831406116486,0.40939709544181824,0.34171196818351746,0.21963541209697723,0.3532065451145172,0.2700941264629364,0.3355368673801422,0.40939709544181824,0.47976887226104736,0.2675623595714569,0.40939709544181824,0.22351233661174774,0.302409827709198
the,0.2715741693973541,0.29894936084747314,0.4933079481124878,0.4174870550632477,0.20230218768119812,0.23079249262809753,0.733189046382904,0.5829201340675354,0.3000710904598236,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2716025412082672,0.22068053483963013
definition,0.12240949273109436,0.25399747490882874,0.24771931767463684,0.3065267503261566,0.23883262276649475,0.1562393605709076,0.24912455677986145,0.2941339910030365,0.18064934015274048,0.29006320238113403,0.21560780704021454,0.4240194857120514,0.24912455677986145,0.330344021320343,0.3331965208053589,0.24912455677986145,0.2697836458683014,0.2796523869037628
of,0.2972153425216675,0.25175079703330994,0.4946078956127167,0.3792596757411957,0.3124530017375946,0.24415746331214905,1.0,0.5052502155303955,0.27564212679862976,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.2285657674074173,1.0,0.29240643978118896,0.1826142966747284
imperialism,0.3582434058189392,0.30655044317245483,0.2420617640018463,0.16436384618282318,0.1680603325366974,0.17389336228370667,0.29240643978118896,0.17335295677185059,0.20940497517585754,0.13894762098789215,0.14707738161087036,0.22554071247577667,0.29240643978118896,0.24614648520946503,0.15477003157138824,0.29240643978118896,1.0,0.14998586475849152
one,0.15730392932891846,0.27523601055145264,0.3696635365486145,0.4022330939769745,0.1999657303094864,0.16560249030590057,0.4999135136604309,0.4910551905632019,0.1853368729352951,0.4544198513031006,0.2829729914665222,0.41499486565589905,0.4999135136604309,0.376489520072937,0.3653089106082916,0.4999135136604309,0.19011688232421875,0.2673267424106598
could,0.134602889418602,0.21871857345104218,0.27399855852127075,0.4357736110687256,0.23558218777179718,0.20164792239665985,0.29043012857437134,0.3736826181411743,0.16871264576911926,0.2763098180294037,0.24300263822078705,0.3105258345603943,0.29043012857437134,0.4188697934150696,0.286358118057251,0.29043012857437134,0.23286715149879456,0.3411986827850342
speak,0.16781455278396606,0.2288036048412323,0.2902714014053345,0.21351951360702515,0.15384434163570404,0.15037187933921814,0.2317851483821869,0.2206171452999115,0.1709287166595459,0.24546261131763458,0.10398297011852264,0.1269766092300415,0.2317851483821869,0.3106061816215515,0.17339280247688293,0.2317851483821869,0.16844144463539124,0.2619509994983673
of,0.2972153425216675,0.25175079703330994,0.4946078956127167,0.3792596757411957,0.3124530017375946,0.24415746331214905,1.0,0.5052502155303955,0.27564212679862976,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.2285657674074173,1.0,0.29240643978118896,0.1826142966747284
``,0.08214693516492844,0.18431732058525085,0.09681109338998795,0.1197475790977478,0.015543654561042786,0.06181696802377701,0.06780257821083069,0.07272057235240936,0.09361173212528229,0.058766357600688934,0.03770720958709717,0.17130611836910248,0.06780257821083069,0.008517155423760414,-0.040448643267154694,0.06780257821083069,0.050459738820791245,0.0685480609536171
formal,0.27212226390838623,0.26919689774513245,0.2519475817680359,0.3239913880825043,0.30364447832107544,0.11536047607660294,0.2704104781150818,0.29366669058799744,0.10764459520578384,0.21914683282375336,0.24771077930927277,0.31238067150115967,0.2704104781150818,0.26485171914100647,0.2487362176179886,0.2704104781150818,0.2986674904823303,0.1989586055278778
'',-0.023450249806046486,0.09699608385562897,-0.037358131259679794,0.04548122361302376,0.03199413791298866,0.023654505610466003,0.13035868108272552,0.04890415817499161,-0.007871052250266075,0.0793738141655922,0.09471100568771362,-0.021546287462115288,0.13035868108272552,0.08143015950918198,0.01890246570110321,0.13035868108272552,-0.013202380388975143,0.018684765323996544
