,who,has,the,task,of,ensuring,party,members,vote,according,to,the,party,line,?
parties,0.24264965951442719,0.1972295194864273,0.2535073459148407,0.18021979928016663,0.2394237220287323,0.2736201584339142,0.6788443326950073,0.3494274616241455,0.3459550440311432,0.1391345113515854,0.22887584567070007,0.2535073459148407,0.6788443326950073,0.0947486087679863,0.16949701309204102
entrust,0.2887011468410492,0.15477392077445984,0.23702311515808105,0.2698826193809509,0.2578571140766144,0.36644819378852844,0.18401005864143372,0.13501277565956116,0.3538013994693756,0.24930977821350098,0.27855703234672546,0.23702311515808105,0.18401005864143372,0.07706034928560257,0.26418110728263855
some,0.3978389501571655,0.3587830364704132,0.4566698372364044,0.1621948480606079,0.4300730526447296,0.29206183552742004,0.17324420809745789,0.302155077457428,0.20610164105892181,0.20096933841705322,0.4636894166469574,0.4566698372364044,0.17324420809745789,0.14139001071453094,0.2562315762042999
msps,0.2761230170726776,0.23862218856811523,0.3199247419834137,0.2636658251285553,0.32335641980171204,0.2886672914028168,0.5379019975662231,0.48753979802131653,0.3525722324848175,0.18524262309074402,0.23906059563159943,0.3199247419834137,0.5379019975662231,0.18460121750831604,0.14526908099651337
",",0.3365725874900818,0.3734780251979828,0.4933079481124878,0.21093271672725677,0.4946078956127167,0.19966883957386017,0.21963930130004883,0.2357054501771927,0.27201512455940247,0.3107093870639801,0.44245919585227966,0.4933079481124878,0.21963930130004883,0.22637072205543518,0.31091248989105225
known,0.24757125973701477,0.2451976239681244,0.3624623417854309,0.07848653197288513,0.35814476013183594,0.16920720040798187,0.11751952767372131,0.20001493394374847,0.02569478191435337,0.21257144212722778,0.14337651431560516,0.3624623417854309,0.11751952767372131,0.11063651740550995,0.18314571678638458
as,0.3923053741455078,0.351646363735199,0.48381632566452026,0.21656383574008942,0.3886612355709076,0.31666672229766846,0.17884716391563416,0.21428564190864563,0.20532511174678802,0.24795791506767273,0.42092081904411316,0.48381632566452026,0.17884716391563416,0.22621846199035645,0.27043893933296204
whips,0.37127429246902466,0.16568297147750854,0.25026369094848633,0.21540194749832153,0.19003625214099884,0.25708848237991333,0.3786211311817169,0.2932237982749939,0.2547292411327362,0.07733020931482315,0.2506682872772217,0.25026369094848633,0.3786211311817169,0.08920926600694656,0.1941029131412506
",",0.3365725874900818,0.3734780251979828,0.4933079481124878,0.21093271672725677,0.4946078956127167,0.19966883957386017,0.21963930130004883,0.2357054501771927,0.27201512455940247,0.3107093870639801,0.44245919585227966,0.4933079481124878,0.21963930130004883,0.22637072205543518,0.31091248989105225
with,0.3282766342163086,0.44092974066734314,0.4223487675189972,0.1691938042640686,0.41827285289764404,0.35020896792411804,0.21132639050483704,0.2579888701438904,0.12805518507957458,0.25230053067207336,0.4239959120750427,0.4223487675189972,0.21132639050483704,0.18698516488075256,0.2433311939239502
