,how,many,votes,in,total,does,the,council,have,?
in,0.2601168751716614,0.41474202275276184,0.21167227625846863,1.0,0.27667245268821716,0.214483380317688,0.6662389636039734,0.2689173221588135,0.36843645572662354,0.20430970191955566
total,0.22199897468090057,0.2912171483039856,0.32263991236686707,0.27667245268821716,0.9999999403953552,0.17424942553043365,0.27068960666656494,0.14137579500675201,0.2702822685241699,0.14396025240421295
there,0.3328511416912079,0.4993700683116913,0.2523314952850342,0.5361666083335876,0.2835027277469635,0.2930194139480591,0.47025805711746216,0.20820169150829315,0.5194604992866516,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.1935156136751175,0.3841303884983063,0.2363838106393814,0.3126322329044342,0.40399202704429626,0.1583584100008011,0.6577680706977844,0.24591213464736938
352,-0.12090444564819336,-0.1711459457874298,-0.058684367686510086,-0.038897085934877396,0.015630701556801796,-0.14212621748447418,-0.10727708786725998,-0.1084531918168068,-0.19093044102191925,-0.06872464716434479
votes,0.21260926127433777,0.15118442475795746,1.0000001192092896,0.21167227625846863,0.32263991236686707,0.20038630068302155,0.2303277552127838,0.29171228408813477,0.22750820219516754,0.23052719235420227
",",0.22659391164779663,0.40610817074775696,0.26709359884262085,0.5201468467712402,0.25815486907958984,0.28617382049560547,0.4933079481124878,0.23820561170578003,0.3541618287563324,0.31091248989105225
but,0.43101516366004944,0.46599987149238586,0.3149188756942749,0.48674455285072327,0.21521452069282532,0.4353378415107727,0.4859698414802551,0.21318432688713074,0.5920813083648682,0.27921953797340393
for,0.3308170735836029,0.40972793102264404,0.2052048295736313,0.4322226941585541,0.18924455344676971,0.35159170627593994,0.4739971458911896,0.1601620316505432,0.41175219416618347,0.264628142118454
most,0.311336874961853,0.6236066222190857,0.18047475814819336,0.41416558623313904,0.2879014015197754,0.30044323205947876,0.47635307908058167,0.12559174001216888,0.44364631175994873,0.2107497900724411
acts,0.23132291436195374,0.20894886553287506,0.14132311940193176,0.21356524527072906,0.1567201167345047,0.2505439221858978,0.2568269371986389,0.1408001333475113,0.2163836508989334,0.07075770199298859
there,0.3328511416912079,0.4993700683116913,0.2523314952850342,0.5361666083335876,0.2835027277469635,0.2930194139480591,0.47025805711746216,0.20820169150829315,0.5194604992866516,0.29405656456947327
must,0.3341856896877289,0.25259166955947876,0.2632567584514618,0.18276341259479523,0.19731371104717255,0.5070070028305054,0.2713140547275543,0.1322224736213684,0.4243750274181366,0.23707495629787445
be,0.4158933162689209,0.3961109519004822,0.2269240915775299,0.3481820821762085,0.1491360366344452,0.28696945309638977,0.4248143136501312,0.1781650185585022,0.5760743618011475,0.3324260413646698
a,0.29312583804130554,0.2872205972671509,0.2119992971420288,0.539380669593811,0.20922091603279114,0.38201746344566345,0.5829201340675354,0.16385574638843536,0.338716596364975,0.23916715383529663
qualified,0.16855981945991516,0.166122704744339,0.28051993250846863,0.21319082379341125,0.08660460263490677,0.21015730500221252,0.23118680715560913,0.18946298956871033,0.22688168287277222,0.1370558738708496
majority,0.20073412358760834,0.3566230833530426,0.4475650489330292,0.2563854157924652,0.3051055669784546,0.2256021648645401,0.28757327795028687,0.23196718096733093,0.36177510023117065,0.220119908452034
