,how,many,research,centers,does,the,university,run,on,campus,?
the,0.33890387415885925,0.4335206151008606,0.24391183257102966,0.3307511508464813,0.35928019881248474,1.0,0.263973206281662,0.27883726358413696,0.5107308030128479,0.20087170600891113,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.42846137285232544,0.22566844522953033,0.09909145534038544,0.263973206281662,1.0,0.1579725593328476,0.18291500210762024,0.557883620262146,0.11887256056070328
operates,0.16758139431476593,0.16700030863285065,0.2547086775302887,0.32916006445884705,0.25847193598747253,0.2663705050945282,0.18956801295280457,0.36285755038261414,0.26052126288414,0.24962377548217773,0.12270797789096832
12,0.10959922522306442,0.1780882626771927,-0.06253210455179214,0.027149977162480354,0.167842298746109,0.28907760977745056,-0.017764680087566376,0.018943902105093002,0.14110936224460602,0.029678041115403175,0.10021790862083435
research,0.22275793552398682,0.24523742496967316,1.0,0.357981413602829,0.20314310491085052,0.24391183257102966,0.42846137285232544,0.1456512063741684,0.2395089864730835,0.38123786449432373,0.13481977581977844
institutes,0.1965171843767166,0.24742856621742249,0.5670319199562073,0.45092299580574036,0.2218317985534668,0.27884891629219055,0.5232118964195251,0.15311793982982635,0.2226177453994751,0.42504844069480896,0.16593006253242493
and,0.33647966384887695,0.5296266674995422,0.27611881494522095,0.31431901454925537,0.3461615741252899,0.5171257257461548,0.2665814459323883,0.2711782455444336,0.4077630043029785,0.23815947771072388,0.20544172823429108
113,0.04658707603812218,0.13628022372722626,0.017163462936878204,-0.035108644515275955,-0.004776040092110634,-0.02191958576440811,-0.047947224229574203,-0.035193607211112976,0.006280950270593166,-0.10883103311061859,-0.043854497373104095
research,0.22275793552398682,0.24523742496967316,1.0,0.357981413602829,0.20314310491085052,0.24391183257102966,0.42846137285232544,0.1456512063741684,0.2395089864730835,0.38123786449432373,0.13481977581977844
centers,0.20586660504341125,0.32130712270736694,0.357981413602829,1.0000001192092896,0.24829764664173126,0.3307511508464813,0.22566844522953033,0.18264757096767426,0.2477446049451828,0.26944416761398315,0.16634750366210938
on,0.32655060291290283,0.32520127296447754,0.2395089864730835,0.2477446049451828,0.2568802833557129,0.5107308030128479,0.18291500210762024,0.2348233312368393,0.9999999403953552,0.2515745162963867,0.2714994251728058
campus,0.049072764813899994,0.1492074728012085,0.38123786449432373,0.26944416761398315,0.10558773577213287,0.20087170600891113,0.557883620262146,0.16709280014038086,0.2515745162963867,1.0,0.06952692568302155
.,0.3287222981452942,0.3974229395389557,0.2517603039741516,0.2238491028547287,0.3022993505001068,0.5934505462646484,0.290679007768631,0.2739698588848114,0.49257001280784607,0.20437243580818176,0.4130953550338745
