,what,did,the,mongols,shield,themselves,with,while,attacking,samarkand,?
the,0.42745697498321533,0.34736719727516174,1.0,0.310281366109848,0.2743064761161804,0.3444426357746124,0.4223487675189972,0.39804592728614807,0.3005821406841278,0.3053828775882721,0.22068053483963013
mongols,0.171964630484581,0.21908389031887054,0.310281366109848,0.9999999403953552,0.0989036038517952,0.2765459418296814,0.21642690896987915,0.2535685896873474,0.2618454396724701,0.49446871876716614,0.11517509818077087
attacked,0.1623094528913498,0.2515815198421478,0.27774572372436523,0.308837890625,0.21157512068748474,0.2640329599380493,0.23377156257629395,0.32394903898239136,0.7217928171157837,0.2219836711883545,0.08601678907871246
samarkand,0.23882515728473663,0.15214397013187408,0.3053828775882721,0.49446871876716614,0.19591845571994781,0.18105155229568481,0.13929390907287598,0.167450949549675,0.17950348556041718,1.0000001192092896,0.14516572654247284
using,0.27984681725502014,0.25429773330688477,0.28364112973213196,0.11272663623094559,0.1755491942167282,0.2999815046787262,0.3917884826660156,0.3025592565536499,0.3098917603492737,0.10865285247564316,0.2804589569568634
captured,0.1119019091129303,0.14055760204792023,0.2944179177284241,0.34561988711357117,0.13307245075702667,0.19447308778762817,0.19738993048667908,0.3161092698574066,0.44237372279167175,0.27968713641166687,0.11851847916841507
enemies,0.23385491967201233,0.26751837134361267,0.28070276975631714,0.35523393750190735,0.23984774947166443,0.3682219386100769,0.2091318666934967,0.23839150369167328,0.4009246826171875,0.18347062170505524,0.1540507823228836
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.19857051968574524,0.21263496577739716,0.28746727108955383,0.40387406945228577,0.4165958762168884,0.26205217838287354,0.14818397164344788,0.27043893933296204
body,0.2143840193748474,0.17681342363357544,0.31682634353637695,0.1444627046585083,0.25718992948532104,0.2063063383102417,0.25971415638923645,0.20937588810920715,0.2247692495584488,0.20398765802383423,0.20136451721191406
shields,0.11742641776800156,0.20647606253623962,0.21226775646209717,0.1483328640460968,0.8051777482032776,0.20126356184482574,0.2919609248638153,0.20782722532749176,0.23746614158153534,0.16850711405277252,0.08820432424545288
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.1921418309211731,0.199701189994812,0.20394743978977203,0.4446153938770294,0.38690751791000366,0.2945772111415863,0.24099032580852509,0.4130953550338745
