,where,did,the,jin,emporer,relocate,his,capital,after,genghis,khan,overran,the,norther,part,of,his,empire,?
this,0.4012809097766876,0.3609912693500519,0.6274310946464539,0.15106862783432007,0.22057904303073883,0.25224384665489197,0.3549620509147644,0.16647860407829285,0.3357301354408264,0.28079792857170105,0.17467814683914185,0.2831524908542633,0.6274310946464539,0.27929967641830444,0.38220882415771484,0.45148900151252747,0.3549620509147644,0.20260672271251678,0.3155723512172699
forced,0.27043721079826355,0.36753809452056885,0.2571122944355011,0.10291676223278046,0.2591903507709503,0.3272659182548523,0.3238677382469177,0.1859944611787796,0.3619772791862488,0.16880248486995697,0.09425215423107147,0.31385084986686707,0.2571122944355011,0.16009652614593506,0.20756356418132782,0.27082350850105286,0.3238677382469177,0.16779127717018127,0.17547516524791718
the,0.5003893971443176,0.34736719727516174,1.0,0.23336409032344818,0.3007393181324005,0.3267476558685303,0.4394008219242096,0.3049491047859192,0.4565047025680542,0.3448939025402069,0.21067845821380615,0.2764469087123871,1.0,0.3632679879665375,0.527681291103363,0.733189046382904,0.4394008219242096,0.32532164454460144,0.22068053483963013
emperor,0.17934738099575043,0.13150596618652344,0.2871226370334625,0.45253661274909973,0.3412094712257385,0.2035779505968094,0.30294448137283325,0.2587769329547882,0.20954112708568573,0.46260014176368713,0.30382612347602844,0.20950254797935486,0.2871226370334625,0.1339171975851059,0.14614571630954742,0.2615426778793335,0.30294448137283325,0.4742974638938904,0.19661661982536316
xuanzong,0.2321256548166275,0.27013665437698364,0.33149465918540955,0.6139867901802063,0.33962276577949524,0.22034618258476257,0.4100620746612549,0.3375387191772461,0.3472857177257538,0.612528383731842,0.4503282606601715,0.2951514422893524,0.33149465918540955,0.25281086564064026,0.20920425653457642,0.3339444696903229,0.4100620746612549,0.39358580112457275,0.24731256067752838
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.16679616272449493,0.24776040017604828,0.37035825848579407,0.3715193271636963,0.1844596415758133,0.37890323996543884,0.2294713407754898,0.18221943080425262,0.26230505108833313,0.535392165184021,0.29456934332847595,0.2875264883041382,0.41548454761505127,0.3715193271636963,0.21448755264282227,0.29463258385658264
move,0.3954756259918213,0.23997479677200317,0.29817628860473633,0.12869615852832794,0.08728235960006714,0.38901275396347046,0.19469550251960754,0.15974439680576324,0.14520657062530518,0.0877910926938057,0.18485698103904724,0.1600695550441742,0.29817628860473633,0.2393961399793625,0.1618865728378296,0.19058799743652344,0.19469550251960754,0.10076850652694702,0.24440962076187134
his,0.29880598187446594,0.3546801507472992,0.4394008219242096,0.19523705542087555,0.23219895362854004,0.28059932589530945,0.9999998807907104,0.12485896795988083,0.41949746012687683,0.3744826912879944,0.26570460200309753,0.26172173023223877,0.4394008219242096,0.20893989503383636,0.22525446116924286,0.38364991545677185,0.9999998807907104,0.22914105653762817,0.18075084686279297
capital,0.24952609837055206,0.08427972346544266,0.3049491047859192,0.17969052493572235,0.25493955612182617,0.23277078568935394,0.12485896795988083,0.9999999403953552,0.25313887000083923,0.28575485944747925,0.19148284196853638,0.14624740183353424,0.3049491047859192,0.33506035804748535,0.3360089361667633,0.30823585391044617,0.12485896795988083,0.30879515409469604,0.0907452180981636
south,0.2539864182472229,0.1510593444108963,0.3129390776157379,0.25544410943984985,0.22957876324653625,0.1757075935602188,0.20498964190483093,0.32774990797042847,0.21278640627861023,0.2018095850944519,0.15062284469604492,0.219021275639534,0.3129390776157379,0.5981799364089966,0.33797645568847656,0.33382371068000793,0.20498964190483093,0.26449429988861084,0.12336621433496475
