,the,inside,of,a,ctenophore,is,lined,with,what,?
the,1.0,0.35313180088996887,0.733189046382904,0.5829201340675354,0.2813475728034973,0.5823672413825989,0.31698378920555115,0.4223487675189972,0.42745697498321533,0.22068053483963013
inner,0.2790820598602295,0.421860009431839,0.2847692370414734,0.1906806230545044,0.2725793421268463,0.21686768531799316,0.22464591264724731,0.22413943707942963,0.226011261343956,0.10395674407482147
surface,0.2555135488510132,0.3604365289211273,0.24204103648662567,0.24436084926128387,0.32497167587280273,0.29345643520355225,0.34266725182533264,0.1969025433063507,0.23580394685268402,0.14613434672355652
of,0.733189046382904,0.2544495463371277,1.0,0.5052502155303955,0.2790392339229584,0.4854315221309662,0.24734710156917572,0.41827285289764404,0.33290785551071167,0.1826142966747284
the,1.0,0.35313180088996887,0.733189046382904,0.5829201340675354,0.2813475728034973,0.5823672413825989,0.31698378920555115,0.4223487675189972,0.42745697498321533,0.22068053483963013
cavity,0.3135981261730194,0.3974214196205139,0.22213156521320343,0.22175826132297516,0.5385481119155884,0.2287241667509079,0.3749264180660248,0.19400441646575928,0.21633920073509216,0.16966374218463898
is,0.5823672413825989,0.2848464548587799,0.4854315221309662,0.658733606338501,0.23042532801628113,1.0,0.2078096568584442,0.3250955045223236,0.28837618231773376,0.22961433231830597
lined,0.31698378920555115,0.3696252405643463,0.24734710156917572,0.2311546355485916,0.29729071259498596,0.2078096568584442,1.0,0.25377169251441956,0.1342983841896057,0.1190037727355957
with,0.4223487675189972,0.2732160985469818,0.41827285289764404,0.3783375024795532,0.1578265279531479,0.3250955045223236,0.25377169251441956,0.9999999403953552,0.2464839518070221,0.2433311939239502
an,0.4207492768764496,0.1951468288898468,0.32280945777893066,0.44552403688430786,0.2316497266292572,0.4654068350791931,0.11305484920740128,0.2730048894882202,0.2821882665157318,0.19793890416622162
epithelium,0.28707170486450195,0.39849838614463806,0.29537034034729004,0.2645854651927948,0.6007708311080933,0.2598826289176941,0.3401919901371002,0.2638815641403198,0.25926387310028076,0.21532510221004486
",",0.4933079481124878,0.2100258767604828,0.4946078956127167,0.427140474319458,0.18335451185703278,0.4691906273365021,0.21733908355236053,0.4120737314224243,0.3087472915649414,0.31091248989105225
the,1.0,0.35313180088996887,0.733189046382904,0.5829201340675354,0.2813475728034973,0.5823672413825989,0.31698378920555115,0.4223487675189972,0.42745697498321533,0.22068053483963013
gastrodermis,0.2635957896709442,0.2984398305416107,0.246684730052948,0.24372337758541107,0.6275192499160767,0.1945837289094925,0.32952412962913513,0.22114939987659454,0.16549049317836761,0.15113219618797302
.,0.5934505462646484,0.3128161132335663,0.5352458953857422,0.50484299659729,0.2398306131362915,0.4569662809371948,0.26019543409347534,0.4446153938770294,0.3567904531955719,0.4130953550338745
