,what,social,construct,did,huguenot,refugees,in,canterbury,practice,?
such,0.23989605903625488,0.23924921452999115,0.21635651588439941,0.24497397243976593,0.1115405485033989,0.15229147672653198,0.2704046070575714,0.16467925906181335,0.26335573196411133,0.17851735651493073
economic,0.18082544207572937,0.4703100919723511,0.24069832265377045,0.14787930250167847,0.23239165544509888,0.2569614052772522,0.22027181088924408,0.10648682713508606,0.19143331050872803,0.1206481084227562
separation,0.31917139887809753,0.26326897740364075,0.27786991000175476,0.2086612433195114,0.2945079505443573,0.2688084542751312,0.2790895998477936,0.14913414418697357,0.27166807651519775,0.10689301043748856
was,0.22111038863658905,0.196878582239151,0.16579049825668335,0.41399896144866943,0.24281072616577148,0.17160305380821228,0.45514053106307983,0.24297240376472473,0.21849672496318817,0.18412111699581146
the,0.42745697498321533,0.21797899901866913,0.24684178829193115,0.34736719727516174,0.29557526111602783,0.2474880963563919,0.6662389636039734,0.25006434321403503,0.27333036065101624,0.22068053483963013
condition,0.32254523038864136,0.2095489799976349,0.2126777470111847,0.24335792660713196,0.2039552628993988,0.204666867852211,0.2555321156978607,0.15154562890529633,0.30560609698295593,0.19857749342918396
of,0.33290785551071167,0.2605111300945282,0.24681958556175232,0.2513895630836487,0.29061198234558105,0.1848231703042984,0.5696388483047485,0.26625144481658936,0.2597380578517914,0.1826142966747284
the,0.42745697498321533,0.21797899901866913,0.24684178829193115,0.34736719727516174,0.29557526111602783,0.2474880963563919,0.6662389636039734,0.25006434321403503,0.27333036065101624,0.22068053483963013
refugees,0.17684882879257202,0.2431563436985016,0.13201461732387543,0.1909419149160385,0.3226073086261749,1.0,0.23372824490070343,0.20745070278644562,0.18068146705627441,0.10817430168390274
',0.3245812654495239,0.13682404160499573,0.16088108718395233,0.25488927960395813,0.08778917789459229,0.031471673399209976,0.4158826768398285,0.1331522911787033,0.14159877598285675,0.330942302942276
initial,0.2771121859550476,0.12730816006660461,0.3015463352203369,0.2502395808696747,0.22802934050559998,0.16506552696228027,0.22201098501682281,0.1331772357225418,0.2625277042388916,0.16868601739406586
acceptance,0.3282985985279083,0.35746079683303833,0.19170087575912476,0.24722954630851746,0.26418790221214294,0.15769146382808685,0.1595202535390854,0.11633078008890152,0.28769931197166443,0.29332998394966125
in,0.30808621644973755,0.23382627964019775,0.2649496793746948,0.2593238651752472,0.26198551058769226,0.23372824490070343,1.0,0.21091140806674957,0.24572531878948212,0.20430970191955566
the,0.42745697498321533,0.21797899901866913,0.24684178829193115,0.34736719727516174,0.29557526111602783,0.2474880963563919,0.6662389636039734,0.25006434321403503,0.27333036065101624,0.22068053483963013
city,0.17493832111358643,0.18474449217319489,0.1509208381175995,0.12266099452972412,0.2337077558040619,0.2136024683713913,0.3911624252796173,0.2107386589050293,0.10737371444702148,0.13423943519592285
.,0.3567904531955719,0.2614770531654358,0.23683789372444153,0.35288307070732117,0.2060975730419159,0.20494338870048523,0.5591574311256409,0.19745132327079773,0.2513175904750824,0.4130953550338745
,what,social,construct,did,huguenot,refugees,in,canterbury,practice,?
other,0.341873437166214,0.27125585079193115,0.2942794859409332,0.31707024574279785,0.17889368534088135,0.1688510775566101,0.39989137649536133,0.1500532478094101,0.25364524126052856,0.24682199954986572
evidence,0.33425694704055786,0.23383000493049622,0.24693909287452698,0.24616770446300507,0.1335955411195755,0.2107248604297638,0.16157563030719757,0.21244953572750092,0.2582540810108185,0.24151235818862915
of,0.33290785551071167,0.2605111300945282,0.24681958556175232,0.2513895630836487,0.29061198234558105,0.1848231703042984,0.5696388483047485,0.26625144481658936,0.2597380578517914,0.1826142966747284
the,0.42745697498321533,0.21797899901866913,0.24684178829193115,0.34736719727516174,0.29557526111602783,0.2474880963563919,0.6662389636039734,0.25006434321403503,0.27333036065101624,0.22068053483963013
walloons,0.1787053346633911,0.12027695029973984,0.15388017892837524,0.18972115218639374,0.37664979696273804,0.1892797350883484,0.22857673466205597,0.23752377927303314,0.12409631162881851,0.1857677847146988
and,0.31309178471565247,0.38231831789016724,0.2497677356004715,0.34479495882987976,0.2762077748775482,0.21498335897922516,0.4954058527946472,0.2127632349729538,0.2791718542575836,0.20544172823429108
huguenots,0.22128188610076904,0.22552858293056488,0.177445188164711,0.2420482039451599,0.9459913372993469,0.3471110165119171,0.25916293263435364,0.3704512417316437,0.25951093435287476,0.16010338068008423
in,0.30808621644973755,0.23382627964019775,0.2649496793746948,0.2593238651752472,0.26198551058769226,0.23372824490070343,1.0,0.21091140806674957,0.24572531878948212,0.20430970191955566
canterbury,0.19353896379470825,0.09052916616201401,0.17036588490009308,0.1715923547744751,0.34402456879615784,0.20745070278644562,0.21091140806674957,1.0,0.09786724299192429,0.19566942751407623
includes,0.17138352990150452,0.1850091516971588,0.12090614438056946,0.15465357899665833,0.10824210196733475,0.1297808289527893,0.32460328936576843,0.14290882647037506,0.1962895542383194,0.14011523127555847
a,0.3320399522781372,0.2286769598722458,0.30372241139411926,0.2552328109741211,0.22502337396144867,0.2076767385005951,0.539380669593811,0.21998068690299988,0.27658340334892273,0.23916715383529663
block,0.33229514956474304,0.09763326495885849,0.2891169786453247,0.17439137399196625,0.15199726819992065,0.12503528594970703,0.1659933477640152,0.1140972301363945,0.13746856153011322,0.27211859822273254
of,0.33290785551071167,0.2605111300945282,0.24681958556175232,0.2513895630836487,0.29061198234558105,0.1848231703042984,0.5696388483047485,0.26625144481658936,0.2597380578517914,0.1826142966747284
houses,0.1434021294116974,0.20624543726444244,0.21811577677726746,0.2445467859506607,0.24744154512882233,0.23007340729236603,0.2622964382171631,0.17041125893592834,0.23116134107112885,0.10120081901550293
in,0.30808621644973755,0.23382627964019775,0.2649496793746948,0.2593238651752472,0.26198551058769226,0.23372824490070343,1.0,0.21091140806674957,0.24572531878948212,0.20430970191955566
turnagain,0.40422523021698,0.1993217021226883,0.20708872377872467,0.30541467666625977,0.3044876158237457,0.29876887798309326,0.33385568857192993,0.34618520736694336,0.23628771305084229,0.2318880558013916
lane,0.1767110675573349,0.09112178534269333,0.17868492007255554,0.14061620831489563,0.1622544229030609,0.15084868669509888,0.16843415796756744,0.2592419683933258,0.16826294362545013,0.12951500713825226
",",0.3087472915649414,0.2674078345298767,0.21148894727230072,0.3015086054801941,0.24752236902713776,0.18526069819927216,0.5201468467712402,0.2004024237394333,0.2838936448097229,0.31091248989105225
