,why,did,the,university,eventually,leave,the,conference,?
however,0.425906240940094,0.5603718757629395,0.49814513325691223,0.1757052093744278,0.5615178346633911,0.36922240257263184,0.49814513325691223,0.23096151649951935,0.2152075469493866
",",0.2827242314815521,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.262137234210968,0.2779998779296875,0.4933079481124878,0.21862302720546722,0.31091248989105225
the,0.30742117762565613,0.34736719727516174,1.0,0.263973206281662,0.42022404074668884,0.32171857357025146,1.0,0.25393402576446533,0.22068053483963013
university,0.18185217678546906,0.15114416182041168,0.263973206281662,1.0,0.21362946927547455,0.11724378913640976,0.263973206281662,0.3523830771446228,0.11887256056070328
chose,0.30300959944725037,0.41616201400756836,0.3029356896877289,0.16729819774627686,0.298774391412735,0.27504974603652954,0.3029356896877289,0.17584040760993958,0.2465825378894806
to,0.4100138247013092,0.4452643394470215,0.535392165184021,0.20192374289035797,0.4528551697731018,0.408642441034317,0.535392165184021,0.2324119359254837,0.29463258385658264
withdraw,0.22424490749835968,0.2686275839805603,0.25700607895851135,0.11477116495370865,0.23768608272075653,0.349151611328125,0.25700607895851135,0.14859363436698914,0.19605658948421478
from,0.2592364251613617,0.20248863101005554,0.40150508284568787,0.2771088182926178,0.3226223886013031,0.2075231373310089,0.40150508284568787,0.1463094800710678,0.19969791173934937
the,0.30742117762565613,0.34736719727516174,1.0,0.263973206281662,0.42022404074668884,0.32171857357025146,1.0,0.25393402576446533,0.22068053483963013
conference,0.11931491643190384,0.1365220993757248,0.25393402576446533,0.3523830771446228,0.16680780053138733,0.08336053788661957,0.25393402576446533,0.9999999403953552,0.11172781884670258
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.3575967252254486,0.24126532673835754,0.6662389636039734,0.2199791669845581,0.20430970191955566
1946,0.011200577020645142,0.09752313047647476,0.10058440268039703,0.19182193279266357,0.12229800224304199,-0.08054114133119583,0.10058440268039703,0.08077900856733322,-0.07362531870603561
after,0.2580932378768921,0.30330467224121094,0.4565047025680542,0.2104455977678299,0.5030388236045837,0.32952186465263367,0.4565047025680542,0.15634551644325256,0.16608688235282898
university,0.18185217678546906,0.15114416182041168,0.263973206281662,1.0,0.21362946927547455,0.11724378913640976,0.263973206281662,0.3523830771446228,0.11887256056070328
president,0.11662251502275467,0.1801012009382248,0.24330610036849976,0.2515452206134796,0.15040498971939087,0.16105908155441284,0.24330610036849976,0.17408625781536102,0.14148259162902832
robert,0.21372133493423462,0.16245460510253906,0.2257954627275467,0.2057558000087738,0.13725358247756958,0.1549910604953766,0.2257954627275467,0.07877384126186371,0.11293095350265503
maynard,0.19506405293941498,0.20653390884399414,0.16149097681045532,0.24787504971027374,0.171075701713562,0.10902194678783417,0.16149097681045532,0.19688238203525543,0.21317079663276672
hutchins,0.2002791315317154,0.1385004073381424,0.19606207311153412,0.23413310945034027,0.18250194191932678,0.1644127517938614,0.19606207311153412,0.18030846118927002,0.18799783289432526
de-emphasized,0.23482710123062134,0.2648729681968689,0.2644248306751251,0.1688717007637024,0.196794331073761,0.16490626335144043,0.2644248306751251,0.14698556065559387,0.2088620960712433
varsity,0.2185675948858261,0.27742481231689453,0.26101571321487427,0.5296725630760193,0.15333952009677887,0.10459508746862411,0.26101571321487427,0.4977816641330719,0.09397696703672409
athletics,0.1845184713602066,0.14106851816177368,0.23869381844997406,0.3639361560344696,0.12772010266780853,0.13028019666671753,0.23869381844997406,0.40981125831604004,0.10309170186519623
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.3575967252254486,0.24126532673835754,0.6662389636039734,0.2199791669845581,0.20430970191955566
1939,0.1023663803935051,0.14951123297214508,0.3322303593158722,0.08867877721786499,0.29070326685905457,0.11939100176095963,0.3322303593158722,0.08433037996292114,-0.0777229517698288
and,0.27806392312049866,0.34479495882987976,0.5171257257461548,0.2665814459323883,0.3932386040687561,0.2462838888168335,0.5171257257461548,0.21613861620426178,0.20544172823429108
dropped,0.12283893674612045,0.3167249262332916,0.2875209450721741,0.18287940323352814,0.2853771448135376,0.2569156587123871,0.2875209450721741,0.20774643123149872,0.1272711455821991
football,0.1667669713497162,0.1318265050649643,0.18794101476669312,0.3107043206691742,0.11780542880296707,0.20325225591659546,0.18794101476669312,0.2568674683570862,0.14957410097122192
.,0.32909876108169556,0.35288307070732117,0.5934505462646484,0.290679007768631,0.3220598101615906,0.30909571051597595,0.5934505462646484,0.1982354372739792,0.4130953550338745
