,newcastle,is,home,to,a,large,population,of,what,type,of,person,?
newcastle,1.0000001192092896,0.1841045320034027,0.28202661871910095,0.23559264838695526,0.21405641734600067,0.1500018686056137,0.15327702462673187,0.18781472742557526,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.17954789102077484,0.0902252271771431
is,0.1841045320034027,1.0,0.22316986322402954,0.42745086550712585,0.658733606338501,0.2971126437187195,0.2727566361427307,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.35233089327812195,0.22961433231830597
also,0.20407575368881226,0.5012649297714233,0.27405470609664917,0.5348826050758362,0.5149940252304077,0.3829352557659149,0.21411414444446564,0.4924938678741455,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.3537880480289459,0.21848613023757935
home,0.28202661871910095,0.22316986322402954,1.0,0.31056779623031616,0.26260659098625183,0.1609555035829544,0.1669880449771881,0.24402645230293274,0.1608789712190628,0.1119999960064888,0.24402645230293274,0.13559232652187347,0.0757145956158638
to,0.23559264838695526,0.42745086550712585,0.31056779623031616,1.0,0.45503583550453186,0.3150999844074249,0.19776633381843567,0.41548454761505127,0.455847829580307,0.19930607080459595,0.41548454761505127,0.33486208319664,0.29463258385658264
a,0.21405641734600067,0.658733606338501,0.26260659098625183,0.45503583550453186,1.0,0.3740714490413666,0.2345738559961319,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.4078793525695801,0.23916715383529663
large,0.1500018686056137,0.2971126437187195,0.1609555035829544,0.3150999844074249,0.3740714490413666,1.0000001192092896,0.279382586479187,0.3569655418395996,0.2017821967601776,0.27216973900794983,0.3569655418395996,0.17634345591068268,0.1355665624141693
student,0.09004773199558258,0.18911804258823395,0.15569747984409332,0.21220189332962036,0.3207114636898041,0.1792764514684677,0.19896043837070465,0.20310284197330475,0.20548318326473236,0.12656444311141968,0.20310284197330475,0.3574387729167938,0.13282090425491333
population,0.15327702462673187,0.2727566361427307,0.1669880449771881,0.19776633381843567,0.2345738559961319,0.279382586479187,1.0,0.3060894012451172,0.2000674307346344,0.10401057451963425,0.3060894012451172,0.14723742008209229,0.14449454843997955
with,0.1710812896490097,0.3250955045223236,0.1929387003183365,0.4239959120750427,0.3783375024795532,0.26124298572540283,0.15404780209064484,0.41827285289764404,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.22800223529338837,0.2433311939239502
newcastle,1.0000001192092896,0.1841045320034027,0.28202661871910095,0.23559264838695526,0.21405641734600067,0.1500018686056137,0.15327702462673187,0.18781472742557526,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.17954789102077484,0.0902252271771431
and,0.20204751193523407,0.3859752118587494,0.24667192995548248,0.48971283435821533,0.3739250600337982,0.3404269814491272,0.23080337047576904,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.27333492040634155,0.20544172823429108
northumbria,0.35455697774887085,0.13086697459220886,0.15526176989078522,0.25955528020858765,0.17625916004180908,0.1874007135629654,0.16141502559185028,0.2532331943511963,0.2106504589319229,0.09417415410280228,0.2532331943511963,0.17139272391796112,0.18365557491779327
universities,0.19832536578178406,0.2421088069677353,0.21109195053577423,0.2433011382818222,0.21368376910686493,0.2180633693933487,0.26605844497680664,0.29948264360427856,0.1630716770887375,0.12232967466115952,0.29948264360427856,0.14583250880241394,0.16836881637573242
in,0.19270820915699005,0.5394441485404968,0.30467477440834045,0.45010748505592346,0.539380669593811,0.2841601073741913,0.3268454372882843,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.23876774311065674,0.20430970191955566
the,0.2253497689962387,0.5823672413825989,0.28978195786476135,0.535392165184021,0.5829201340675354,0.3828733265399933,0.32044094800949097,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3487054407596588,0.22068053483963013
local,0.22142958641052246,0.13173899054527283,0.1671590656042099,0.2207600325345993,0.2435571700334549,0.21601338684558868,0.18809747695922852,0.20668989419937134,0.18981902301311493,0.17805400490760803,0.20668989419937134,0.11007410287857056,0.15022775530815125
area,0.18503880500793457,0.29283958673477173,0.21420064568519592,0.2797197997570038,0.2782127559185028,0.34371688961982727,0.49808502197265625,0.3409860134124756,0.21965408325195312,0.11782461404800415,0.3409860134124756,0.206880122423172,0.12640461325645447
.,0.2714749276638031,0.4569662809371948,0.3067048490047455,0.4645031690597534,0.50484299659729,0.2304532378911972,0.26950228214263916,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.29091694951057434,0.4130953550338745
