,in,what,year,did,the,fcc,vote,for,the,financial,interest,and,syndication,rules,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.134840726852417,0.21458156406879425,0.4322226941585541,0.6662389636039734,0.23881284892559052,0.27232617139816284,0.4954058527946472,0.2597505450248718,0.2252369076013565,0.20430970191955566
1970,0.052265819162130356,-0.04533620923757553,0.007248451933264732,0.019275525584816933,0.013761552982032299,-0.09442636370658875,0.006051234435290098,0.03739495575428009,0.013761552982032299,0.0648718997836113,-0.04003818705677986,0.04113146290183067,-0.014938516542315483,-0.057279206812381744,-0.007446378003805876
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.12939687073230743,0.27201512455940247,0.4464869201183319,0.4933079481124878,0.25465908646583557,0.2741461396217346,0.6633074283599854,0.23775799572467804,0.23899291455745697,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.24932202696800232,0.22779929637908936,0.4739971458911896,1.0,0.29952070116996765,0.197127103805542,0.5171257257461548,0.3215782940387726,0.27022838592529297,0.22068053483963013
fcc,0.134840726852417,0.2598995566368103,0.17038124799728394,0.23574954271316528,0.24932202696800232,1.0000001192092896,0.25246283411979675,0.30156174302101135,0.24932202696800232,0.34610122442245483,0.20315110683441162,0.22326773405075073,0.3618549108505249,0.2813902497291565,0.1708466112613678
voted,0.22158056497573853,0.26488763093948364,0.26667335629463196,0.310143381357193,0.3015371859073639,0.20879606902599335,0.7443057298660278,0.24463090300559998,0.3015371859073639,0.18383392691612244,0.23739297688007355,0.1609976589679718,0.23171454668045044,0.21877624094486237,0.22732289135456085
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.535392165184021,0.24543172121047974,0.2892617881298065,0.4451248347759247,0.535392165184021,0.27715611457824707,0.29384326934814453,0.48971283435821533,0.2022804468870163,0.24270765483379364,0.29463258385658264
pass,0.18748411536216736,0.24105259776115417,0.12984342873096466,0.1339150071144104,0.25961899757385254,0.19064469635486603,0.27242565155029297,0.2026006579399109,0.25961899757385254,0.08231982588768005,0.1314152479171753,0.2433357536792755,0.13137713074684143,0.10789957642555237,0.09478675574064255
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.24932202696800232,0.22779929637908936,0.4739971458911896,1.0,0.29952070116996765,0.197127103805542,0.5171257257461548,0.3215782940387726,0.27022838592529297,0.22068053483963013
financial,0.23881284892559052,0.1900392472743988,0.17739994823932648,0.2442471981048584,0.29952070116996765,0.34610122442245483,0.16468974947929382,0.311439573764801,0.29952070116996765,1.0,0.2946193218231201,0.26681631803512573,0.25549209117889404,0.17992962896823883,0.06444920599460602
