,approximately,how,many,images,were,digitized,during,the,first,year,of,the,digitization,project,?
those,0.2643163502216339,0.3717906177043915,0.5882058143615723,0.31005486845970154,0.5048789978027344,0.2872297465801239,0.2764072120189667,0.42861196398735046,0.25739651918411255,0.19752581417560577,0.37935635447502136,0.42861196398735046,0.266884446144104,0.213985413312912,0.3328189253807068
new,0.11887715756893158,0.20832711458206177,0.2992318272590637,0.15591619908809662,0.21711495518684387,0.21824462711811066,0.19458933174610138,0.3845241069793701,0.3283863663673401,0.25045546889305115,0.343457967042923,0.3845241069793701,0.24198751151561737,0.18836385011672974,0.14782847464084625
photographs,0.10881496965885162,0.1388842761516571,0.2300807684659958,0.5098525285720825,0.23408056795597076,0.363690048456192,0.16649314761161804,0.16852141916751862,0.14992250502109528,0.13461712002754211,0.1805899739265442,0.16852141916751862,0.3500381112098694,0.20774398744106293,0.16775095462799072
will,0.1770561784505844,0.41543328762054443,0.2847830653190613,0.23974208533763885,0.19863811135292053,0.20528274774551392,0.21565069258213043,0.3635469079017639,0.27595582604408264,0.26286253333091736,0.2473582625389099,0.3635469079017639,0.1995815634727478,0.29308366775512695,0.35046905279159546
be,0.2101588249206543,0.4158933162689209,0.3961109519004822,0.2913554608821869,0.4064064621925354,0.26102256774902344,0.24990400671958923,0.4248143136501312,0.29818081855773926,0.2296248972415924,0.33904364705085754,0.4248143136501312,0.2590450048446655,0.2489052563905716,0.3324260413646698
accessible,0.18893572688102722,0.2493823915719986,0.20902273058891296,0.30713704228401184,0.1341049075126648,0.42085543274879456,0.0581677071750164,0.21238647401332855,0.12619337439537048,0.09182892739772797,0.24014221131801605,0.21238647401332855,0.35137900710105896,0.25930288434028625,0.22625717520713806
to,0.27967149019241333,0.44169697165489197,0.40243685245513916,0.2165423482656479,0.31913647055625916,0.21396608650684357,0.2828781306743622,0.535392165184021,0.3792489171028137,0.23523004353046417,0.41548454761505127,0.535392165184021,0.24331095814704895,0.28750085830688477,0.29463258385658264
researchers,0.1972869336605072,0.2886618971824646,0.34252625703811646,0.198747918009758,0.2671568691730499,0.3334510326385498,0.20258170366287231,0.27997422218322754,0.20633089542388916,0.13363046944141388,0.23457743227481842,0.27997422218322754,0.3628888726234436,0.2652687132358551,0.14480042457580566
to,0.27967149019241333,0.44169697165489197,0.40243685245513916,0.2165423482656479,0.31913647055625916,0.21396608650684357,0.2828781306743622,0.535392165184021,0.3792489171028137,0.23523004353046417,0.41548454761505127,0.535392165184021,0.24331095814704895,0.28750085830688477,0.29463258385658264
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.22232814133167267,0.3906462490558624,0.25284332036972046,0.4838213622570038,1.0,0.49448907375335693,0.3609684407711029,0.733189046382904,1.0,0.30199649930000305,0.2027820199728012,0.22068053483963013
victoria,0.1540376842021942,0.09004101157188416,0.1926158368587494,0.13533970713615417,0.19546319544315338,0.13756625354290009,0.20968946814537048,0.2204313427209854,0.25445491075515747,0.15436214208602905,0.2505437433719635,0.2204313427209854,0.15223774313926697,0.12766368687152863,0.12246892601251602
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.1939600706100464,0.42175528407096863,0.19571606814861298,0.36462149024009705,0.5171257257461548,0.3167642652988434,0.2506658732891083,0.5116966962814331,0.5171257257461548,0.20847226679325104,0.23249590396881104,0.20544172823429108
albert,0.1299818903207779,0.17076946794986725,0.1487107276916504,0.08469878137111664,0.14096733927726746,0.16791953146457672,0.20614656805992126,0.17599669098854065,0.2075425088405609,0.11580373346805573,0.19890549778938293,0.17599669098854065,0.14010415971279144,0.08431646227836609,0.15350762009620667
museum,0.16942159831523895,0.08534817397594452,0.16926175355911255,0.19240060448646545,0.16107067465782166,0.2673904597759247,0.19307182729244232,0.24861779808998108,0.19499869644641876,0.1009267270565033,0.23314370214939117,0.24861779808998108,0.2302069067955017,0.18919257819652557,0.14128351211547852
web-site,0.16552044451236725,0.22752255201339722,0.252166211605072,0.274105429649353,0.21530677378177643,0.2930234968662262,0.13353385031223297,0.33830422163009644,0.2024618238210678,0.19649021327495575,0.29558032751083374,0.33830422163009644,0.32833603024482727,0.33236774802207947,0.26780784130096436
.,0.27396154403686523,0.3287222981452942,0.3974229395389557,0.20531399548053741,0.3378238379955292,0.2599213123321533,0.3485563397407532,0.5934505462646484,0.4345304071903229,0.32538118958473206,0.5352458953857422,0.5934505462646484,0.250759094953537,0.23938670754432678,0.4130953550338745
