,what,is,needed,to,pack,electrons,densely,together,?
this,0.5489566326141357,0.480927973985672,0.45758479833602905,0.5759071707725525,0.18990877270698547,0.2807442843914032,0.27050888538360596,0.278789222240448,0.3155723512172699
means,0.2553325295448303,0.4087343215942383,0.25713640451431274,0.2301892638206482,0.10003366321325302,0.2359997034072876,0.19245347380638123,0.2033049613237381,0.21233566105365753
that,0.6297725439071655,0.3995479643344879,0.45214173197746277,0.5436353087425232,0.22077998518943787,0.30003416538238525,0.23052752017974854,0.28340306878089905,0.32716336846351624
it,0.45803478360176086,0.6328473687171936,0.28543469309806824,0.513711154460907,0.11445968598127365,0.24132908880710602,0.3651105463504791,0.22456704080104828,0.25732165575027466
takes,0.15264007449150085,0.4061736762523651,0.274084210395813,0.29472896456718445,0.11940652877092361,0.16446097195148468,0.14095044136047363,0.20014643669128418,0.10935472697019577
energy,0.190252885222435,0.2171693742275238,0.2959649860858917,0.27179354429244995,0.19591441750526428,0.506034791469574,0.16405171155929565,0.2111751288175583,0.14860127866268158
to,0.455847829580307,0.42745086550712585,0.45002421736717224,1.0,0.26196593046188354,0.2753003239631653,0.28154584765434265,0.33225905895233154,0.29463258385658264
pack,0.17581790685653687,0.12983720004558563,0.20185807347297668,0.26196593046188354,0.9999999403953552,0.18717482686042786,0.15856963396072388,0.21923421323299408,0.15516062080860138
them,0.4994642734527588,0.2390832006931305,0.4792753756046295,0.5916602611541748,0.2765803933143616,0.33563706278800964,0.28074362874031067,0.3777691125869751,0.35435691475868225
together,0.22179445624351501,0.1995578110218048,0.24189218878746033,0.33225905895233154,0.21923421323299408,0.2308097928762436,0.2467099130153656,1.0000001192092896,0.1690303236246109
.,0.3567904531955719,0.4569662809371948,0.31272366642951965,0.4645031690597534,0.19552353024482727,0.2193155288696289,0.25654587149620056,0.2842161953449249,0.4130953550338745
