,what,british,prime,minister,advisor,is,also,a,university,alumni,member,?
in,0.30808621644973755,0.23084034025669098,0.18097394704818726,0.19794908165931702,0.12653444707393646,0.5394441485404968,0.5073733329772949,0.539380669593811,0.3201795518398285,0.2126772403717041,0.20856694877147675,0.20430970191955566
economics,0.21107932925224304,0.13601970672607422,0.21271289885044098,0.23466989398002625,0.30995967984199524,0.19443869590759277,0.24589253962039948,0.2117287665605545,0.40750834345817566,0.3199693262577057,0.1826891303062439,0.15849412977695465
",",0.3087472915649414,0.25734075903892517,0.2565026581287384,0.24737542867660522,0.2135779857635498,0.4691906273365021,0.4717654287815094,0.427140474319458,0.3017033040523529,0.2394251972436905,0.25757819414138794,0.31091248989105225
notable,0.31026893854141235,0.18957744538784027,0.12686243653297424,0.08735573291778564,0.05093732103705406,0.20672309398651123,0.2548656165599823,0.21731382608413696,0.11267898231744766,0.3171335458755493,0.19803045690059662,0.31928157806396484
nobel,0.20388969779014587,0.16624723374843597,0.2541030943393707,0.28208330273628235,0.24582421779632568,0.1316506415605545,0.18067531287670135,0.17441873252391815,0.2923794984817505,0.27874937653541565,0.18105469644069672,0.15008176863193512
memorial,0.1440839022397995,0.12234576791524887,0.14988572895526886,0.18215163052082062,0.21161623299121857,0.15918494760990143,0.21667788922786713,0.16830050945281982,0.27508124709129333,0.19591858983039856,0.16269847750663757,0.13306879997253418
prize,0.1654435694217682,0.17717763781547546,0.22836096584796906,0.2568202316761017,0.278277724981308,0.13773074746131897,0.17009899020195007,0.189753457903862,0.2631310522556305,0.2634023427963257,0.2029264271259308,0.14158497750759125
in,0.30808621644973755,0.23084034025669098,0.18097394704818726,0.19794908165931702,0.12653444707393646,0.5394441485404968,0.5073733329772949,0.539380669593811,0.3201795518398285,0.2126772403717041,0.20856694877147675,0.20430970191955566
economic,0.18082544207572937,0.19138285517692566,0.1799239069223404,0.228140190243721,0.31963133811950684,0.21102669835090637,0.2673742175102234,0.2234611213207245,0.24439695477485657,0.20821726322174072,0.162232905626297,0.1206481084227562
sciences,0.19191189110279083,0.10644196718931198,0.14638562500476837,0.19883611798286438,0.27494752407073975,0.2507065534591675,0.23198680579662323,0.25444474816322327,0.4868379533290863,0.3644491732120514,0.2373981922864914,0.15002119541168213
winners,0.1654965877532959,0.22503535449504852,0.16634809970855713,0.15714319050312042,0.16008737683296204,0.1519383043050766,0.1512034833431244,0.19021403789520264,0.18199288845062256,0.34019914269447327,0.20755580067634583,0.18557973206043243
milton,0.19606824219226837,0.20742574334144592,0.14867240190505981,0.15166062116622925,0.2205975353717804,0.18918976187705994,0.15837793052196503,0.22242267429828644,0.24029110372066498,0.16602693498134613,0.12600064277648926,0.1688244491815567
friedman,0.22975663840770721,0.2202393114566803,0.16307790577411652,0.18263357877731323,0.3247928023338318,0.1556301712989807,0.20722386240959167,0.19635529816150665,0.3124261796474457,0.19809184968471527,0.09580820798873901,0.26901862025260925
",",0.3087472915649414,0.25734075903892517,0.2565026581287384,0.24737542867660522,0.2135779857635498,0.4691906273365021,0.4717654287815094,0.427140474319458,0.3017033040523529,0.2394251972436905,0.25757819414138794,0.31091248989105225
