,what,is,a,stromule,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.33055979013442993,0.22068053483963013
chloroplast,0.23505516350269318,0.20798198878765106,0.237538680434227,0.32099413871765137,0.12532055377960205
membranes,0.18834297358989716,0.20728234946727753,0.1770123988389969,0.30729830265045166,0.20524227619171143
sometimes,0.34229418635368347,0.3757973313331604,0.3788676857948303,0.21980176866054535,0.1751544177532196
protrude,0.24417410790920258,0.2946350574493408,0.29714536666870117,0.3418947458267212,0.1717037856578827
out,0.3633197546005249,0.2817855477333069,0.34264278411865234,0.1899770051240921,0.22020699083805084
into,0.2180619090795517,0.2619607150554657,0.3461161255836487,0.16735747456550598,0.15662476420402527
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.33055979013442993,0.22068053483963013
cytoplasm,0.2066272348165512,0.2173740565776825,0.205760195851326,0.2579132318496704,0.1524042785167694
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.38338539004325867,0.31091248989105225
forming,0.18138349056243896,0.2660723030567169,0.2713898718357086,0.28307217359542847,0.11404796689748764
a,0.3320399522781372,0.658733606338501,1.0,0.2771388590335846,0.23916715383529663
stromule,0.19566774368286133,0.29209786653518677,0.2771388590335846,1.0,0.1509704738855362
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.38338539004325867,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.21990807354450226,0.32389625906944275
stroma-containing,0.18733839690685272,0.3627583086490631,0.3245062530040741,0.5717678070068359,0.22908230125904083
tubule,0.12311094999313354,0.20020629465579987,0.24808160960674286,0.4192354381084442,0.10841904580593109
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.3421679735183716,0.4130953550338745
