,what,organization,did,tesla,serve,as,vice,president,of,?
tesla,0.23221199214458466,0.11387127637863159,0.09757418930530548,0.9999999403953552,0.06389778107404709,0.10285310447216034,0.11521921306848526,0.1925830990076065,0.18837453424930573,0.10250775516033173
served,0.1271134465932846,0.17533063888549805,0.19789284467697144,0.06776043027639389,0.634300947189331,0.35688039660453796,0.352902352809906,0.370574951171875,0.2967056334018707,0.117141492664814
as,0.31749409437179565,0.24784187972545624,0.3596470057964325,0.10285310447216034,0.3768509030342102,1.0,0.25710538029670715,0.2031671553850174,0.3886612355709076,0.27043893933296204
a,0.3320399522781372,0.2565373480319977,0.2552328109741211,0.2211925983428955,0.22927480936050415,0.39550232887268066,0.13536539673805237,0.16959697008132935,0.5052502155303955,0.23916715383529663
vice,0.13314306735992432,0.18636837601661682,0.15456269681453705,0.11521921306848526,0.260109543800354,0.25710538029670715,0.9999999403953552,0.7407976388931274,0.21141734719276428,0.1369185745716095
president,0.1870913952589035,0.2435222715139389,0.1801012009382248,0.1925830990076065,0.2783129811286926,0.2031671553850174,0.7407976388931274,1.0000001192092896,0.21610750257968903,0.14148259162902832
of,0.33290785551071167,0.25438958406448364,0.2513895630836487,0.18837453424930573,0.2656401991844177,0.3886612355709076,0.21141734719276428,0.21610750257968903,1.0,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.34736719727516174,0.1324402391910553,0.2749462425708771,0.48381632566452026,0.2412198781967163,0.24330610036849976,0.733189046382904,0.22068053483963013
american,0.1909721940755844,0.22149710357189178,0.21486236155033112,0.12191694229841232,0.18346521258354187,0.2994234561920166,0.23051752150058746,0.25288230180740356,0.22180068492889404,0.18877598643302917
institute,0.17608846724033356,0.3641713559627533,0.13879841566085815,0.15442416071891785,0.1089586541056633,0.23080535233020782,0.15816959738731384,0.1685331165790558,0.2977932393550873,0.115291528403759
of,0.33290785551071167,0.25438958406448364,0.2513895630836487,0.18837453424930573,0.2656401991844177,0.3886612355709076,0.21141734719276428,0.21610750257968903,1.0,0.1826142966747284
electrical,0.19961315393447876,0.20793040096759796,0.12294142693281174,0.45727142691612244,0.1359224021434784,0.1705186367034912,0.209852397441864,0.15365123748779297,0.23057208955287933,0.10923371464014053
engineers,0.259060800075531,0.3030349016189575,0.24937547743320465,0.3254041373729706,0.16811484098434448,0.1908814013004303,0.21526913344860077,0.17200011014938354,0.189129039645195,0.18139411509037018
",",0.3087472915649414,0.1819751113653183,0.3015086054801941,0.20599327981472015,0.2385157197713852,0.48816442489624023,0.2756725251674652,0.26552814245224,0.4946078956127167,0.31091248989105225
the,0.42745697498321533,0.311172217130661,0.34736719727516174,0.1324402391910553,0.2749462425708771,0.48381632566452026,0.2412198781967163,0.24330610036849976,0.733189046382904,0.22068053483963013
forerunner,0.16314412653446198,0.27516981959342957,0.18520309031009674,0.2702838182449341,0.08543899655342102,0.19402161240577698,0.21595166623592377,0.23188470304012299,0.23956505954265594,0.11524749547243118
(,0.2411840260028839,0.1716907024383545,0.18979617953300476,0.2156914919614792,0.177357017993927,0.32029855251312256,0.2118174284696579,0.2037333846092224,0.35032153129577637,0.40561532974243164
along,0.22421957552433014,0.13588343560695648,0.18832118809223175,0.1016557365655899,0.1599120795726776,0.31813573837280273,0.07939700782299042,0.12066636234521866,0.34889817237854004,0.17134909331798553
with,0.2464839518070221,0.20152391493320465,0.25472134351730347,0.16424812376499176,0.24509085714817047,0.40387406945228577,0.1132759153842926,0.14994901418685913,0.41827285289764404,0.2433311939239502
the,0.42745697498321533,0.311172217130661,0.34736719727516174,0.1324402391910553,0.2749462425708771,0.48381632566452026,0.2412198781967163,0.24330610036849976,0.733189046382904,0.22068053483963013
institute,0.17608846724033356,0.3641713559627533,0.13879841566085815,0.15442416071891785,0.1089586541056633,0.23080535233020782,0.15816959738731384,0.1685331165790558,0.2977932393550873,0.115291528403759
of,0.33290785551071167,0.25438958406448364,0.2513895630836487,0.18837453424930573,0.2656401991844177,0.3886612355709076,0.21141734719276428,0.21610750257968903,1.0,0.1826142966747284
radio,0.16863368451595306,0.19596019387245178,0.16486462950706482,0.2212681919336319,0.11575140058994293,0.18667691946029663,0.13676317036151886,0.10418909043073654,0.16079017519950867,0.08763375133275986
engineers,0.259060800075531,0.3030349016189575,0.24937547743320465,0.3254041373729706,0.16811484098434448,0.1908814013004303,0.21526913344860077,0.17200011014938354,0.189129039645195,0.18139411509037018
),0.26259949803352356,0.19336465001106262,0.18584993481636047,0.22692398726940155,0.17221702635288239,0.32161882519721985,0.1855180263519287,0.1912459284067154,0.3680361211299896,0.42300865054130554
