,the,sculpture,of,amida,nyorai,that,is,included,in,the,v,&,a,'s,japanese,art,collection,is,dated,to,which,century,?
the,1.0,0.23690329492092133,0.733189046382904,0.2417602688074112,0.3486674726009369,0.5473989248275757,0.5823672413825989,0.3825419843196869,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.21599429845809937,0.20297785103321075,0.25281965732574463,0.5823672413825989,0.2046709507703781,0.535392165184021,0.6521818041801453,0.3617299497127533,0.22068053483963013
majority,0.28757327795028687,0.08460350334644318,0.29706597328186035,0.13548295199871063,0.21266527473926544,0.3037298023700714,0.19749082624912262,0.15446993708610535,0.2563854157924652,0.28757327795028687,0.16304270923137665,0.12173205614089966,0.227370023727417,0.06142395734786987,0.0820767730474472,0.06997019797563553,0.14975570142269135,0.19749082624912262,0.10157327353954315,0.26316750049591064,0.2740524113178253,0.1620444655418396,0.220119908452034
of,0.733189046382904,0.2746802270412445,1.0,0.22407901287078857,0.2892971634864807,0.41498205065727234,0.4854315221309662,0.4391688108444214,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2048201858997345,0.22648051381111145,0.2915455996990204,0.4854315221309662,0.210488960146904,0.41548454761505127,0.5011631846427917,0.2826060354709625,0.1826142966747284
exhibits,0.25230294466018677,0.3674165606498718,0.261615514755249,0.12424992024898529,0.25826266407966614,0.26032784581184387,0.21850882470607758,0.2420046329498291,0.24423272907733917,0.25230294466018677,0.03949865326285362,0.11776827275753021,0.20471961796283722,-0.06272149085998535,0.1478070467710495,0.5035216212272644,0.3991338610649109,0.21850882470607758,0.118803471326828,0.17805634438991547,0.31910210847854614,0.1679411679506302,0.10692782700061798
date,0.25333094596862793,0.20989534258842468,0.19568462669849396,0.18960809707641602,0.1871536672115326,0.22681793570518494,0.1887049674987793,0.1493459939956665,0.21362407505512238,0.25333094596862793,0.15001903474330902,0.05308025702834129,0.20166118443012238,-0.028415024280548096,0.15097743272781372,0.16054406762123108,0.167538121342659,0.1887049674987793,0.5506651997566223,0.2530132532119751,0.198163703083992,0.21765285730361938,0.2698357403278351
from,0.40150508284568787,0.18837447464466095,0.4249346852302551,0.18444545567035675,0.2756817638874054,0.3477667272090912,0.27355384826660156,0.2588649094104767,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,-0.01936490088701248,0.19824975728988647,0.2182932198047638,0.2754948139190674,0.27355384826660156,0.22167015075683594,0.4069952368736267,0.38755592703819275,0.24901773035526276,0.19969791173934937
1550,0.010021181777119637,0.050196193158626556,0.0005279211909510195,0.0023713447153568268,-0.036485787481069565,0.0844017043709755,0.0823095440864563,0.002888263203203678,-0.022512810304760933,0.010021181777119637,0.08311276882886887,0.02957293763756752,0.05242232605814934,0.00042638491140678525,-0.03273787721991539,-0.05401374772191048,-0.024873994290828705,0.0823095440864563,0.008412969298660755,0.05475794896483421,0.2093403935432434,0.06366127729415894,-0.029320459812879562
to,0.535392165184021,0.23966236412525177,0.41548454761505127,0.16069993376731873,0.24341781437397003,0.5436353087425232,0.42745086550712585,0.2322428971529007,0.45010748505592346,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.03782717138528824,0.1551903486251831,0.22068513929843903,0.15417452156543732,0.42745086550712585,0.20172762870788574,1.0,0.5345056653022766,0.20143604278564453,0.29463258385658264
1900,0.12699992954730988,0.017715388908982277,0.0774914026260376,0.059073567390441895,0.13663242757320404,0.1480400562286377,0.16089509427547455,0.0721069946885109,0.11635804176330566,0.12699992954730988,0.06553969532251358,0.06511722505092621,0.14696024358272552,0.09648995846509933,0.1940544992685318,0.10446526855230331,0.12581230700016022,0.16089509427547455,-0.08300253003835678,0.08356629312038422,0.18227529525756836,0.029618024826049805,0.12663045525550842
",",0.4933079481124878,0.2533513307571411,0.4946078956127167,0.2017740160226822,0.3854233920574188,0.4137537479400635,0.4691906273365021,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.18483802676200867,0.2700960636138916,0.2277175933122635,0.4691906273365021,0.2621086835861206,0.44245919585227966,0.3658004403114319,0.24487493932247162,0.31091248989105225
