,what,did,the,gulf,war,inadvertently,do,in,the,early,1990s,?
another,0.4190070629119873,0.29175329208374023,0.5019711852073669,0.16471323370933533,0.1706211268901825,0.37483513355255127,0.25910091400146484,0.3397690951824188,0.5019711852073669,0.24183346331119537,-0.021502990275621414,0.295511931180954
factor,0.23239780962467194,0.13403144478797913,0.2859867215156555,0.0691927820444107,0.15255826711654663,0.24493856728076935,0.18822938203811646,0.2656479775905609,0.2859867215156555,0.14217792451381683,-0.12984547019004822,0.2154984176158905
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.2268008291721344,0.29904094338417053,0.14777573943138123,0.23402775824069977,1.0,0.6662389636039734,0.34672921895980835,-0.1172933429479599,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.29029619693756104,0.366199791431427,0.23857827484607697,0.30239659547805786,0.6662389636039734,1.0,0.34442198276519775,-0.09473290294408798,0.22068053483963013
early,0.2454567849636078,0.32047218084335327,0.34442198276519775,0.2174651175737381,0.2270742505788803,0.15032784640789032,0.16360098123550415,0.34672921895980835,0.34442198276519775,1.0000001192092896,-0.027830397710204124,0.15272949635982513
1990s,0.05660831928253174,0.1284751147031784,-0.09473290294408798,-0.03697953745722771,0.14708396792411804,-0.055887993425130844,-0.001976937986910343,-0.1172933429479599,-0.09473290294408798,-0.027830397710204124,1.0000001192092896,0.11282819509506226
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.1915050446987152,0.22443464398384094,0.38160040974617004,0.44533252716064453,0.435920387506485,0.5473989248275757,0.29580917954444885,0.00461330683901906,0.32716336846351624
worked,0.168898344039917,0.3377852141857147,0.22615844011306763,0.1553078144788742,0.25023794174194336,0.1000218391418457,0.18457072973251343,0.28707414865493774,0.22615844011306763,0.29448723793029785,0.06042257323861122,0.0901828184723854
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.1890619695186615,0.2610234022140503,0.34214866161346436,0.38876664638519287,0.45010748505592346,0.535392165184021,0.24557004868984222,0.0236239992082119,0.29463258385658264
radicalize,0.298938512802124,0.2591005265712738,0.20634840428829193,0.15052664279937744,0.18402354419231415,0.3113098442554474,0.2879658341407776,0.19410747289657593,0.20634840428829193,0.22693757712841034,0.026690112426877022,0.23920494318008423
the,0.42745697498321533,0.34736719727516174,1.0,0.29029619693756104,0.366199791431427,0.23857827484607697,0.30239659547805786,0.6662389636039734,1.0,0.34442198276519775,-0.09473290294408798,0.22068053483963013
islamist,0.17762082815170288,0.18690630793571472,0.2459319531917572,0.2441074252128601,0.27099359035491943,0.23662826418876648,0.17377261817455292,0.19697563350200653,0.2459319531917572,0.15220123529434204,0.13876274228096008,0.14697067439556122
movement,0.23934946954250336,0.12124674767255783,0.339571475982666,0.14827857911586761,0.26299425959587097,0.16838029026985168,0.14219339191913605,0.26725053787231445,0.339571475982666,0.26637452840805054,-0.03463238477706909,0.1423349231481552
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.196700319647789,0.3560331463813782,0.2278737723827362,0.11523093283176422,0.45514053106307983,0.48711544275283813,0.4148794412612915,0.023869428783655167,0.18412111699581146
the,0.42745697498321533,0.34736719727516174,1.0,0.29029619693756104,0.366199791431427,0.23857827484607697,0.30239659547805786,0.6662389636039734,1.0,0.34442198276519775,-0.09473290294408798,0.22068053483963013
gulf,0.16739319264888763,0.11704359948635101,0.29029619693756104,1.0,0.27561020851135254,0.13942202925682068,0.06792709976434708,0.2268008291721344,0.29029619693756104,0.2174651175737381,-0.03697953745722771,0.12622930109500885
war,0.22516006231307983,0.27422013878822327,0.366199791431427,0.27561020851135254,1.0000001192092896,0.14693324267864227,0.10460998117923737,0.29904094338417053,0.366199791431427,0.2270742505788803,0.14708396792411804,0.15510529279708862
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.21789179742336273,0.2671184241771698,0.187329962849617,0.3283645510673523,0.5201468467712402,0.4933079481124878,0.3022546172142029,0.026489561423659325,0.31091248989105225
which,0.5261979103088379,0.2750149369239807,0.6521818041801453,0.2250206172466278,0.2244700789451599,0.33157384395599365,0.31153854727745056,0.4840516746044159,0.6521818041801453,0.29240089654922485,-0.12769699096679688,0.25814583897590637
brought,0.26212388277053833,0.3238873779773712,0.32700833678245544,0.15919768810272217,0.22913770377635956,0.24712815880775452,0.24666380882263184,0.25879573822021484,0.32700833678245544,0.32095250487327576,0.06278084218502045,0.2339296191930771
several,0.22446060180664062,0.24080568552017212,0.40559855103492737,0.20485727488994598,0.1851988583803177,0.19966867566108704,0.20210497081279755,0.39405709505081177,0.40559855103492737,0.3540206253528595,-0.03624771535396576,0.15595775842666626
