,what,was,the,civil,war,against,ragibagh,also,called,?
gaining,0.24912129342556,0.24716636538505554,0.35633590817451477,0.1759798377752304,0.20853492617607117,0.2525482177734375,0.16438105702400208,0.292770653963089,0.16289405524730682,0.15860657393932343
support,0.2797985076904297,0.2208256870508194,0.22984638810157776,0.19972728192806244,0.23062802851200104,0.3431829810142517,0.18588042259216309,0.26317518949508667,0.14506316184997559,0.22626608610153198
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.11420916765928268,0.1811102032661438,0.2447778731584549,0.18972469866275787,0.33783096075057983,0.2703215777873993,0.19969791173934937
princes,0.15840597450733185,0.16042394936084747,0.2769482731819153,0.14690586924552917,0.19307942688465118,0.20342974364757538,0.2338932603597641,0.23951740562915802,0.19845615327358246,0.10049814730882645
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.25259146094322205,0.29695844650268555,0.3292689621448517,0.32823899388313293,0.5755972862243652,0.3251761794090271,0.20544172823429108
officers,0.20936226844787598,0.24956022202968597,0.2831277847290039,0.29699206352233887,0.2741597890853882,0.18484288454055786,0.22435614466667175,0.211043119430542,0.15707707405090332,0.14072641730308533
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.26466667652130127,0.29904094338417053,0.27273955941200256,0.24218374490737915,0.5073733329772949,0.40847352147102356,0.20430970191955566
northern,0.19332477450370789,0.22730717062950134,0.3422943353652954,0.20536236464977264,0.24388620257377625,0.1691713035106659,0.33751875162124634,0.2783655822277069,0.20739905536174774,0.13149388134479523
china,0.13832437992095947,0.20567192137241364,0.3110525608062744,0.17938444018363953,0.1945485770702362,0.15846918523311615,0.23931993544101715,0.27718913555145264,0.20535343885421753,0.18007943034172058
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.25259146094322205,0.29695844650268555,0.3292689621448517,0.32823899388313293,0.5755972862243652,0.3251761794090271,0.20544172823429108
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.1851816177368164,0.2261558473110199,0.20105592906475067,0.22858119010925293,0.6210381388664246,0.4143916368484497,0.2562315762042999
other,0.341873437166214,0.14651623368263245,0.44152235984802246,0.17309200763702393,0.22263076901435852,0.2755064070224762,0.21646718680858612,0.5326101183891296,0.3308360278606415,0.24682199954986572
parts,0.3415631353855133,0.239912748336792,0.4042440354824066,0.0957026481628418,0.21035544574260712,0.1834545135498047,0.2021765410900116,0.36284732818603516,0.3398483991622925,0.12310896813869476
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24698495864868164,0.31680163741111755,0.2669808566570282,0.22289195656776428,0.4924938678741455,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2477465271949768,0.366199791431427,0.3090755045413971,0.274946004152298,0.6021018624305725,0.489897221326828,0.22068053483963013
dynasty,0.17240095138549805,0.24324211478233337,0.26267939805984497,0.21902261674404144,0.263399213552475,0.19968146085739136,0.21716643869876862,0.219948872923851,0.14649534225463867,0.15884074568748474
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24795588850975037,0.2671184241771698,0.31168749928474426,0.3283253610134125,0.4717654287815094,0.26549121737480164,0.31091248989105225
khanbaliq-based,0.31279781460762024,0.2896217703819275,0.2908938229084015,0.2262149453163147,0.2655744254589081,0.23824447393417358,0.4564375579357147,0.3342340886592865,0.3055213987827301,0.2583847641944885
tugh,0.2673484683036804,0.2578143775463104,0.2538721263408661,0.2990640103816986,0.26340553164482117,0.2190302163362503,0.5978072881698608,0.3428685665130615,0.274606853723526,0.2607990801334381
temür,0.26815444231033325,0.3291587233543396,0.3494127094745636,0.21810799837112427,0.3157578110694885,0.17097346484661102,0.3269897401332855,0.3400656282901764,0.27904388308525085,0.17946790158748627
