,when,does,rain,typically,fall,in,jacksonville,?
seasonal,0.10972488671541214,0.13217459619045258,0.4051237106323242,0.2502669095993042,0.14969374239444733,0.21090197563171387,0.1821584403514862,0.0917513445019722
rainfall,0.1504857987165451,0.162222221493721,0.6981818675994873,0.16773474216461182,0.3612443506717682,0.24792563915252686,0.1601874679327011,0.17489276826381683
is,0.3471449911594391,0.4403602182865143,0.20224589109420776,0.3483496606349945,0.13360679149627686,0.5394441485404968,0.1726600080728531,0.22961433231830597
concentrated,0.3128623962402344,0.18856865167617798,0.17017912864685059,0.2618364691734314,0.1005575954914093,0.29073235392570496,0.1367228925228119,0.11501483619213104
in,0.4431333839893341,0.214483380317688,0.2159966677427292,0.22473083436489105,0.22958555817604065,1.0,0.22147351503372192,0.20430970191955566
the,0.5091903209686279,0.35928019881248474,0.238019198179245,0.33345210552215576,0.3639753758907318,0.6662389636039734,0.2176690250635147,0.22068053483963013
warmest,0.1953456699848175,0.15973679721355438,0.4217008948326111,0.21274878084659576,0.2347603440284729,0.28894516825675964,0.21465203166007996,0.2294316589832306
months,0.3821748197078705,0.21912482380867004,0.17205189168453217,0.2190275490283966,0.25151535868644714,0.27186378836631775,0.1993815302848816,0.2804218530654907
from,0.405669629573822,0.1777622550725937,0.2169800102710724,0.1662861853837967,0.29061755537986755,0.4274188280105591,0.20407649874687195,0.19969791173934937
may,0.3167054355144501,0.35508081316947937,0.16102205216884613,0.2667822539806366,0.17474941909313202,0.3424151837825775,0.20775948464870453,0.2768254578113556
through,0.34666842222213745,0.21495459973812103,0.2597265839576721,0.20083880424499512,0.18235646188259125,0.38533157110214233,0.1499394029378891,0.16913433372974396
september,0.2483685463666916,0.13946354389190674,0.18354564905166626,0.032240599393844604,0.22277255356311798,0.25402772426605225,0.2658849060535431,0.2665146589279175
",",0.36674630641937256,0.28617382049560547,0.3246457576751709,0.18964512646198273,0.31587862968444824,0.5201468467712402,0.2837527096271515,0.31091248989105225
while,0.548916757106781,0.3243313729763031,0.17236022651195526,0.37714850902557373,0.24242186546325684,0.3399278521537781,0.27778270840644836,0.21076419949531555
the,0.5091903209686279,0.35928019881248474,0.238019198179245,0.33345210552215576,0.3639753758907318,0.6662389636039734,0.2176690250635147,0.22068053483963013
driest,0.1965731978416443,0.2052527219057083,0.45164576172828674,0.20822978019714355,0.29124724864959717,0.33816587924957275,0.16050629317760468,0.21951979398727417
months,0.3821748197078705,0.21912482380867004,0.17205189168453217,0.2190275490283966,0.25151535868644714,0.27186378836631775,0.1993815302848816,0.2804218530654907
are,0.29873907566070557,0.3126322329044342,0.15875451266765594,0.4610564708709717,0.14641925692558289,0.3841303884983063,0.180222749710083,0.24591213464736938
from,0.405669629573822,0.1777622550725937,0.2169800102710724,0.1662861853837967,0.29061755537986755,0.4274188280105591,0.20407649874687195,0.19969791173934937
november,0.2606481611728668,0.16470029950141907,0.14168018102645874,0.04801352694630623,0.2122465968132019,0.27148663997650146,0.2503262460231781,0.3159552216529846
through,0.34666842222213745,0.21495459973812103,0.2597265839576721,0.20083880424499512,0.18235646188259125,0.38533157110214233,0.1499394029378891,0.16913433372974396
april,0.2554110586643219,0.14772741496562958,0.11630309373140335,0.04253636673092842,0.21524614095687866,0.2882915735244751,0.2781394422054291,0.25704094767570496
.,0.475719153881073,0.3022993505001068,0.27168262004852295,0.25537845492362976,0.2718521058559418,0.5591574311256409,0.2843366861343384,0.4130953550338745
