,who,ordered,loudoun,to,attack,louisbourg,?
he,0.5500732064247131,0.21616454422473907,0.2543097734451294,0.385390967130661,0.3143596053123474,0.26883670687675476,0.2089974731206894
was,0.3318818509578705,0.3286064863204956,0.2895839214324951,0.3636345863342285,0.22693441808223724,0.29799985885620117,0.18412111699581146
then,0.29952746629714966,0.2933359742164612,0.1801297813653946,0.5203860402107239,0.19719919562339783,0.17068363726139069,0.2884598970413208
ordered,0.2055833488702774,0.9999998807907104,0.2005704790353775,0.3161680996417999,0.23888272047042847,0.17582327127456665,0.11423391848802567
by,0.39727845788002014,0.33755701780319214,0.2219865322113037,0.33534231781959534,0.1761384904384613,0.23241959512233734,0.17966607213020325
william,0.32068803906440735,0.18271486461162567,0.3184690773487091,0.19802416861057281,0.1300252228975296,0.3320799171924591,0.14462219178676605
pitt,0.1781906932592392,0.020659010857343674,0.2459438443183899,0.19375261664390564,0.007997526787221432,0.3087996542453766,0.13721784949302673
",",0.3365725874900818,0.23846343159675598,0.3265959918498993,0.44245919585227966,0.29392024874687195,0.30257532000541687,0.31091248989105225
the,0.3733934462070465,0.2839050590991974,0.29474931955337524,0.535392165184021,0.2508925497531891,0.2785874009132385,0.22068053483963013
secretary,0.2019355148077011,0.2027655690908432,0.34124693274497986,0.17736056447029114,0.1995130032300949,0.2244025468826294,0.10113837569952011
of,0.2827862501144409,0.31747159361839294,0.2966146767139435,0.41548454761505127,0.20644454658031464,0.2736597955226898,0.1826142966747284
state,0.15636613965034485,0.18801017105579376,0.34014585614204407,0.25557461380958557,0.15704631805419922,0.27394527196884155,0.1160883978009224
responsible,0.2545164227485657,0.2449299544095993,0.11898104846477509,0.19470079243183136,0.23367759585380554,0.16140051186084747,0.11367333680391312
for,0.37110671401023865,0.17280344665050507,0.2128196805715561,0.4451248347759247,0.2050485610961914,0.15205809473991394,0.264628142118454
the,0.3733934462070465,0.2839050590991974,0.29474931955337524,0.535392165184021,0.2508925497531891,0.2785874009132385,0.22068053483963013
colonies,0.20463168621063232,0.1846134513616562,0.25153857469558716,0.2835637629032135,0.1682632714509964,0.30020686984062195,0.07886616140604019
",",0.3365725874900818,0.23846343159675598,0.3265959918498993,0.44245919585227966,0.29392024874687195,0.30257532000541687,0.31091248989105225
to,0.42656609416007996,0.3161680996417999,0.21256138384342194,1.0,0.19954605400562286,0.1780962496995926,0.29463258385658264
attack,0.2050056904554367,0.23888272047042847,0.2175276279449463,0.19954605400562286,1.0,0.21696783602237701,0.126759335398674
louisbourg,0.19222232699394226,0.17582327127456665,0.4665296673774719,0.1780962496995926,0.21696783602237701,1.0,0.09875453263521194
first,0.39065709710121155,0.26867711544036865,0.27568113803863525,0.3792489171028137,0.20237997174263,0.24587763845920563,0.18701928853988647
.,0.3541337847709656,0.23037508130073547,0.2539626657962799,0.4645031690597534,0.3003302216529846,0.2679981291294098,0.4130953550338745
