,what,did,melanchthon,call,the,marriage,?
he,0.3114890456199646,0.3292143940925598,0.2294091433286667,0.15517276525497437,0.4571082592010498,0.2549211084842682,0.2089974731206894
had,0.23849567770957947,0.540525496006012,0.17704562842845917,0.1465468853712082,0.3875846862792969,0.2996480464935303,0.20728366076946259
long,0.28276848793029785,0.20462055504322052,0.19964805245399475,0.16873031854629517,0.3075225353240967,0.16252431273460388,0.19699987769126892
condemned,0.17074035108089447,0.2631458640098572,0.1757395714521408,0.12287131696939468,0.2100345343351364,0.2748672366142273,0.18363839387893677
vows,0.24404683709144592,0.2899130582809448,0.21280041337013245,0.20082233846187592,0.24814648926258087,0.4018256366252899,0.17137905955314636
of,0.33290785551071167,0.2513895630836487,0.21801847219467163,0.2378445267677307,0.733189046382904,0.1860882043838501,0.1826142966747284
celibacy,0.3620890974998474,0.31297969818115234,0.2747601568698883,0.18410702049732208,0.1999017298221588,0.44099581241607666,0.2997997999191284
on,0.34226128458976746,0.2670976221561432,0.10151411592960358,0.14074347913265228,0.5107308030128479,0.1322319060564041,0.2714994251728058
biblical,0.28585752844810486,0.2030898928642273,0.3020817041397095,0.13426251709461212,0.20867225527763367,0.14899499714374542,0.1909967064857483
grounds,0.2024700939655304,0.19590561091899872,0.06826888769865036,0.11191224306821823,0.2690851390361786,0.20027390122413635,0.1594391018152237
",",0.3087472915649414,0.3015086054801941,0.2681436240673065,0.2670435905456543,0.4933079481124878,0.25912216305732727,0.31091248989105225
but,0.5029441118240356,0.49033689498901367,0.17741087079048157,0.27576830983161926,0.4859698414802551,0.2636440694332123,0.27921953797340393
his,0.26976513862609863,0.3546801507472992,0.22111137211322784,0.08363278955221176,0.4394008219242096,0.3367312550544739,0.18075084686279297
decision,0.32053670287132263,0.285696417093277,0.192788764834404,0.2204526662826538,0.2905151844024658,0.25356167554855347,0.2796577215194702
to,0.455847829580307,0.4452643394470215,0.08310038596391678,0.27641981840133667,0.535392165184021,0.21359077095985413,0.29463258385658264
marry,0.2587384581565857,0.27373647689819336,0.20909656584262848,0.16641941666603088,0.16624797880649567,0.6951314806938171,0.15644006431102753
surprised,0.4355661869049072,0.39091405272483826,0.14944657683372498,0.1853230595588684,0.2670930027961731,0.16332179307937622,0.23842038214206696
many,0.36131182312965393,0.375588983297348,0.18247486650943756,0.2692023813724518,0.4335206151008606,0.16731010377407074,0.2124512493610382
",",0.3087472915649414,0.3015086054801941,0.2681436240673065,0.2670435905456543,0.4933079481124878,0.25912216305732727,0.31091248989105225
not,0.5449194312095642,0.6481515765190125,0.11241631954908371,0.3048311173915863,0.4310511648654938,0.258079469203949,0.41942933201789856
least,0.3337163031101227,0.2185145616531372,0.13847139477729797,0.15515373647212982,0.3428877890110016,0.08596785366535187,0.28866854310035706
melanchthon,0.1285841315984726,0.07751930505037308,1.0,0.1580817997455597,0.17877939343452454,0.24238042533397675,0.14275860786437988
",",0.3087472915649414,0.3015086054801941,0.2681436240673065,0.2670435905456543,0.4933079481124878,0.25912216305732727,0.31091248989105225
who,0.40942975878715515,0.34038686752319336,0.23809321224689484,0.2639438807964325,0.3733934462070465,0.26453569531440735,0.26220351457595825
called,0.3235960602760315,0.277748167514801,0.20054621994495392,0.4729457497596741,0.489897221326828,0.1299530416727066,0.18963319063186646
it,0.45803478360176086,0.2993364930152893,0.1800377070903778,0.21226534247398376,0.6251175999641418,0.19433878362178802,0.25732165575027466
reckless,0.25701627135276794,0.2690427005290985,0.20107676088809967,0.12064475566148758,0.2320331484079361,0.27677616477012634,0.15478025376796722
.,0.3567904531955719,0.35288307070732117,0.21195711195468903,0.2601918876171112,0.5934505462646484,0.2275817096233368,0.4130953550338745
