,what,are,there,no,longer,limitations,on,since,1990,?
unfortunately,0.4536077380180359,0.25882571935653687,0.3178672790527344,0.30877771973609924,0.3100767731666565,0.32796645164489746,0.3062504529953003,0.29486921429634094,-0.056120872497558594,0.24936126172542572
this,0.5489566326141357,0.35762670636177063,0.47775381803512573,0.47783583402633667,0.45648688077926636,0.383335679769516,0.4193967580795288,0.36720824241638184,-0.0953015387058258,0.3155723512172699
belief,0.3523470163345337,0.22965355217456818,0.19243894517421722,0.2146197259426117,0.25759732723236084,0.36237719655036926,0.20553164184093475,0.22113105654716492,0.029700346291065216,0.20175790786743164
still,0.4548931419849396,0.40321314334869385,0.46144676208496094,0.3473815619945526,0.4857809841632843,0.34934893250465393,0.317820280790329,0.4401155710220337,-0.034979455173015594,0.3039587736129761
lives,0.19772474467754364,0.2654789686203003,0.21125692129135132,0.11293428391218185,0.11663652211427689,0.1495675891637802,0.20901191234588623,0.20167779922485352,0.04617847874760628,0.15810374915599823
on,0.34226128458976746,0.268924742937088,0.3521401882171631,0.3244728446006775,0.30453935265541077,0.28266671299934387,0.9999999403953552,0.32446393370628357,-0.0531277060508728,0.2714994251728058
in,0.30808621644973755,0.3841303884983063,0.5361666083335876,0.24372287094593048,0.2513541877269745,0.2389589548110962,0.46853652596473694,0.4325680434703827,-0.012069408781826496,0.20430970191955566
poland,0.16095873713493347,0.11459933966398239,0.17934498190879822,0.12717688083648682,0.1489114910364151,0.18809686601161957,0.17055775225162506,0.2515529692173004,0.021844040602445602,0.14259830117225647
(,0.2411840260028839,0.23263892531394958,0.22351126372814178,0.28322693705558777,0.21640412509441376,0.1824721097946167,0.28656116127967834,0.26309698820114136,-0.0825701504945755,0.40561532974243164
although,0.24844598770141602,0.30740880966186523,0.3271690905094147,0.19935306906700134,0.31548431515693665,0.31704574823379517,0.3547761142253876,0.31317007541656494,0.010986985638737679,0.15541206300258636
