,what,kinds,of,growth,did,kublai,encourage,?
kublai,0.24627302587032318,0.0643160343170166,0.231930211186409,0.10878226161003113,0.2875992953777313,0.9999999403953552,0.13040924072265625,0.14562560617923737
khan,0.16476042568683624,0.07033837586641312,0.17124508321285248,0.08741320669651031,0.155345618724823,0.5925762057304382,0.09183260798454285,0.12862591445446014
promoted,0.18223430216312408,0.039230648428201675,0.1760295182466507,0.1383552849292755,0.23407593369483948,0.19782061874866486,0.2385687232017517,0.2079106867313385
commercial,0.12070754915475845,0.2312161922454834,0.21107374131679535,0.27315717935562134,0.17984269559383392,0.09308547526597977,0.18574970960617065,0.04216946288943291
",",0.3087472915649414,0.25084736943244934,0.4946078956127167,0.2218456119298935,0.3015086054801941,0.2569756805896759,0.24523833394050598,0.31091248989105225
scientific,0.18922170996665955,0.19796255230903625,0.2751598358154297,0.26363590359687805,0.18252882361412048,0.08264919370412827,0.2530893385410309,0.16215236485004425
",",0.3087472915649414,0.25084736943244934,0.4946078956127167,0.2218456119298935,0.3015086054801941,0.2569756805896759,0.24523833394050598,0.31091248989105225
and,0.31309178471565247,0.32501107454299927,0.5116966962814331,0.2731747627258301,0.34479495882987976,0.25078991055488586,0.3351057767868042,0.20544172823429108
cultural,0.18198847770690918,0.10008309036493301,0.29898300766944885,0.3067481219768524,0.08231881260871887,0.20592164993286133,0.25699323415756226,0.09798457473516464
growth,0.1739405393600464,0.1845528483390808,0.2679378092288971,1.0000001192092896,0.09287795424461365,0.10878226161003113,0.28262874484062195,0.07547862827777863
.,0.3567904531955719,0.23792381584644318,0.5352458953857422,0.2825547754764557,0.35288307070732117,0.2311694622039795,0.2384900003671646,0.4130953550338745
