,what,was,the,name,of,the,1991,doctor,who,exhibition,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.002508036559447646,0.2820442318916321,0.3733934462070465,0.22614671289920807,0.22068053483963013
phrase,0.31149473786354065,0.1789305955171585,0.25180333852767944,0.28342553973197937,0.17365479469299316,0.25180333852767944,0.08150126039981842,0.13532482087612152,0.17517714202404022,0.11046949028968811,0.32636284828186035
retains,0.13150368630886078,0.16409467160701752,0.2936144173145294,0.24673816561698914,0.3079439401626587,0.2936144173145294,-0.08034375309944153,0.08940451592206955,0.14254766702651978,0.20086322724819183,0.058350570499897
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.30142447352409363,0.45148900151252747,0.6274310946464539,0.03973522409796715,0.16758373379707336,0.3345087468624115,0.209568053483963,0.3155723512172699
association,0.13908448815345764,0.21210947632789612,0.26550325751304626,0.13332952558994293,0.2501356303691864,0.26550325751304626,0.07150200754404068,0.0850224420428276,0.18668070435523987,0.18769244849681854,0.1542656421661377
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,-0.014840502291917801,0.17277967929840088,0.3282766342163086,0.23241394758224487,0.2433311939239502
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.19494794309139252,0.16895952820777893,0.2820442318916321,0.09401901066303253,0.9999999403953552,0.3504868149757385,0.1388820856809616,0.1462511420249939
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.2027527540922165,0.2827862501144409,0.3733934462070465,0.230638325214386,0.3504868149757385,0.9999998807907104,0.1821725070476532,0.26220351457595825
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.1221209466457367,0.20407600700855255,0.3365725874900818,0.16028228402137756,0.31091248989105225
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.11084804683923721,0.22950075566768646,0.42656609416007996,0.17194919288158417,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.002508036559447646,0.2820442318916321,0.3733934462070465,0.22614671289920807,0.22068053483963013
point,0.3286605179309845,0.17757032811641693,0.3084787130355835,0.10711365193128586,0.269877165555954,0.3084787130355835,-0.004512309562414885,0.09847788512706757,0.15094248950481415,0.1204436868429184,0.19189560413360596
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.07669968903064728,0.2390732765197754,0.45444270968437195,0.2013339251279831,0.32716336846351624
