,who,sacked,cam,newton,at,the,end,of,the,half,?
but,0.4487357437610626,0.26797935366630554,0.13294298946857452,0.2325286716222763,0.33498162031173706,0.4859698414802551,0.2667407691478729,0.39942997694015503,0.4859698414802551,0.27247828245162964,0.27921953797340393
with,0.3282766342163086,0.15382704138755798,0.13429154455661774,0.1584642082452774,0.29126521944999695,0.4223487675189972,0.23444485664367676,0.41827285289764404,0.4223487675189972,0.2849871516227722,0.2433311939239502
11,0.11859084665775299,-0.017497261986136436,-0.08025473356246948,-0.07622427493333817,-0.049403801560401917,-0.0219515822827816,-0.12467221170663834,-0.022359032183885574,-0.0219515822827816,-0.0578436441719532,-0.04295448586344719
seconds,0.16846957802772522,0.13567239046096802,0.170888289809227,0.2576914131641388,0.22611074149608612,0.1997634470462799,0.15851831436157227,0.13684065639972687,0.1997634470462799,0.2934293746948242,0.20335537195205688
left,0.24052289128303528,0.23188671469688416,0.08666917681694031,0.03717528656125069,0.23447579145431519,0.33113980293273926,0.2131517082452774,0.2218635529279709,0.33113980293273926,0.1788269281387329,0.13251960277557373
",",0.3365725874900818,0.2514380216598511,0.22727563977241516,0.2648763358592987,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.4933079481124878,0.26690807938575745,0.31091248989105225
newton,0.19243690371513367,0.1704728752374649,0.32548287510871887,1.0000001192092896,0.12256313115358353,0.1876603662967682,0.06915309280157089,0.18479612469673157,0.1876603662967682,0.11401809751987457,0.09645649790763855
was,0.3318818509578705,0.32993462681770325,0.17764709889888763,0.25264593958854675,0.36707764863967896,0.48711544275283813,0.19220198690891266,0.4069072902202606,0.48711544275283813,0.21022500097751617,0.18412111699581146
sacked,0.21875178813934326,1.0000001192092896,0.057312972843647,0.1704728752374649,0.17866815626621246,0.23815631866455078,0.24439190328121185,0.21375003457069397,0.23815631866455078,0.14904317259788513,0.07766196876764297
by,0.39727845788002014,0.21727506816387177,0.1010274812579155,0.19122301042079926,0.2368064820766449,0.4408751428127289,0.19136181473731995,0.3646814823150635,0.4408751428127289,0.22449548542499542,0.17966607213020325
demarcus,0.3140353262424469,0.2664787769317627,0.26344746351242065,0.2614399194717407,0.18692481517791748,0.23321470618247986,0.14951692521572113,0.1904100626707077,0.23321470618247986,0.12953998148441315,0.20002961158752441
ware,0.1765473484992981,0.1892334520816803,0.24347615242004395,0.22452892363071442,0.07640593498945236,0.14636042714118958,0.07681696116924286,0.1784062534570694,0.14636042714118958,0.07027461379766464,0.07426849752664566
as,0.3923053741455078,0.1766921728849411,0.19909058511257172,0.18695951998233795,0.28092536330223083,0.48381632566452026,0.23417671024799347,0.3886612355709076,0.48381632566452026,0.23334455490112305,0.27043893933296204
time,0.36634087562561035,0.25194674730300903,0.15631836652755737,0.24373620748519897,0.3956010341644287,0.43061500787734985,0.2940249741077423,0.35127586126327515,0.43061500787734985,0.2958219349384308,0.27391523122787476
expired,0.18601444363594055,0.31355100870132446,0.0674300417304039,0.04998011142015457,0.15813970565795898,0.26217955350875854,0.2738989591598511,0.16303057968616486,0.26217955350875854,0.178346648812294,0.22768248617649078
in,0.2792111933231354,0.2192855328321457,0.17906330525875092,0.23639483749866486,0.4374977946281433,0.6662389636039734,0.28539085388183594,0.5696388483047485,0.6662389636039734,0.25644969940185547,0.20430970191955566
the,0.3733934462070465,0.23815631866455078,0.18275147676467896,0.1876603662967682,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.3189295828342438,0.22068053483963013
half,0.2674400806427002,0.14904317259788513,0.16130395233631134,0.11401809751987457,0.22747784852981567,0.3189295828342438,0.2886093854904175,0.2784358561038971,0.3189295828342438,1.0000001192092896,0.07471233606338501
.,0.3541337847709656,0.19507746398448944,0.15243393182754517,0.20699870586395264,0.4549728035926819,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.5934505462646484,0.2995082437992096,0.4130953550338745
