,what,",",on,the,part,of,a,teacher,",",can,result,in,a,decrease,in,student,performance
teachers,0.2526462972164154,0.28049156069755554,0.24610933661460876,0.22025763988494873,0.1705612689256668,0.27737662196159363,0.2509842813014984,0.7334206104278564,0.28049156069755554,0.1946156919002533,0.0774323046207428,0.2128150761127472,0.2509842813014984,0.06276538223028183,0.2128150761127472,0.5576453804969788,0.19769562780857086
face,0.227594256401062,0.2059936672449112,0.22255119681358337,0.2601291239261627,0.17901553213596344,0.19828438758850098,0.2207985818386078,0.1163938045501709,0.2059936672449112,0.22259989380836487,0.23983778059482574,0.17266811430454254,0.2207985818386078,0.18763664364814758,0.17266811430454254,0.14344094693660736,0.15239217877388
several,0.22446060180664062,0.3402247726917267,0.33774417638778687,0.40559855103492737,0.21285293996334076,0.3271615505218506,0.29992109537124634,0.10034383088350296,0.3402247726917267,0.32839062809944153,0.12628479301929474,0.39405709505081177,0.29992109537124634,0.09621185064315796,0.39405709505081177,0.17890065908432007,0.2392900139093399
occupational,0.19267335534095764,0.25699102878570557,0.08954307436943054,0.1973530650138855,0.11088033765554428,0.26960793137550354,0.24232584238052368,0.20492523908615112,0.25699102878570557,0.24495981633663177,0.10239485651254654,0.20106375217437744,0.24232584238052368,0.1591983437538147,0.20106375217437744,0.10683591663837433,0.17026108503341675
hazards,0.24034540355205536,0.2665940523147583,0.19864001870155334,0.2174634337425232,0.1447758972644806,0.2060418576002121,0.25150901079177856,0.11094263195991516,0.2665940523147583,0.3573473393917084,0.2910471260547638,0.2056831270456314,0.25150901079177856,0.24450375139713287,0.2056831270456314,0.11317085474729538,0.1759023666381836
in,0.30808621644973755,0.5201468467712402,0.46853652596473694,0.6662389636039734,0.4499994218349457,0.5696388483047485,0.539380669593811,0.22632350027561188,0.5201468467712402,0.26527702808380127,0.25670310854911804,1.0,0.539380669593811,0.2277262806892395,1.0,0.254856139421463,0.252952516078949
their,0.35142919421195984,0.3045167922973633,0.3598666191101074,0.516537070274353,0.2496035248041153,0.4329940676689148,0.29698723554611206,0.11377552151679993,0.3045167922973633,0.3564860224723816,0.2298729121685028,0.34976133704185486,0.29698723554611206,0.2527433931827545,0.34976133704185486,0.1515319049358368,0.21919512748718262
line,0.2245367169380188,0.22637072205543518,0.2094266265630722,0.29789501428604126,0.26324358582496643,0.23765452206134796,0.23499317467212677,0.13268257677555084,0.22637072205543518,0.1918898969888687,0.17363005876541138,0.2258777767419815,0.23499317467212677,0.18110305070877075,0.2258777767419815,0.10650377720594406,0.09004233032464981
of,0.33290785551071167,0.4946078956127167,0.3966929316520691,0.733189046382904,0.452393114566803,1.0,0.5052502155303955,0.19968076050281525,0.4946078956127167,0.2603091299533844,0.231380432844162,0.5696388483047485,0.5052502155303955,0.2226300835609436,0.5696388483047485,0.20310284197330475,0.18957610428333282
work,0.3762225806713104,0.3283594250679016,0.26663315296173096,0.2704800069332123,0.2006094753742218,0.23473061621189117,0.266241192817688,0.31480422616004944,0.3283594250679016,0.28794336318969727,0.10479757934808731,0.2753349542617798,0.266241192817688,0.22171491384506226,0.2753349542617798,0.27804502844810486,0.32847756147384644
