,what,is,it,called,when,steam,propels,a,turbo,generator,with,electric,motor,propulsion,?
nuclear-powered,0.2405693382024765,0.17733633518218994,0.2568915784358978,0.2691090404987335,0.3101554214954376,0.47422873973846436,0.4774053692817688,0.2586680054664612,0.365566223859787,0.4995594024658203,0.2591952681541443,0.3842983543872833,0.33712777495384216,0.5109601616859436,0.24006147682666779
ships,0.18164707720279694,0.1527765691280365,0.18837276101112366,0.16835418343544006,0.2804982364177704,0.32751697301864624,0.34868258237838745,0.16762858629226685,0.232995867729187,0.15943516790866852,0.1974010020494461,0.1691301316022873,0.23390227556228638,0.32463592290878296,0.18477600812911987
and,0.31309178471565247,0.3859752118587494,0.40957894921302795,0.3251761794090271,0.4716290831565857,0.24133789539337158,0.28092098236083984,0.3739250600337982,0.20617426931858063,0.24137727916240692,0.5477725267410278,0.212884783744812,0.20162664353847504,0.2533870041370392,0.20544172823429108
submarines,0.24483607709407806,0.1504552960395813,0.20603686571121216,0.19871091842651367,0.2341754138469696,0.3895706832408905,0.4574004113674164,0.20357733964920044,0.26597824692726135,0.22878283262252808,0.18235039710998535,0.31605246663093567,0.21854786574840546,0.3925100266933441,0.21099020540714264
either,0.3851809501647949,0.3086068034172058,0.3548150360584259,0.27915245294570923,0.38302552700042725,0.2252463549375534,0.31704673171043396,0.40784984827041626,0.1613093763589859,0.20640768110752106,0.33237120509147644,0.2016371339559555,0.14768871665000916,0.20213471353054047,0.31498292088508606
use,0.3453877568244934,0.3357410430908203,0.34436097741127014,0.30098897218704224,0.3298092782497406,0.2950085997581482,0.3733024299144745,0.30793872475624084,0.2611563801765442,0.29440122842788696,0.3356984257698059,0.29847803711891174,0.1904177963733673,0.3727424740791321,0.32795652747154236
a,0.3320399522781372,0.658733606338501,0.5452592968940735,0.4868806302547455,0.44397395849227905,0.2141898274421692,0.332733154296875,1.0,0.2016327977180481,0.27703046798706055,0.3783375024795532,0.24061402678489685,0.23198452591896057,0.29235440492630005,0.23916715383529663
steam,0.15672586858272552,0.13029660284519196,0.2156127691268921,0.20317578315734863,0.29351481795310974,1.0000001192092896,0.4587547779083252,0.2141898274421692,0.41986700892448425,0.4620785117149353,0.21801024675369263,0.3633075952529907,0.3750782907009125,0.43176960945129395,0.113324373960495
turbine,0.1404699683189392,0.20463748276233673,0.20067252218723297,0.16035404801368713,0.17679035663604736,0.5301763415336609,0.49833738803863525,0.23364008963108063,0.5869557857513428,0.5454463958740234,0.12040868401527405,0.3938206732273102,0.40582647919654846,0.5186394453048706,0.16315746307373047
directly,0.3618607521057129,0.2819631099700928,0.380840539932251,0.25342538952827454,0.35869741439819336,0.2289198935031891,0.3276868760585785,0.27976194024086,0.17186187207698822,0.22387531399726868,0.23776929080486298,0.2189231812953949,0.2513551712036133,0.25889167189598083,0.2187996357679367
