,what,does,the,tardis,look,like,?
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.1960487961769104,0.16591975092887878,0.31010183691978455,0.20430970191955566
1996,0.1822642683982849,0.05873831361532211,0.10029517859220505,0.059270597994327545,0.018876157701015472,0.04888033866882324,0.18022380769252777
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.17403040826320648,0.3016788363456726,0.4085598886013031,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.29145124554634094,0.2806221544742584,0.32912567257881165,0.22068053483963013
bbc,0.20634698867797852,0.1799343228340149,0.2735401690006256,0.2833022177219391,0.22024352848529816,0.1758824586868286,0.20556949079036713
applied,0.1944669634103775,0.24281519651412964,0.22842662036418915,0.12183820456266403,0.18473897874355316,0.2200700342655182,0.15585725009441376
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.16425904631614685,0.2501380443572998,0.35140180587768555,0.264628142118454
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.2688678205013275,0.23710425198078156,0.38655611872673035,0.23916715383529663
trade,0.1555381417274475,0.15124301612377167,0.2681608200073242,0.21437498927116394,0.1701764017343521,0.17383794486522675,0.09336511790752411
mark,0.16941310465335846,0.08891664445400238,0.2235521525144577,0.089350625872612,0.12864767014980316,0.11085445433855057,0.11634156107902527
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.2524881064891815,0.3370966613292694,0.35482415556907654,0.29463258385658264
use,0.3453877568244934,0.39963871240615845,0.34342584013938904,0.23432454466819763,0.3701387345790863,0.4426271915435791,0.32795652747154236
the,0.42745697498321533,0.35928019881248474,1.0,0.29145124554634094,0.2806221544742584,0.32912567257881165,0.22068053483963013
tardis,0.21426796913146973,0.2334626019001007,0.29145124554634094,1.0000001192092896,0.26215746998786926,0.23077118396759033,0.14893783628940582
',0.3245812654495239,0.2684852182865143,0.474788099527359,0.13746139407157898,0.23007607460021973,0.2713732421398163,0.330942302942276
blue,0.17981211841106415,0.189993217587471,0.2734997570514679,0.16179466247558594,0.1988758146762848,0.20684172213077545,0.15668673813343048
police,0.1865120679140091,0.149123415350914,0.2206914722919464,0.18054185807704926,0.12580606341362,0.17352567613124847,0.1765819936990738
box,0.20509275794029236,0.23173171281814575,0.25871407985687256,0.24328218400478363,0.2945542633533478,0.2747535705566406,0.21736569702625275
design,0.23893405497074127,0.13883008062839508,0.27913451194763184,0.1462516188621521,0.26831555366516113,0.20651741325855255,0.16351860761642456
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.1960487961769104,0.16591975092887878,0.31010183691978455,0.20430970191955566
merchandising,0.16450157761573792,0.21163876354694366,0.25329211354255676,0.21453674137592316,0.18662387132644653,0.179229736328125,0.10847388952970505
associated,0.15836219489574432,0.2283642590045929,0.2742886245250702,0.09706734865903854,0.1484411060810089,0.2586398720741272,0.1453326791524887
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.20983701944351196,0.2347271889448166,0.38741448521614075,0.2433311939239502
doctor,0.20870667695999146,0.17192082107067108,0.2820442318916321,0.5026617050170898,0.20997919142246246,0.20210526883602142,0.1462511420249939
who,0.40942975878715515,0.25013914704322815,0.3733934462070465,0.2757788300514221,0.23452164232730865,0.34740978479385376,0.26220351457595825
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.224110946059227,0.3426704406738281,0.393751323223114,0.4130953550338745
,what,does,the,tardis,look,like,?
the,0.42745697498321533,0.35928019881248474,1.0,0.29145124554634094,0.2806221544742584,0.32912567257881165,0.22068053483963013
