,who,matters,the,most,for,economic,growth,?
in,0.2792111933231354,0.22737738490104675,0.6662389636039734,0.41416558623313904,0.4322226941585541,0.22027181088924408,0.2819603681564331,0.20430970191955566
contrast,0.16949069499969482,0.2764538526535034,0.25799670815467834,0.31185951828956604,0.20690715312957764,0.1582864671945572,0.2459956407546997,0.15469981729984283
",",0.3365725874900818,0.3183421194553375,0.4933079481124878,0.3636029064655304,0.4464869201183319,0.2340485155582428,0.2218456119298935,0.31091248989105225
an,0.2848317325115204,0.19790256023406982,0.4207492768764496,0.2748267352581024,0.3236706852912903,0.15034084022045135,0.1870514452457428,0.19793890416622162
increase,0.16291113197803497,0.21918396651744843,0.32049667835235596,0.24197974801063538,0.26647913455963135,0.2910363972187042,0.45214125514030457,0.11119163036346436
in,0.2792111933231354,0.22737738490104675,0.6662389636039734,0.41416558623313904,0.4322226941585541,0.22027181088924408,0.2819603681564331,0.20430970191955566
the,0.3733934462070465,0.32925453782081604,1.0,0.47635307908058167,0.4739971458911896,0.282455176115036,0.2912366986274719,0.22068053483963013
income,0.1852571815252304,0.2999597191810608,0.23699946701526642,0.22118313610553741,0.27512091398239136,0.408316433429718,0.37261080741882324,0.14935168623924255
share,0.22441379725933075,0.2350490689277649,0.249948650598526,0.24236467480659485,0.24338656663894653,0.18761909008026123,0.1736205369234085,0.1754547506570816
of,0.2827862501144409,0.298933744430542,0.733189046382904,0.4178851246833801,0.4185989499092102,0.3030148148536682,0.2679378092288971,0.1826142966747284
the,0.3733934462070465,0.32925453782081604,1.0,0.47635307908058167,0.4739971458911896,0.282455176115036,0.2912366986274719,0.22068053483963013
bottom,0.12192776054143906,0.17931540310382843,0.3075515031814575,0.11871855705976486,0.16863200068473816,0.13457702100276947,0.1680133044719696,0.21899469196796417
20,0.01726163923740387,0.036683399230241776,-0.06418957561254501,0.03306860104203224,-0.03344472870230675,0.07359933108091354,-0.026385683566331863,0.11360422521829605
percent,0.23825250566005707,0.23773734271526337,0.277066707611084,0.29010701179504395,0.23493695259094238,0.2538847327232361,0.32251960039138794,0.14671556651592255
(,0.2443375140428543,0.2852385342121124,0.33289089798927307,0.20654040575027466,0.3357032239437103,0.12015148252248764,0.15381410717964172,0.40561532974243164
the,0.3733934462070465,0.32925453782081604,1.0,0.47635307908058167,0.4739971458911896,0.282455176115036,0.2912366986274719,0.22068053483963013
poor,0.30099374055862427,0.2614009976387024,0.21093174815177917,0.2522456645965576,0.2900572121143341,0.30020031332969666,0.2721604108810425,0.12937016785144806
),0.2457384318113327,0.2901943624019623,0.3456730246543884,0.23620007932186127,0.3639558255672455,0.14061136543750763,0.14860999584197998,0.42300865054130554
is,0.24293622374534607,0.2639962434768677,0.5823672413825989,0.41165053844451904,0.43268078565597534,0.21102669835090637,0.2256266176700592,0.22961433231830597
associated,0.1752842664718628,0.1818302422761917,0.2742886245250702,0.29152238368988037,0.22591517865657806,0.17999763786792755,0.1900806576013565,0.1453326791524887
with,0.3282766342163086,0.29535746574401855,0.4223487675189972,0.336320698261261,0.39140474796295166,0.21086382865905762,0.1721288114786148,0.2433311939239502
higher,0.20071525871753693,0.249260812997818,0.3292480409145355,0.2594144344329834,0.2346303015947342,0.20971091091632843,0.24618519842624664,0.15679465234279633
gdp,0.0926811546087265,0.26546069979667664,0.16116170585155487,0.15265649557113647,0.16771060228347778,0.41995733976364136,0.42887356877326965,0.232579305768013
growth,0.11536464095115662,0.149332195520401,0.2912366986274719,0.23817776143550873,0.24965375661849976,0.4732155203819275,1.0000001192092896,0.07547862827777863
.,0.3541337847709656,0.2861754298210144,0.5934505462646484,0.35404038429260254,0.4726039469242096,0.22435031831264496,0.2825547754764557,0.4130953550338745
,who,matters,the,most,for,economic,growth,?
the,0.3733934462070465,0.32925453782081604,1.0,0.47635307908058167,0.4739971458911896,0.282455176115036,0.2912366986274719,0.22068053483963013
poor,0.30099374055862427,0.2614009976387024,0.21093174815177917,0.2522456645965576,0.2900572121143341,0.30020031332969666,0.2721604108810425,0.12937016785144806
and,0.41279885172843933,0.3753611743450165,0.5171257257461548,0.4309377074241638,0.5064792633056641,0.2707010805606842,0.2731747627258301,0.20544172823429108
the,0.3733934462070465,0.32925453782081604,1.0,0.47635307908058167,0.4739971458911896,0.282455176115036,0.2912366986274719,0.22068053483963013
middle,0.16097767651081085,0.13879743218421936,0.3405749201774597,0.23024573922157288,0.17248252034187317,0.22097447514533997,0.2020195871591568,0.13139553368091583
class,0.17484316229820251,0.08067777007818222,0.18034407496452332,0.17672498524188995,0.17833863198757172,0.1492115706205368,0.11094220727682114,0.12778934836387634
matter,0.26875653862953186,0.6354965567588806,0.2957161068916321,0.20246411859989166,0.2296326607465744,0.18201208114624023,0.16167378425598145,0.269619345664978
the,0.3733934462070465,0.32925453782081604,1.0,0.47635307908058167,0.4739971458911896,0.282455176115036,0.2912366986274719,0.22068053483963013
most,0.35393568873405457,0.2511315941810608,0.47635307908058167,1.0,0.3906237483024597,0.2148471474647522,0.23817776143550873,0.2107497900724411
for,0.37110671401023865,0.32145094871520996,0.4739971458911896,0.3906237483024597,0.9999999403953552,0.24368955194950104,0.24965375661849976,0.264628142118454
growth,0.11536464095115662,0.149332195520401,0.2912366986274719,0.23817776143550873,0.24965375661849976,0.4732155203819275,1.0000001192092896,0.07547862827777863
via,0.12545354664325714,0.1685572862625122,0.23979412019252777,0.1730339080095291,0.1971353143453598,0.07936923205852509,0.0694141760468483,0.19443516433238983
a,0.36608949303627014,0.25797080993652344,0.5829201340675354,0.3508910834789276,0.44038116931915283,0.2234611213207245,0.21544985473155975,0.23916715383529663
number,0.21304799616336823,0.20162932574748993,0.35145696997642517,0.31398043036460876,0.2861633002758026,0.1426883190870285,0.2351289540529251,0.19256845116615295
of,0.2827862501144409,0.298933744430542,0.733189046382904,0.4178851246833801,0.4185989499092102,0.3030148148536682,0.2679378092288971,0.1826142966747284
interrelated,0.22959624230861664,0.3472679853439331,0.3302667737007141,0.2627917230129242,0.2693038582801819,0.23173336684703827,0.17962081730365753,0.2854699194431305
economic,0.13431337475776672,0.32592272758483887,0.282455176115036,0.2148471474647522,0.24368955194950104,0.9999999403953552,0.4732155203819275,0.1206481084227562
",",0.3365725874900818,0.3183421194553375,0.4933079481124878,0.3636029064655304,0.4464869201183319,0.2340485155582428,0.2218456119298935,0.31091248989105225
