,what,type,of,income,is,the,vast,majority,of,the,population,dependent,on,?
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.17474129796028137,0.3899846076965332,0.4408751428127289,0.26657533645629883,0.21340490877628326,0.3646814823150635,0.4408751428127289,0.17143253982067108,0.21521559357643127,0.33887791633605957,0.17966607213020325
contrast,0.2773490250110626,0.2343987226486206,0.3046875298023224,0.19828851521015167,0.2659924328327179,0.25799670815467834,0.25956690311431885,0.2893255054950714,0.3046875298023224,0.25799670815467834,0.21666328608989716,0.26477694511413574,0.15723036229610443,0.15469981729984283
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19703416526317596,0.4691906273365021,0.4933079481124878,0.26677265763282776,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.18615542352199554,0.49057599902153015,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23699946701526642,0.5823672413825989,1.0,0.28638118505477905,0.28757327795028687,0.733189046382904,1.0,0.32044094800949097,0.23169851303100586,0.5107308030128479,0.22068053483963013
vast,0.23471814393997192,0.13377739489078522,0.28792089223861694,0.24439091980457306,0.2100648730993271,0.28638118505477905,1.0,0.4437248706817627,0.28792089223861694,0.28638118505477905,0.23622781038284302,0.21077769994735718,0.1951756775379181,0.12112510949373245
majority,0.25967487692832947,0.1443064659833908,0.29706597328186035,0.27639225125312805,0.19749082624912262,0.28757327795028687,0.4437248706817627,0.9999998807907104,0.29706597328186035,0.28757327795028687,0.3742915391921997,0.14429913461208344,0.20937225222587585,0.220119908452034
of,0.33290785551071167,0.18112817406654358,1.0,0.2581324577331543,0.4854315221309662,0.733189046382904,0.28792089223861694,0.29706597328186035,1.0,0.733189046382904,0.3060894012451172,0.27231869101524353,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23699946701526642,0.5823672413825989,1.0,0.28638118505477905,0.28757327795028687,0.733189046382904,1.0,0.32044094800949097,0.23169851303100586,0.5107308030128479,0.22068053483963013
population,0.2000674307346344,0.10401057451963425,0.3060894012451172,0.36952686309814453,0.2727566361427307,0.32044094800949097,0.23622781038284302,0.3742915391921997,0.3060894012451172,0.32044094800949097,1.0,0.2111392468214035,0.14850834012031555,0.14449454843997955
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.14559021592140198,1.0,0.5823672413825989,0.2100648730993271,0.19749082624912262,0.4854315221309662,0.5823672413825989,0.2727566361427307,0.2275722324848175,0.3635730445384979,0.22961433231830597
dependent,0.2771287262439728,0.28047463297843933,0.27231869101524353,0.3038422167301178,0.2275722324848175,0.23169851303100586,0.21077769994735718,0.14429913461208344,0.27231869101524353,0.23169851303100586,0.2111392468214035,1.0000001192092896,0.23826982080936432,0.1324409693479538
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.12938405573368073,0.3635730445384979,0.5107308030128479,0.1951756775379181,0.20937225222587585,0.3966929316520691,0.5107308030128479,0.14850834012031555,0.23826982080936432,0.9999999403953552,0.2714994251728058
income,0.21837803721427917,0.16370734572410583,0.2581324577331543,1.0,0.14559021592140198,0.23699946701526642,0.24439091980457306,0.27639225125312805,0.2581324577331543,0.23699946701526642,0.36952686309814453,0.3038422167301178,0.12938405573368073,0.14935168623924255
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.1795814335346222,0.5394441485404968,0.6662389636039734,0.24572928249835968,0.2563854157924652,0.5696388483047485,0.6662389636039734,0.3268454372882843,0.21619132161140442,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23699946701526642,0.5823672413825989,1.0,0.28638118505477905,0.28757327795028687,0.733189046382904,1.0,0.32044094800949097,0.23169851303100586,0.5107308030128479,0.22068053483963013
form,0.15868011116981506,0.3017115294933319,0.29600051045417786,0.13054175674915314,0.3218395411968231,0.29286009073257446,0.19901043176651,0.23909513652324677,0.29600051045417786,0.29286009073257446,0.12009189277887344,0.26093876361846924,0.1214052140712738,0.1463010311126709
of,0.33290785551071167,0.18112817406654358,1.0,0.2581324577331543,0.4854315221309662,0.733189046382904,0.28792089223861694,0.29706597328186035,1.0,0.733189046382904,0.3060894012451172,0.27231869101524353,0.3966929316520691,0.1826142966747284
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2084353119134903,0.658733606338501,0.5829201340675354,0.1758710741996765,0.227370023727417,0.5052502155303955,0.5829201340675354,0.2345738559961319,0.2315470427274704,0.3848365545272827,0.23916715383529663
wage,0.25473552942276,0.10176956653594971,0.18234474956989288,0.49633800983428955,0.16707952320575714,0.2281475067138672,0.19311091303825378,0.23025408387184143,0.18234474956989288,0.2281475067138672,0.22598189115524292,0.18740467727184296,0.1811586320400238,0.21983641386032104
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.2201215922832489,0.41870999336242676,0.4174870550632477,0.25717222690582275,0.26763081550598145,0.3792596757411957,0.4174870550632477,0.17320232093334198,0.35687240958213806,0.2897229492664337,0.32389625906944275
salary,0.2065381407737732,0.13769899308681488,0.22919052839279175,0.487434446811676,0.15019352734088898,0.2075764387845993,0.13052979111671448,0.17883974313735962,0.22919052839279175,0.2075764387845993,0.16838498413562775,0.169178307056427,0.22385592758655548,0.20685498416423798
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.26448529958724976,0.4569662809371948,0.5934505462646484,0.1723562479019165,0.30306822061538696,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.20676179230213165,0.49257001280784607,0.4130953550338745
