,where,are,health,and,social,problems,most,common,?
creating,0.28063228726387024,0.2641191780567169,0.18732766807079315,0.36289316415786743,0.20815104246139526,0.22791732847690582,0.2768849730491638,0.11777837574481964,0.2842518985271454
an,0.24824833869934082,0.1556541919708252,0.1369510293006897,0.2838519215583801,0.1521279513835907,0.1804785281419754,0.2748267352581024,0.13647881150245667,0.19793890416622162
index,0.1817852109670639,0.1705205887556076,0.18732501566410065,0.14331957697868347,0.18474674224853516,0.22013337910175323,0.07365566492080688,0.09295901656150818,0.2477751076221466
of,0.38066378235816956,0.39081433415412903,0.28076469898223877,0.5116966962814331,0.2605111300945282,0.2450421154499054,0.4178851246833801,0.2949881851673126,0.1826142966747284
``,0.020612511783838272,0.12624181807041168,0.003065527183935046,0.036644238978624344,0.0685405433177948,0.07921574264764786,0.08567854017019272,0.13911877572536469,0.0685480609536171
health,0.16377852857112885,0.19031372666358948,1.0000001192092896,0.3215619623661041,0.3956437110900879,0.40322181582450867,0.16260358691215515,0.1459171622991562,0.16094304621219635
and,0.43859338760375977,0.48576638102531433,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.4309377074241638,0.229714497923851,0.20544172823429108
social,0.12548038363456726,0.21125389635562897,0.3956437110900879,0.38231831789016724,1.0,0.24665296077728271,0.17991873621940613,0.1517033725976944,0.1615191102027893
problems,0.27823734283447266,0.2565869987010956,0.40322181582450867,0.285793662071228,0.24665296077728271,1.0,0.25217464566230774,0.23478636145591736,0.2638136148452759
'',0.016034942120313644,0.0263817198574543,-0.002438992029055953,0.021612688899040222,0.01732291281223297,0.003717846004292369,0.01990530639886856,-0.003978588618338108,0.018684765323996544
from,0.3713873624801636,0.2674213647842407,0.17037683725357056,0.3601827025413513,0.16684982180595398,0.21618343889713287,0.28580769896507263,0.1902724653482437,0.19969791173934937
nine,0.18423938751220703,0.271965891122818,0.1968674212694168,0.3451005816459656,0.09882020950317383,0.15628787875175476,0.2887510359287262,0.05635697394609451,0.13964155316352844
factors,0.2802251875400543,0.3234047591686249,0.3263867497444153,0.2477942556142807,0.23937837779521942,0.43909165263175964,0.26446184515953064,0.2310592383146286,0.2019491046667099
",",0.3149496018886566,0.4062570035457611,0.2331448197364807,0.6633074283599854,0.2674078345298767,0.2596952021121979,0.3636029064655304,0.2497023195028305,0.31091248989105225
authors,0.1341787576675415,0.26305270195007324,0.1403706669807434,0.2311880737543106,0.14100231230258942,0.1349322348833084,0.20723925530910492,0.14607320725917816,0.19121912121772766
richard,0.12078883498907089,0.12684200704097748,0.10134519636631012,0.22443673014640808,0.05272114649415016,0.09825029969215393,0.12919823825359344,0.11327522993087769,0.15003317594528198
wilkinson,0.19357524812221527,0.14260241389274597,0.2323635369539261,0.32041966915130615,0.1871601790189743,0.1660344898700714,0.15614569187164307,0.1376989185810089,0.16808927059173584
and,0.43859338760375977,0.48576638102531433,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.4309377074241638,0.229714497923851,0.20544172823429108
kate,0.058465998619794846,0.15677955746650696,0.09731198847293854,0.2076733410358429,0.1802108734846115,0.12195709347724915,0.12133587896823883,0.14890816807746887,0.13810789585113525
pickett,0.2000708281993866,0.13519151508808136,0.1474691778421402,0.24974514544010162,0.10927283763885498,0.1314532458782196,0.18879936635494232,0.16504384577274323,0.19584017992019653
found,0.2867223024368286,0.2740558087825775,0.16176854074001312,0.27978911995887756,0.17261944711208344,0.1616072952747345,0.2697452902793884,0.2702949643135071,0.16790300607681274
health,0.16377852857112885,0.19031372666358948,1.0000001192092896,0.3215619623661041,0.3956437110900879,0.40322181582450867,0.16260358691215515,0.1459171622991562,0.16094304621219635
and,0.43859338760375977,0.48576638102531433,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.4309377074241638,0.229714497923851,0.20544172823429108
social,0.12548038363456726,0.21125389635562897,0.3956437110900879,0.38231831789016724,1.0,0.24665296077728271,0.17991873621940613,0.1517033725976944,0.1615191102027893
problems,0.27823734283447266,0.2565869987010956,0.40322181582450867,0.285793662071228,0.24665296077728271,1.0,0.25217464566230774,0.23478636145591736,0.2638136148452759
``,0.020612511783838272,0.12624181807041168,0.003065527183935046,0.036644238978624344,0.0685405433177948,0.07921574264764786,0.08567854017019272,0.13911877572536469,0.0685480609536171
