,by,what,name,was,the,mongol,army,that,finally,conquered,bulgaria,known,?
later,0.3747883439064026,0.2517229914665222,0.2509414553642273,0.5684447288513184,0.4060266613960266,0.1983191967010498,0.31001994013786316,0.42443475127220154,0.5455083250999451,0.3646758496761322,0.17917299270629883,0.22918128967285156,0.1417175978422165
under,0.3161602020263672,0.20154598355293274,0.28553691506385803,0.2672741413116455,0.3348022699356079,0.22559615969657898,0.19670718908309937,0.26447200775146484,0.22846025228500366,0.28540125489234924,0.1459350734949112,0.18985916674137115,0.18233340978622437
genghis,0.22102472186088562,0.24369274079799652,0.1921190470457077,0.3037589192390442,0.3448939025402069,0.6244974732398987,0.33970266580581665,0.21352417767047882,0.2584455609321594,0.5049505233764648,0.3234274387359619,0.21256069839000702,0.18813461065292358
khan,0.13558374345302582,0.16476042568683624,0.09873242676258087,0.23483267426490784,0.21067845821380615,0.5576101541519165,0.2175215482711792,0.14077997207641602,0.15035879611968994,0.2886276841163635,0.2643375098705292,0.13148783147335052,0.12862591445446014
's,-0.010884488001465797,0.02692362666130066,0.08507627248764038,0.008974763564765453,-0.01540423184633255,-0.05976467952132225,0.03417222201824188,0.04397977516055107,-0.00435760198161006,-0.024525096639990807,0.11512729525566101,0.008368984796106815,-0.023395681753754616
grandson,0.20584753155708313,0.16966131329536438,0.23113839328289032,0.25948330760002136,0.2345878779888153,0.2816116511821747,0.24405093491077423,0.1932709515094757,0.22018830478191376,0.41144976019859314,0.13931353390216827,0.2727917432785034,0.14955078065395355
batu,0.160776287317276,0.08854750543832779,0.20750324428081512,0.2106325775384903,0.2548635005950928,0.42799192667007446,0.3057265281677246,0.10124141722917557,0.15083596110343933,0.3098580837249756,0.2459367960691452,0.2674795985221863,0.08778967708349228
and,0.4289871156215668,0.31309178471565247,0.21235932409763336,0.3740963041782379,0.5171257257461548,0.21553155779838562,0.25581875443458557,0.4731321930885315,0.42047661542892456,0.28165748715400696,0.21764446794986725,0.3468935489654541,0.20544172823429108
the,0.4408751428127289,0.42745697498321533,0.3171212375164032,0.48711544275283813,1.0,0.2924198508262634,0.31011611223220825,0.5473989248275757,0.4516841769218445,0.3127642273902893,0.18048998713493347,0.3624623417854309,0.22068053483963013
golden,0.14126090705394745,0.172581747174263,0.1613081842660904,0.21282179653644562,0.28740859031677246,0.23401188850402832,0.1056324914097786,0.19638286530971527,0.16996696591377258,0.21580016613006592,0.14488443732261658,0.26627835631370544,0.1324693262577057
horde,0.15289603173732758,0.17312763631343842,0.0853702574968338,0.1378961056470871,0.23752695322036743,0.5189521908760071,0.29852595925331116,0.15599648654460907,0.2705618739128113,0.3883911669254303,0.32524406909942627,0.12001843750476837,0.13993681967258453
",",0.3680937886238098,0.3087472915649414,0.28145334124565125,0.45456063747406006,0.4933079481124878,0.2229510098695755,0.230897456407547,0.4137537479400635,0.32560861110687256,0.2528323531150818,0.25165387988090515,0.3604377806186676,0.31091248989105225
the,0.4408751428127289,0.42745697498321533,0.3171212375164032,0.48711544275283813,1.0,0.2924198508262634,0.31011611223220825,0.5473989248275757,0.4516841769218445,0.3127642273902893,0.18048998713493347,0.3624623417854309,0.22068053483963013
mongols,0.233955517411232,0.171964630484581,0.14269477128982544,0.19519121944904327,0.310281366109848,0.905461847782135,0.31691253185272217,0.22344286739826202,0.26669472455978394,0.4694822132587433,0.29722118377685547,0.14931991696357727,0.11517509818077087
returned,0.2103281319141388,0.15085899829864502,0.192525714635849,0.4257400631904602,0.32857778668403625,0.14917436242103577,0.22233916819095612,0.20032379031181335,0.4220111072063446,0.32532721757888794,0.09115834534168243,0.214942067861557,0.07695316523313522
to,0.33534231781959534,0.455847829580307,0.27806994318962097,0.3636345863342285,0.535392165184021,0.2125127911567688,0.22938482463359833,0.5436353087425232,0.4384642541408539,0.2174634039402008,0.1821964830160141,0.14337651431560516,0.29463258385658264
conquer,0.19041268527507782,0.23298686742782593,0.1497923582792282,0.19216717779636383,0.2652769386768341,0.4339456558227539,0.376328706741333,0.22519750893115997,0.3192339837551117,0.818066418170929,0.2210051268339157,0.045265212655067444,0.1431300938129425
volga,0.14242854714393616,0.19378750026226044,0.16909316182136536,0.1763104498386383,0.26965025067329407,0.37203526496887207,0.20720386505126953,0.17884153127670288,0.17931370437145233,0.2517271339893341,0.5018643140792847,0.12922362983226776,0.1737084984779358
bulgaria,0.12068527936935425,0.12492792308330536,0.15173301100730896,0.12555913627147675,0.18048998713493347,0.3469862937927246,0.15016219019889832,0.15091273188591003,0.2053992599248886,0.26308494806289673,1.0,0.11600840091705322,0.16436730325222015
and,0.4289871156215668,0.31309178471565247,0.21235932409763336,0.3740963041782379,0.5171257257461548,0.21553155779838562,0.25581875443458557,0.4731321930885315,0.42047661542892456,0.28165748715400696,0.21764446794986725,0.3468935489654541,0.20544172823429108
kievan,0.1994994729757309,0.2299371063709259,0.1910066306591034,0.2750789523124695,0.29959583282470703,0.5146178603172302,0.2288060486316681,0.2153790146112442,0.20360927283763885,0.40382659435272217,0.4329448938369751,0.19161130487918854,0.1342822015285492
rus,0.08466585725545883,0.2836252450942993,0.18254464864730835,0.1890505701303482,0.2636447250843048,0.41763564944267273,0.15740540623664856,0.2607101500034332,0.19996733963489532,0.3438515365123749,0.47386765480041504,0.09839344024658203,0.1432476043701172
',0.2610379159450531,0.3245812654495239,0.3737941086292267,0.33675912022590637,0.474788099527359,0.1913980096578598,0.17244453728199005,0.3494868278503418,0.16080763936042786,0.10857295989990234,0.13251438736915588,0.40319374203681946,0.330942302942276
in,0.370934396982193,0.30808621644973755,0.2459065467119217,0.45514053106307983,0.6662389636039734,0.16958336532115936,0.25258398056030273,0.435920387506485,0.36356985569000244,0.287716805934906,0.18554255366325378,0.32641831040382385,0.20430970191955566
1237,-0.057151470333337784,0.03399364650249481,-0.07508491724729538,-0.08806120604276657,0.0836370438337326,-0.009336316026747227,-0.0642821192741394,0.02473880536854267,-0.03180685639381409,-0.023762309923768044,-0.05615787208080292,-0.018479490652680397,-0.07788846641778946
",",0.3680937886238098,0.3087472915649414,0.28145334124565125,0.45456063747406006,0.4933079481124878,0.2229510098695755,0.230897456407547,0.4137537479400635,0.32560861110687256,0.2528323531150818,0.25165387988090515,0.3604377806186676,0.31091248989105225
concluding,0.24140891432762146,0.3054657280445099,0.11598365008831024,0.21305862069129944,0.3353133499622345,0.19008037447929382,0.19068750739097595,0.42201268672943115,0.34990420937538147,0.22102171182632446,0.13726019859313965,0.17406690120697021,0.18368390202522278
the,0.4408751428127289,0.42745697498321533,0.3171212375164032,0.48711544275283813,1.0,0.2924198508262634,0.31011611223220825,0.5473989248275757,0.4516841769218445,0.3127642273902893,0.18048998713493347,0.3624623417854309,0.22068053483963013
campaign,0.15816208720207214,0.22158007323741913,0.10844726115465164,0.2556212544441223,0.2755736708641052,0.15788589417934418,0.3637850284576416,0.19006803631782532,0.17186987400054932,0.26071903109550476,0.1386297345161438,0.15807437896728516,0.162482351064682
in,0.370934396982193,0.30808621644973755,0.2459065467119217,0.45514053106307983,0.6662389636039734,0.16958336532115936,0.25258398056030273,0.435920387506485,0.36356985569000244,0.287716805934906,0.18554255366325378,0.32641831040382385,0.20430970191955566
1240,0.16162346303462982,0.23736853897571564,0.21809734404087067,0.14740732312202454,0.3090360164642334,0.20436669886112213,0.1598271280527115,0.2675250172615051,0.151569664478302,0.1179959625005722,0.18682050704956055,0.12124659866094589,0.3477284610271454
