,what,are,the,proteins,that,organisms,use,to,identify,molecules,associated,with,pathogens,?
pattern,0.2522786855697632,0.2375091165304184,0.2485450804233551,0.2676026523113251,0.2873515784740448,0.23145143687725067,0.29687777161598206,0.19279024004936218,0.2635537385940552,0.2746630907058716,0.18898236751556396,0.23225677013397217,0.19531448185443878,0.20064511895179749
recognition,0.25729188323020935,0.16518700122833252,0.31624147295951843,0.20986399054527283,0.29218024015426636,0.2552646994590759,0.2581580877304077,0.2735123634338379,0.3247373700141907,0.2354443520307541,0.1977776288986206,0.23170287907123566,0.2473151683807373,0.20074869692325592
receptors,0.2304931879043579,0.34147852659225464,0.2622849941253662,0.6164228916168213,0.271827757358551,0.44333815574645996,0.2714444696903229,0.22309477627277374,0.30331000685691833,0.5433341264724731,0.25228533148765564,0.22561310231685638,0.6091626882553101,0.1343143880367279
are,0.29724663496017456,1.0,0.40399202704429626,0.3328206241130829,0.45265161991119385,0.3114190697669983,0.4174068570137024,0.3504326641559601,0.32850974798202515,0.3300325572490692,0.28055059909820557,0.38996943831443787,0.352535605430603,0.24591213464736938
proteins,0.21361225843429565,0.3328206241130829,0.23576003313064575,0.9999999403953552,0.2839849293231964,0.5703305602073669,0.21219223737716675,0.24676139652729034,0.2802038788795471,0.7107267379760742,0.2309366911649704,0.25165173411369324,0.6249973773956299,0.18469302356243134
used,0.27546408772468567,0.3322218656539917,0.3718377649784088,0.23941625654697418,0.37621384859085083,0.25557851791381836,0.7127541303634644,0.40058770775794983,0.3375391364097595,0.24640004336833954,0.3205183446407318,0.3047430217266083,0.27143988013267517,0.22430120408535004
by,0.2455483376979828,0.37842893600463867,0.4408751428127289,0.2186184525489807,0.37496164441108704,0.19641327857971191,0.21048003435134888,0.33534231781959534,0.21220269799232483,0.22475433349609375,0.20962266623973846,0.39731505513191223,0.20554135739803314,0.17966607213020325
nearly,0.21304303407669067,0.29865899682044983,0.3409946858882904,0.17916813492774963,0.3343394100666046,0.2237657755613327,0.15504565834999084,0.2717089056968689,0.1726960837841034,0.1605619639158249,0.20174241065979004,0.3068016469478607,0.18363896012306213,0.11670064926147461
all,0.41981086134910583,0.5343062281608582,0.4860881567001343,0.22115495800971985,0.53305584192276,0.26450684666633606,0.38276857137680054,0.42520734667778015,0.2565724849700928,0.2254909873008728,0.23636801540851593,0.3876307010650635,0.250913143157959,0.29575422406196594
organisms,0.22214920818805695,0.3114190697669983,0.22463196516036987,0.5703305602073669,0.2768743634223938,1.0,0.2758050262928009,0.26437875628471375,0.27357709407806396,0.566336452960968,0.20873448252677917,0.20673123002052307,0.6337061524391174,0.22621455788612366
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.24676139652729034,0.5436353087425232,0.26437875628471375,0.47261837124824524,1.0,0.3323211371898651,0.2749134600162506,0.2648659348487854,0.4239959120750427,0.26178881525993347,0.29463258385658264
identify,0.27000585198402405,0.32850974798202515,0.2653810381889343,0.2802038788795471,0.34957918524742126,0.27357709407806396,0.36183157563209534,0.3323211371898651,1.0,0.2637507915496826,0.3517436981201172,0.30236154794692993,0.3306424617767334,0.20891983807086945
molecules,0.2143162339925766,0.3300325572490692,0.2374771386384964,0.7107267379760742,0.29100579023361206,0.566336452960968,0.23444542288780212,0.2749134600162506,0.2637507915496826,0.9999999403953552,0.16790175437927246,0.2543012797832489,0.5468598008155823,0.17409995198249817
associated,0.15836219489574432,0.28055059909820557,0.2742886245250702,0.2309366911649704,0.2675568461418152,0.20873448252677917,0.2526455521583557,0.2648659348487854,0.3517436981201172,0.16790175437927246,0.9999999403953552,0.3939831554889679,0.25951483845710754,0.1453326791524887
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.25165173411369324,0.4154358208179474,0.20673123002052307,0.3356984257698059,0.4239959120750427,0.30236154794692993,0.2543012797832489,0.3939831554889679,0.9999999403953552,0.1887669414281845,0.2433311939239502
pathogens,0.24503889679908752,0.352535605430603,0.23115308582782745,0.6249973773956299,0.28222689032554626,0.6337061524391174,0.2813667058944702,0.26178881525993347,0.3306424617767334,0.5468598008155823,0.25951483845710754,0.1887669414281845,1.0,0.21364152431488037
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.2492533177137375,0.4460422694683075,0.2715383470058441,0.3711656630039215,0.4645031690597534,0.2023741602897644,0.25748172402381897,0.2184346318244934,0.4446153938770294,0.2375609129667282,0.4130953550338745
