,how,many,counties,initially,made,up,the,definition,of,southern,california,?
in,0.2601168751716614,0.41474202275276184,0.26787781715393066,0.2391221970319748,0.25271502137184143,0.3120773434638977,0.6662389636039734,0.20306213200092316,0.5696388483047485,0.3190481662750244,0.2772824168205261,0.20430970191955566
1900,0.10501974076032639,0.19103829562664032,-0.03616493195295334,0.1455431878566742,0.1951199769973755,0.01981125771999359,0.12699992954730988,0.1257108449935913,0.0774914026260376,-0.04527461901307106,-0.008215396665036678,0.12663045525550842
",",0.22659391164779663,0.40610817074775696,0.2766191363334656,0.23403345048427582,0.32507219910621643,0.34193792939186096,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.23370873928070068,0.2997018098831177,0.3885267674922943,0.38423117995262146,1.0,0.23176956176757812,0.733189046382904,0.3282862603664398,0.2750805914402008,0.22068053483963013
los,0.1389930248260498,0.23644691705703735,0.15060237050056458,0.15203194320201874,0.12433160096406937,0.1999569982290268,0.2502395510673523,0.11161080747842789,0.17343297600746155,0.18350043892860413,0.641045331954956,0.15495611727237701
angeles,0.15835323929786682,0.2358880192041397,0.17358089983463287,0.15113168954849243,0.13964885473251343,0.21881207823753357,0.24588194489479065,0.10440211743116379,0.16643567383289337,0.19405479729175568,0.6717669367790222,0.16139166057109833
times,0.2685738503932953,0.303416907787323,0.20433087646961212,0.19816552102565765,0.13152779638767242,0.23722118139266968,0.29093852639198303,0.1641368567943573,0.24352745711803436,0.1500178873538971,0.11193957179784775,0.18880689144134521
defined,0.22723962366580963,0.21776141226291656,0.2246643304824829,0.2566654682159424,0.1684403419494629,0.09565923362970352,0.2634572982788086,0.5706933736801147,0.2659633457660675,0.1111694797873497,0.09465860575437546,0.22494901716709137
southern,0.11308442056179047,0.18025599420070648,0.27950868010520935,0.09725377708673477,0.11391197144985199,0.15570780634880066,0.3282862603664398,0.1034817099571228,0.31933003664016724,1.0,0.2983402609825134,0.11225555837154388
california,0.15981262922286987,0.24571245908737183,0.21366026997566223,0.14731444418430328,0.18928425014019012,0.18343518674373627,0.2750805914402008,0.17904339730739594,0.24929828941822052,0.2983402609825134,1.0,0.1409905105829239
as,0.33782753348350525,0.4070141911506653,0.2448538839817047,0.34394073486328125,0.40740177035331726,0.22736889123916626,0.48381632566452026,0.30895569920539856,0.3886612355709076,0.17950406670570374,0.1933012157678604,0.27043893933296204
including,0.20270724594593048,0.6119236350059509,0.19863279163837433,0.20122694969177246,0.25331175327301025,0.2126760333776474,0.3738902807235718,0.15351328253746033,0.44195112586021423,0.24088382720947266,0.18516892194747925,0.1633303165435791
``,-0.01591024175286293,0.012824942357838154,0.11417732387781143,-0.03052438795566559,-0.0342245027422905,0.1065044030547142,0.029072100296616554,0.038965754210948944,0.06780257821083069,0.056062471121549606,-0.0839167982339859,0.0685480609536171
