,in,which,year,did,the,gallery,of,indian,art,open,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.19251246750354767,0.733189046382904,0.23407642543315887,0.20297785103321075,0.2764171361923218,0.22068053483963013
jawaharlal,0.24722884595394135,0.2312689870595932,0.20982542634010315,0.1995624452829361,0.28519392013549805,0.17565518617630005,0.30938291549682617,0.501230776309967,0.15947842597961426,0.1623813360929489,0.13757126033306122
nehru,0.24122074246406555,0.24378855526447296,0.19976569712162018,0.2068556845188141,0.27794164419174194,0.193845734000206,0.2770204246044159,0.41175949573516846,0.19332276284694672,0.15320657193660736,0.12532828748226166
gallery,0.21665531396865845,0.19994710385799408,0.11597850918769836,0.10746263712644577,0.19251246750354767,1.0,0.1971534639596939,0.12652727961540222,0.5883238911628723,0.18392328917980194,0.18202216923236847
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.733189046382904,0.1971534639596939,1.0,0.24303589761257172,0.22648051381111145,0.17970167100429535,0.1826142966747284
indian,0.17715758085250854,0.17320461571216583,0.1679745763540268,0.13855396211147308,0.23407642543315887,0.12652727961540222,0.24303589761257172,1.0000001192092896,0.19208523631095886,0.22497667372226715,0.09909533709287643
art,0.2282189577817917,0.19862167537212372,0.15209953486919403,0.1711656004190445,0.20297785103321075,0.5883238911628723,0.22648051381111145,0.19208523631095886,1.0,0.10640907287597656,0.138971745967865
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.21593497693538666,0.4946078956127167,0.2407594621181488,0.2700960636138916,0.28863707184791565,0.31091248989105225
opened,0.2972770035266876,0.24361629784107208,0.17148488759994507,0.2014526128768921,0.28544309735298157,0.249263733625412,0.16720551252365112,0.05962550640106201,0.15857157111167908,0.39371490478515625,0.1934700310230255
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.21665531396865845,0.5696388483047485,0.17715758085250854,0.2282189577817917,0.27347445487976074,0.20430970191955566
1991,0.0019440409960225224,-0.11769595742225647,0.04858509823679924,0.21974095702171326,0.002508036559447646,-0.0260637030005455,-0.004689669236540794,0.07512599974870682,0.016362324357032776,0.0326453261077404,0.175977423787117
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.21593497693538666,0.4946078956127167,0.2407594621181488,0.2700960636138916,0.28863707184791565,0.31091248989105225
contains,0.28116101026535034,0.3896391689777374,0.10165417939424515,0.12733715772628784,0.2846323549747467,0.1795414686203003,0.34575599431991577,0.1269691288471222,0.0848543792963028,0.15131263434886932,0.15215006470680237
art,0.2282189577817917,0.19862167537212372,0.15209953486919403,0.1711656004190445,0.20297785103321075,0.5883238911628723,0.22648051381111145,0.19208523631095886,1.0,0.10640907287597656,0.138971745967865
from,0.4274188280105591,0.38755592703819275,0.2101740688085556,0.20248863101005554,0.40150508284568787,0.16936369240283966,0.4249346852302551,0.17991270124912262,0.2182932198047638,0.17097608745098114,0.19969791173934937
about,0.39797019958496094,0.4059852957725525,0.2995435297489166,0.28723078966140747,0.37995871901512146,0.22910408675670624,0.40939709544181824,0.17080625891685486,0.18744216859340668,0.22302508354187012,0.302409827709198
500,-0.01686781458556652,-0.023339297622442245,-0.10523529350757599,-0.19424214959144592,-0.031206801533699036,0.003103306982666254,-0.027781937271356583,0.08676906675100327,-0.013868540525436401,0.023418063297867775,0.05473969131708145
bc,0.22521845996379852,0.2018689066171646,0.2590630054473877,0.12187761813402176,0.2513079047203064,0.11938711255788803,0.2062062919139862,0.16233354806900024,0.1662627011537552,0.06630130857229233,0.1382298320531845
to,0.45010748505592346,0.5345056653022766,0.23523004353046417,0.4452643394470215,0.535392165184021,0.19736915826797485,0.41548454761505127,0.19344423711299896,0.22068513929843903,0.2593059837818146,0.29463258385658264
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.19251246750354767,0.733189046382904,0.23407642543315887,0.20297785103321075,0.2764171361923218,0.22068053483963013
19th,0.15408828854560852,0.2196694165468216,0.20772628486156464,0.11936882883310318,0.24964287877082825,0.08199995011091232,0.16605104506015778,0.14305588603019714,0.11339211463928223,0.19333228468894958,0.004712673369795084
century,0.3174034655094147,0.23552611470222473,0.3134029805660248,0.2333737462759018,0.3617299497127533,0.13014641404151917,0.2826060354709625,0.17188650369644165,0.16697418689727783,0.08030775189399719,0.1026201918721199
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.21326512098312378,0.5352458953857422,0.2388933300971985,0.21795564889907837,0.28460413217544556,0.4130953550338745
