,which,rival,of,the,mongols,is,suspected,of,inventing,the,story,that,genghis,khan,was,murdered,by,a,captured,princess,?
one,0.510688066482544,0.2813079357147217,0.4999135136604309,0.5514441132545471,0.1258687525987625,0.4544198513031006,0.2686721682548523,0.4999135136604309,0.25294265151023865,0.5514441132545471,0.26564961671829224,0.5133185982704163,0.22989769279956818,0.208477184176445,0.3752199709415436,0.21777483820915222,0.29445651173591614,0.4910551905632019,0.21459980309009552,0.19303351640701294,0.2673267424106598
chronicle,0.16508573293685913,0.19105812907218933,0.2229142189025879,0.264157772064209,0.22625426948070526,0.1763230264186859,0.128901869058609,0.2229142189025879,0.1325613111257553,0.264157772064209,0.3578505516052246,0.20049656927585602,0.3433689773082733,0.15396249294281006,0.26502159237861633,0.22911618649959564,0.24647799134254456,0.13532593846321106,0.19935593008995056,0.19494827091693878,0.12292848527431488
from,0.38755592703819275,0.15283001959323883,0.4249346852302551,0.40150508284568787,0.22836752235889435,0.27355384826660156,0.23813888430595398,0.4249346852302551,0.12344514578580856,0.40150508284568787,0.17972806096076965,0.3477667272090912,0.19071364402770996,0.10581372678279877,0.31171464920043945,0.1924508810043335,0.3373257517814636,0.322764128446579,0.2057633250951767,0.1603965312242508,0.19969791173934937
the,0.6521818041801453,0.2149961143732071,0.733189046382904,1.0,0.310281366109848,0.5823672413825989,0.22821708023548126,0.733189046382904,0.20714490115642548,1.0,0.2915393114089966,0.5473989248275757,0.3448939025402069,0.21067845821380615,0.48711544275283813,0.21448278427124023,0.4408751428127289,0.5829201340675354,0.2944179177284241,0.1822563111782074,0.22068053483963013
early,0.29240089654922485,0.17416627705097198,0.30937549471855164,0.34442198276519775,0.25045034289360046,0.18880519270896912,0.17422688007354736,0.30937549471855164,0.3068740963935852,0.34442198276519775,0.2111683040857315,0.29580917954444885,0.28915494680404663,0.18470795452594757,0.4148794412612915,0.2329491674900055,0.25586557388305664,0.2710886299610138,0.22864829003810883,0.1326180398464203,0.15272949635982513
17th,0.20483528077602386,0.06959372013807297,0.19377021491527557,0.2679309546947479,0.0769907683134079,0.27897515892982483,0.0042047156020998955,0.19377021491527557,0.07679212093353271,0.2679309546947479,0.15713047981262207,0.17458629608154297,0.153842031955719,0.14183242619037628,0.2182053178548813,0.10199824720621109,0.20275087654590607,0.18620461225509644,0.13214083015918732,0.06347010284662247,0.096589595079422
century,0.23552611470222473,0.14216309785842896,0.2826060354709625,0.3617299497127533,0.29932481050491333,0.20648397505283356,0.15336817502975464,0.2826060354709625,0.2755044996738434,0.3617299497127533,0.22719410061836243,0.24900858104228973,0.30435284972190857,0.16628162562847137,0.3521432876586914,0.22795584797859192,0.29995259642601013,0.19417014718055725,0.2473398894071579,0.11265355348587036,0.1026201918721199
even,0.4903149902820587,0.18157346546649933,0.34735506772994995,0.37996912002563477,0.22976477444171906,0.28202980756759644,0.2538013458251953,0.34735506772994995,0.28622931241989136,0.37996912002563477,0.19773699343204498,0.5503504276275635,0.22711509466171265,0.17017365992069244,0.27441510558128357,0.18040816485881805,0.2642922103404999,0.3278432786464691,0.20108336210250854,0.15987087786197662,0.30082517862319946
relates,0.3775070011615753,0.15091893076896667,0.3167797923088074,0.28690454363822937,0.10184507071971893,0.29679545760154724,0.18114237487316132,0.3167797923088074,0.19369278848171234,0.28690454363822937,0.14743256568908691,0.37320107221603394,0.1298339068889618,0.12340904027223587,0.14110618829727173,0.13759329915046692,0.2053845077753067,0.28052860498428345,0.02143939957022667,0.18356601893901825,0.19390210509300232
the,0.6521818041801453,0.2149961143732071,0.733189046382904,1.0,0.310281366109848,0.5823672413825989,0.22821708023548126,0.733189046382904,0.20714490115642548,1.0,0.2915393114089966,0.5473989248275757,0.3448939025402069,0.21067845821380615,0.48711544275283813,0.21448278427124023,0.4408751428127289,0.5829201340675354,0.2944179177284241,0.1822563111782074,0.22068053483963013
legend,0.1827332079410553,0.22824902832508087,0.22387516498565674,0.19108377397060394,0.15572117269039154,0.1762775480747223,0.1162710040807724,0.22387516498565674,0.12750312685966492,0.19108377397060394,0.39052867889404297,0.21316955983638763,0.33802154660224915,0.14088506996631622,0.23389975726604462,0.22979731857776642,0.12820111215114594,0.21192191541194916,0.15876202285289764,0.29593774676322937,0.1287047564983368
that,0.6894589066505432,0.21558032929897308,0.41498205065727234,0.5473989248275757,0.22344286739826202,0.3995479643344879,0.294965922832489,0.41498205065727234,0.31979912519454956,0.5473989248275757,0.29498985409736633,1.0,0.21352417767047882,0.14077997207641602,0.33670201897621155,0.20305658876895905,0.37496164441108704,0.47537946701049805,0.200810045003891,0.14244335889816284,0.32716336846351624
the,0.6521818041801453,0.2149961143732071,0.733189046382904,1.0,0.310281366109848,0.5823672413825989,0.22821708023548126,0.733189046382904,0.20714490115642548,1.0,0.2915393114089966,0.5473989248275757,0.3448939025402069,0.21067845821380615,0.48711544275283813,0.21448278427124023,0.4408751428127289,0.5829201340675354,0.2944179177284241,0.1822563111782074,0.22068053483963013
princess,0.16170284152030945,0.1496659219264984,0.22372525930404663,0.1822563111782074,0.1311761736869812,0.17418545484542847,0.13421855866909027,0.22372525930404663,0.09882570803165436,0.1822563111782074,0.22508294880390167,0.14244335889816284,0.30782267451286316,0.17814579606056213,0.20023144781589508,0.22105468809604645,0.1383397877216339,0.18228715658187866,0.20398952066898346,1.0,0.17697513103485107
hid,0.12431088835000992,0.10342879593372345,0.20478954911231995,0.21378539502620697,0.2640407681465149,0.045330941677093506,0.31717151403427124,0.20478954911231995,0.0571594201028347,0.21378539502620697,0.23047567903995514,0.18730568885803223,0.25119441747665405,0.22557902336120605,0.17051926255226135,0.3564896285533905,0.1567123532295227,0.1408761888742447,0.33740901947021484,0.09383444488048553,0.17608019709587097
a,0.56894451379776,0.17400264739990234,0.5052502155303955,0.5829201340675354,0.13675467669963837,0.658733606338501,0.27706411480903625,0.5052502155303955,0.28272294998168945,0.5829201340675354,0.26679712533950806,0.47537946701049805,0.194350928068161,0.1743650734424591,0.4508470594882965,0.18941371142864227,0.32094135880470276,1.0,0.21114401519298553,0.18228715658187866,0.23916715383529663
small,0.42979657649993896,0.060750968754291534,0.353353351354599,0.39655908942222595,0.16128088533878326,0.32085540890693665,0.13752657175064087,0.353353351354599,0.14774586260318756,0.39655908942222595,0.15627749264240265,0.351526141166687,0.13437791168689728,0.12226695567369461,0.16572418808937073,0.1181887611746788,0.19286847114562988,0.41262131929397583,0.2536885142326355,0.1422470062971115,0.13914890587329865
