,what,tends,to,lead,to,more,money,?
thomas,0.1806955188512802,0.07583189010620117,0.1928519904613495,0.11855468153953552,0.1928519904613495,0.1362859159708023,0.19142688810825348,0.16133050620555878
piketty,0.23601166903972626,0.21191595494747162,0.26509717106819153,0.1866709142923355,0.26509717106819153,0.23283065855503082,0.23611222207546234,0.200417622923851
in,0.30808621644973755,0.23242060840129852,0.45010748505592346,0.2055644989013672,0.45010748505592346,0.32563260197639465,0.2393328845500946,0.20430970191955566
his,0.26976513862609863,0.2410021275281906,0.3715193271636963,0.21958839893341064,0.3715193271636963,0.23633438348770142,0.3251928687095642,0.18075084686279297
book,0.2872225046157837,0.17094352841377258,0.20275522768497467,0.10782606899738312,0.20275522768497467,0.16254597902297974,0.17147555947303772,0.20572158694267273
capital,0.17967931926250458,0.054073285311460495,0.1844596415758133,0.09723609685897827,0.1844596415758133,0.137709379196167,0.2176763415336609,0.0907452180981636
in,0.30808621644973755,0.23242060840129852,0.45010748505592346,0.2055644989013672,0.45010748505592346,0.32563260197639465,0.2393328845500946,0.20430970191955566
the,0.42745697498321533,0.32723093032836914,0.535392165184021,0.21995973587036133,0.535392165184021,0.39758381247520447,0.2699695825576782,0.22068053483963013
twenty-first,0.23661409318447113,0.16871234774589539,0.30054333806037903,0.1890747845172882,0.30054333806037903,0.3390388786792755,0.18600498139858246,0.2190079689025879
century,0.20422613620758057,0.13329125940799713,0.20143604278564453,0.11943154036998749,0.20143604278564453,0.19829106330871582,0.19060267508029938,0.1026201918721199
argues,0.3211183547973633,0.3538689613342285,0.2515730559825897,0.19183892011642456,0.2515730559825897,0.1494574099779129,0.2755133807659149,0.20733967423439026
that,0.6297725439071655,0.3351714015007019,0.5436353087425232,0.21979129314422607,0.5436353087425232,0.4813884496688843,0.3115869462490082,0.32716336846351624
the,0.42745697498321533,0.32723093032836914,0.535392165184021,0.21995973587036133,0.535392165184021,0.39758381247520447,0.2699695825576782,0.22068053483963013
fundamental,0.35305243730545044,0.24366861581802368,0.25741058588027954,0.12337446212768555,0.25741058588027954,0.24002587795257568,0.1671769767999649,0.2011919468641281
force,0.16915984451770782,0.22725777328014374,0.24496492743492126,0.11972136795520782,0.24496492743492126,0.18687720596790314,0.12110725790262222,0.1650998443365097
for,0.3017193675041199,0.2141730785369873,0.4451248347759247,0.29822173714637756,0.4451248347759247,0.3891189992427826,0.3105318546295166,0.264628142118454
divergence,0.21409821510314941,0.2787884771823883,0.19746719300746918,0.09096305817365646,0.19746719300746918,0.21487753093242645,0.09655847400426865,0.10567541420459747
is,0.28837618231773376,0.3935226500034332,0.42745086550712585,0.18414030969142914,0.42745086550712585,0.2946030795574188,0.19318200647830963,0.22961433231830597
the,0.42745697498321533,0.32723093032836914,0.535392165184021,0.21995973587036133,0.535392165184021,0.39758381247520447,0.2699695825576782,0.22068053483963013
usually,0.32521089911460876,0.40832284092903137,0.3824864327907562,0.1439908891916275,0.3824864327907562,0.406992644071579,0.25379320979118347,0.19435347616672516
greater,0.1946859508752823,0.23166057467460632,0.25585630536079407,0.16492217779159546,0.25585630536079407,0.3394005596637726,0.1624137908220291,0.09723397344350815
return,0.18344242870807648,0.11495135724544525,0.3110596537590027,0.15455549955368042,0.3110596537590027,0.18595798313617706,0.22952817380428314,0.14655634760856628
of,0.33290785551071167,0.2451501041650772,0.41548454761505127,0.19835850596427917,0.41548454761505127,0.30478984117507935,0.23114095628261566,0.1826142966747284
capital,0.17967931926250458,0.054073285311460495,0.1844596415758133,0.09723609685897827,0.1844596415758133,0.137709379196167,0.2176763415336609,0.0907452180981636
(,0.2411840260028839,0.14791733026504517,0.30882009863853455,0.19488981366157532,0.30882009863853455,0.20831379294395447,0.14543579518795013,0.40561532974243164
r,0.14495669305324554,0.16916123032569885,0.1677994728088379,0.11794301867485046,0.1677994728088379,0.09416993707418442,0.09960160404443741,0.16570481657981873
),0.26259949803352356,0.1369113028049469,0.31236231327056885,0.18732444941997528,0.31236231327056885,0.23179085552692413,0.16383083164691925,0.42300865054130554
than,0.29388150572776794,0.34366169571876526,0.3192550539970398,0.15391311049461365,0.3192550539970398,0.726518988609314,0.2531432509422302,0.24917294085025787
economic,0.18082544207572937,0.25602319836616516,0.26856908202171326,0.16097654402256012,0.26856908202171326,0.2351950705051422,0.29089319705963135,0.1206481084227562
growth,0.1739405393600464,0.30378204584121704,0.2701800763607025,0.23391804099082947,0.2701800763607025,0.24925704300403595,0.17787380516529083,0.07547862827777863
(,0.2411840260028839,0.14791733026504517,0.30882009863853455,0.19488981366157532,0.30882009863853455,0.20831379294395447,0.14543579518795013,0.40561532974243164
g,0.1146370992064476,0.14929330348968506,0.18563434481620789,0.09791962802410126,0.18563434481620789,0.1354300081729889,0.11123421788215637,0.213205024600029
),0.26259949803352356,0.1369113028049469,0.31236231327056885,0.18732444941997528,0.31236231327056885,0.23179085552692413,0.16383083164691925,0.42300865054130554
",",0.3087472915649414,0.20800141990184784,0.44245919585227966,0.2561914026737213,0.44245919585227966,0.3696524500846863,0.24156853556632996,0.31091248989105225
and,0.31309178471565247,0.2780466377735138,0.48971283435821533,0.31077226996421814,0.48971283435821533,0.39880692958831787,0.3070235550403595,0.20544172823429108
that,0.6297725439071655,0.3351714015007019,0.5436353087425232,0.21979129314422607,0.5436353087425232,0.4813884496688843,0.3115869462490082,0.32716336846351624
larger,0.23663538694381714,0.24821308255195618,0.27928784489631653,0.14138087630271912,0.27928784489631653,0.46568408608436584,0.20188385248184204,0.1602165699005127
