,what,body,constitutes,the,supreme,legislature,of,scotland,?
for,0.3017193675041199,0.16740016639232635,0.25322234630584717,0.4739971458911896,0.14259403944015503,0.18789076805114746,0.4185989499092102,0.2155212014913559,0.264628142118454
the,0.42745697498321533,0.31682634353637695,0.35016530752182007,1.0,0.2583438754081726,0.2745116055011749,0.733189046382904,0.23846951127052307,0.22068053483963013
purposes,0.2370537966489792,0.2097536325454712,0.368283748626709,0.27476897835731506,0.20296071469783783,0.23646163940429688,0.2639778256416321,0.16852225363254547,0.15262550115585327
of,0.33290785551071167,0.25063133239746094,0.42213600873947144,0.733189046382904,0.2847438156604767,0.3148817718029022,1.0,0.2208399921655655,0.1826142966747284
parliamentary,0.23120512068271637,0.2201855182647705,0.4275279939174652,0.2708897888660431,0.34851956367492676,0.5758757591247559,0.33805084228515625,0.30926159024238586,0.1612216979265213
sovereignty,0.2718704044818878,0.17029361426830292,0.4436042308807373,0.26170846819877625,0.3670291602611542,0.4593631327152252,0.3126918375492096,0.29596561193466187,0.1958751529455185
",",0.3087472915649414,0.22437527775764465,0.2866281569004059,0.4933079481124878,0.250044584274292,0.22554227709770203,0.4946078956127167,0.21124857664108276,0.31091248989105225
the,0.42745697498321533,0.31682634353637695,0.35016530752182007,1.0,0.2583438754081726,0.2745116055011749,0.733189046382904,0.23846951127052307,0.22068053483963013
parliament,0.21650300920009613,0.19982732832431793,0.4077748656272888,0.26521381735801697,0.3619024455547333,0.632239818572998,0.2885259687900543,0.33239492774009705,0.1586504578590393
of,0.33290785551071167,0.25063133239746094,0.42213600873947144,0.733189046382904,0.2847438156604767,0.3148817718029022,1.0,0.2208399921655655,0.1826142966747284
the,0.42745697498321533,0.31682634353637695,0.35016530752182007,1.0,0.2583438754081726,0.2745116055011749,0.733189046382904,0.23846951127052307,0.22068053483963013
united,0.20036718249320984,0.15542390942573547,0.20707964897155762,0.34367692470550537,0.36921384930610657,0.35508909821510315,0.3187655806541443,0.30711430311203003,0.17266890406608582
kingdom,0.17826133966445923,0.10707927495241165,0.15604905784130096,0.3143408000469208,0.2078154981136322,0.233522430062294,0.3218171298503876,0.3814205527305603,0.12927088141441345
at,0.2838611304759979,0.13802476227283478,0.20115302503108978,0.457212895154953,0.14445289969444275,0.1554878205060959,0.42558613419532776,0.20754259824752808,0.21978627145290375
westminster,0.16906876862049103,0.29747074842453003,0.24224522709846497,0.3085624873638153,0.2009752094745636,0.3382216989994049,0.2946619689464569,0.37480300664901733,0.1651161164045334
continues,0.27419164776802063,0.1956564486026764,0.22099916636943817,0.3452514410018921,0.17566914856433868,0.09531460702419281,0.2937655746936798,0.16795866191387177,0.13186512887477875
to,0.455847829580307,0.307265043258667,0.2878058850765228,0.535392165184021,0.24017755687236786,0.24813328683376312,0.41548454761505127,0.19875919818878174,0.29463258385658264
constitute,0.30935925245285034,0.18610218167304993,0.8965902328491211,0.32194724678993225,0.31148195266723633,0.4743565022945404,0.36595216393470764,0.1432056576013565,0.23319922387599945
the,0.42745697498321533,0.31682634353637695,0.35016530752182007,1.0,0.2583438754081726,0.2745116055011749,0.733189046382904,0.23846951127052307,0.22068053483963013
supreme,0.25469252467155457,0.19652371108531952,0.3622007966041565,0.2583438754081726,1.0000001192092896,0.4951646029949188,0.2847438156604767,0.12989379465579987,0.20777292549610138
legislature,0.23629915714263916,0.2149733006954193,0.503081738948822,0.2745116055011749,0.4951646029949188,1.0,0.3148817718029022,0.20284174382686615,0.17475001513957977
of,0.33290785551071167,0.25063133239746094,0.42213600873947144,0.733189046382904,0.2847438156604767,0.3148817718029022,1.0,0.2208399921655655,0.1826142966747284
scotland,0.16722074151039124,0.13559287786483765,0.19571802020072937,0.23846951127052307,0.12989379465579987,0.20284174382686615,0.2208399921655655,1.0,0.09160218387842178
.,0.3567904531955719,0.29751062393188477,0.25526443123817444,0.5934505462646484,0.2618856728076935,0.2466430515050888,0.5352458953857422,0.23843355476856232,0.4130953550338745
