,what,did,genghis,khan,do,to,the,tangut,imperial,family,after,their,surrender,?
not,0.5449194312095642,0.6481515765190125,0.14725978672504425,0.12768790125846863,0.6619802713394165,0.5149973034858704,0.4310511648654938,0.23202849924564362,0.15736167132854462,0.24171343445777893,0.3115830719470978,0.4368778169155121,0.2016962766647339,0.41942933201789856
happy,0.2849810719490051,0.2522655427455902,0.13961097598075867,0.09268166869878769,0.2267981618642807,0.25705406069755554,0.2117847055196762,0.14732810854911804,0.17401431500911713,0.24703486263751984,0.2433304339647293,0.2277774065732956,0.1942383199930191,0.27375271916389465
with,0.2464839518070221,0.25472134351730347,0.18149495124816895,0.12498863786458969,0.23744353652000427,0.4239959120750427,0.4223487675189972,0.2700467109680176,0.1504516303539276,0.16764762997627258,0.33843478560447693,0.4258328378200531,0.18517355620861053,0.2433311939239502
their,0.35142919421195984,0.38078752160072327,0.2492474466562271,0.16260504722595215,0.35424983501434326,0.44619059562683105,0.516537070274353,0.2939740717411041,0.18073371052742004,0.20915624499320984,0.30973172187805176,1.0,0.17427243292331696,0.1898253709077835
betrayal,0.29254525899887085,0.2500785291194916,0.3245433568954468,0.26408520340919495,0.16836604475975037,0.2786799669265747,0.28133559226989746,0.18296314775943756,0.16248932480812073,0.15360933542251587,0.30932047963142395,0.20739133656024933,0.344296395778656,0.1884389966726303
and,0.31309178471565247,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.276123583316803,0.48971283435821533,0.5171257257461548,0.35823047161102295,0.20855538547039032,0.23506124317646027,0.3765919506549835,0.45114588737487793,0.21680258214473724,0.20544172823429108
resistance,0.1382468044757843,0.1441807746887207,0.23383910953998566,0.15918733179569244,0.1286020576953888,0.2280048280954361,0.2521642744541168,0.19153450429439545,0.18660986423492432,0.14589858055114746,0.1909858137369156,0.21881453692913055,0.37776657938957214,0.026361597701907158
",",0.3087472915649414,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.3283645510673523,0.44245919585227966,0.4933079481124878,0.3729153573513031,0.2180749922990799,0.22142739593982697,0.38860568404197693,0.3045167922973633,0.27091357111930847,0.31091248989105225
genghis,0.24369274079799652,0.18339850008487701,1.0,0.5896923542022705,0.06018393114209175,0.2294713407754898,0.3448939025402069,0.3830920457839966,0.35303428769111633,0.24087528884410858,0.24102559685707092,0.2492474466562271,0.3102329671382904,0.18813461065292358
khan,0.16476042568683624,0.155345618724823,0.5896923542022705,1.0,0.08970802277326584,0.18221943080425262,0.21067845821380615,0.2926086187362671,0.24857790768146515,0.14172598719596863,0.1264270693063736,0.16260504722595215,0.17896446585655212,0.12862591445446014
ordered,0.1877245008945465,0.3289390504360199,0.18920189142227173,0.08468592911958694,0.14405907690525055,0.3161680996417999,0.2839050590991974,0.11263705790042877,0.2542320787906647,0.21201109886169434,0.2899470329284668,0.25045567750930786,0.40987271070480347,0.11423391848802567
the,0.42745697498321533,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.30239659547805786,0.535392165184021,1.0,0.300812304019928,0.3074202835559845,0.2394849956035614,0.4565047025680542,0.516537070274353,0.27931663393974304,0.22068053483963013
entire,0.37562522292137146,0.22471237182617188,0.277155339717865,0.14546522498130798,0.19831547141075134,0.37588366866111755,0.4870373010635376,0.18301047384738922,0.16195744276046753,0.17611069977283478,0.274132639169693,0.31425294280052185,0.21108850836753845,0.17068447172641754
imperial,0.09280271828174591,0.16254396736621857,0.35303428769111633,0.24857790768146515,0.0915517657995224,0.20807525515556335,0.3074202835559845,0.25553715229034424,1.0,0.2598221004009247,0.1541828066110611,0.18073371052742004,0.2521477937698364,0.10900196433067322
family,0.16391263902187347,0.19502942264080048,0.24087528884410858,0.14172598719596863,0.11684401333332062,0.21285007894039154,0.2394849956035614,0.22475145757198334,0.2598221004009247,0.9999998807907104,0.16487661004066467,0.20915624499320984,0.1631820797920227,0.15222905576229095
to,0.455847829580307,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.38876664638519287,1.0,0.535392165184021,0.24317984282970428,0.20807525515556335,0.21285007894039154,0.37890323996543884,0.44619059562683105,0.25593921542167664,0.29463258385658264
be,0.3929833769798279,0.22657383978366852,0.16810378432273865,0.19255778193473816,0.36575672030448914,0.4972836375236511,0.4248143136501312,0.2519868016242981,0.18557091057300568,0.18388713896274567,0.32360681891441345,0.3200586438179016,0.18575972318649292,0.3324260413646698
executed,0.14534708857536316,0.17208366096019745,0.24469338357448578,0.10112476348876953,0.10772758722305298,0.1549084484577179,0.16640569269657135,0.14018014073371887,0.19021917879581451,0.13860276341438293,0.2505966126918793,0.13154445588588715,0.3544972240924835,0.14393280446529388
",",0.3087472915649414,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.3283645510673523,0.44245919585227966,0.4933079481124878,0.3729153573513031,0.2180749922990799,0.22142739593982697,0.38860568404197693,0.3045167922973633,0.27091357111930847,0.31091248989105225
effectively,0.2696734368801117,0.22344723343849182,0.21661114692687988,0.18141238391399384,0.2419419288635254,0.3721640110015869,0.3534683883190155,0.17029082775115967,0.190462127327919,0.056257326155900955,0.30125290155410767,0.2821284532546997,0.3120742440223694,0.21523159742355347
