,who,published,tesla,'s,writings,?
tesla,0.1520961970090866,0.16719935834407806,0.9999999403953552,0.06449045985937119,0.1577753871679306,0.10250775516033173
wrote,0.2670581638813019,0.4751642644405365,0.13169313967227936,0.07554080337285995,0.5313506126403809,0.19322504103183746
a,0.36608949303627014,0.1993555724620819,0.2211925983428955,0.04866964742541313,0.15608888864517212,0.23916715383529663
number,0.21304799616336823,0.14136235415935516,0.1560482233762741,0.033178191632032394,0.12061354517936707,0.19256845116615295
of,0.2827862501144409,0.23023100197315216,0.18837453424930573,-0.03817026689648628,0.24593348801136017,0.1826142966747284
books,0.25903794169425964,0.4908095896244049,0.1716867834329605,0.09176487475633621,0.564620316028595,0.1897611767053604
and,0.41279885172843933,0.22629010677337646,0.19560420513153076,0.06895173341035843,0.2566024661064148,0.20544172823429108
articles,0.2812257707118988,0.2628025412559509,0.12904474139213562,0.018668673932552338,0.3382209539413452,0.44680753350257874
for,0.37110671401023865,0.21304498612880707,0.13983871042728424,-0.07241261005401611,0.21869851648807526,0.264628142118454
magazines,0.20874427258968353,0.44309720396995544,0.2259340137243271,0.08715789020061493,0.34473249316215515,0.16371843218803406
and,0.41279885172843933,0.22629010677337646,0.19560420513153076,0.06895173341035843,0.2566024661064148,0.20544172823429108
journals,0.21056929230690002,0.4647451639175415,0.12348196655511856,0.07097012549638748,0.424561470746994,0.15727466344833374
.,0.3541337847709656,0.23857341706752777,0.17949827015399933,-0.003708066651597619,0.24754001200199127,0.4130953550338745
