,a,teacher,'s,spark,may,create,a,spark,where,?
a,1.0,0.31202319264411926,0.04866964742541313,0.26829463243484497,0.29255667328834534,0.3041161596775055,1.0,0.26829463243484497,0.40997210144996643,0.23916715383529663
spark,0.26829463243484497,0.11057135462760925,-0.023626912385225296,0.9999998807907104,0.17134161293506622,0.26838889718055725,0.26829463243484497,0.9999998807907104,0.16775359213352203,0.25924956798553467
in,0.539380669593811,0.22632350027561188,-0.037580832839012146,0.24903637170791626,0.3424151837825775,0.21287982165813446,0.539380669593811,0.24903637170791626,0.5344807505607605,0.20430970191955566
the,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.23584461212158203,0.2694292366504669,0.25265660881996155,0.5829201340675354,0.23584461212158203,0.5003893971443176,0.22068053483963013
teacher,0.31202319264411926,0.9999998807907104,0.026857737451791763,0.11057135462760925,0.15417979657649994,0.16416102647781372,0.31202319264411926,0.11057135462760925,0.22545279562473297,0.1797819435596466
may,0.29255667328834534,0.15417979657649994,-0.07006479054689407,0.17134161293506622,0.9999998807907104,0.16541729867458344,0.29255667328834534,0.17134161293506622,0.23215454816818237,0.2768254578113556
create,0.3041161596775055,0.16416102647781372,0.04883107915520668,0.26838889718055725,0.16541729867458344,1.0,0.3041161596775055,0.26838889718055725,0.3168865144252777,0.300167441368103
a,1.0,0.31202319264411926,0.04866964742541313,0.26829463243484497,0.29255667328834534,0.3041161596775055,1.0,0.26829463243484497,0.40997210144996643,0.23916715383529663
spark,0.26829463243484497,0.11057135462760925,-0.023626912385225296,0.9999998807907104,0.17134161293506622,0.26838889718055725,0.26829463243484497,0.9999998807907104,0.16775359213352203,0.25924956798553467
of,0.5052502155303955,0.19968076050281525,-0.03817026689648628,0.22545747458934784,0.26447007060050964,0.23675619065761566,0.5052502155303955,0.22545747458934784,0.38066378235816956,0.1826142966747284
excitement,0.32366248965263367,0.19275851547718048,-0.015974877402186394,0.2978147566318512,0.178551584482193,0.23510663211345673,0.32366248965263367,0.2978147566318512,0.2969437837600708,0.17463673651218414
in,0.539380669593811,0.22632350027561188,-0.037580832839012146,0.24903637170791626,0.3424151837825775,0.21287982165813446,0.539380669593811,0.24903637170791626,0.5344807505607605,0.20430970191955566
the,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.23584461212158203,0.2694292366504669,0.25265660881996155,0.5829201340675354,0.23584461212158203,0.5003893971443176,0.22068053483963013
student,0.3207114636898041,0.5754092335700989,0.018150636926293373,0.09358453005552292,0.17901644110679626,0.1694503277540207,0.3207114636898041,0.09358453005552292,0.2537801265716553,0.13282090425491333
as,0.39550232887268066,0.27420735359191895,-0.05775856226682663,0.19917552173137665,0.32133710384368896,0.2565624415874481,0.39550232887268066,0.19917552173137665,0.35409465432167053,0.27043893933296204
well,0.320642352104187,0.2655387818813324,-0.0049502006731927395,0.21170999109745026,0.24384303390979767,0.27872541546821594,0.320642352104187,0.21170999109745026,0.4122413992881775,0.24815571308135986
.,0.50484299659729,0.225234717130661,-0.003708066651597619,0.2980855405330658,0.35826805233955383,0.2916513681411743,0.50484299659729,0.2980855405330658,0.41390106081962585,0.4130953550338745
