,when,was,free,primary,school,introduced,?
in,0.4431333839893341,0.45514053106307983,0.25575435161590576,0.21150650084018707,0.26157811284065247,0.2614979147911072,0.20430970191955566
january,0.23963238298892975,0.3933098316192627,0.15251101553440094,0.08195264637470245,0.2718421220779419,0.18443778157234192,0.28608936071395874
2003,-0.2741066515445709,-0.14445069432258606,-0.07709440588951111,-0.05117855593562126,-0.12737056612968445,-0.09844055026769638,-0.17560148239135742
",",0.36674630641937256,0.45456063747406006,0.2434854805469513,0.2565748989582062,0.27141863107681274,0.22034090757369995,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,0.22231732308864594,0.25688621401786804,0.22953221201896667,0.242969810962677,0.22068053483963013
government,0.23078718781471252,0.2995857298374176,0.2551202178001404,0.20839646458625793,0.24537934362888336,0.14720626175403595,0.18851417303085327
of,0.3757161796092987,0.4069072902202606,0.2430545836687088,0.23414276540279388,0.2391800880432129,0.23328952491283417,0.1826142966747284
kenya,0.11853623390197754,0.17758844792842865,0.0721927136182785,0.16725416481494904,0.1528983861207962,0.08576779067516327,0.17197901010513306
announced,0.15404565632343292,0.34205326437950134,0.1394633650779724,0.20454928278923035,0.15644706785678864,0.2441249042749405,0.17416009306907654
the,0.5091903209686279,0.48711544275283813,0.22231732308864594,0.25688621401786804,0.22953221201896667,0.242969810962677,0.22068053483963013
introduction,0.16042596101760864,0.22391968965530396,0.1761104166507721,0.13010412454605103,0.1980203241109848,0.656950056552887,0.27021539211273193
of,0.3757161796092987,0.4069072902202606,0.2430545836687088,0.23414276540279388,0.2391800880432129,0.23328952491283417,0.1826142966747284
free,0.25120967626571655,0.1777290552854538,1.0,0.15533408522605896,0.14928355813026428,0.17101800441741943,0.1278279572725296
primary,0.2002158761024475,0.16384649276733398,0.15533408522605896,1.0,0.4102175533771515,0.126346156001091,0.16286636888980865
education,0.15827520191669464,0.23187610507011414,0.2117927223443985,0.3644731044769287,0.5861870050430298,0.1589459776878357,0.18067774176597595
.,0.475719153881073,0.40146201848983765,0.238864928483963,0.22422198951244354,0.24214158952236176,0.2799728810787201,0.4130953550338745
