,how,many,people,are,likely,to,visit,justin,herman,plaza,during,the,week,of,the,super,bowl,?
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.3841303884983063,0.21680790185928345,0.45010748505592346,0.2627917230129242,0.16384002566337585,0.14911341667175293,0.1517188549041748,0.4627237319946289,0.6662389636039734,0.2674444317817688,0.5696388483047485,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.20430970191955566
addition,0.24312371015548706,0.3811662197113037,0.13247770071029663,0.37216028571128845,0.23535846173763275,0.29394859075546265,0.13138708472251892,0.0999825969338417,0.06515007466077805,0.23686468601226807,0.20398582518100739,0.32955414056777954,0.2644643783569336,0.27503931522369385,0.32955414056777954,0.11136776208877563,0.1572340577840805,0.19187232851982117
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.4062570035457611,0.22176046669483185,0.44245919585227966,0.2669648230075836,0.26351892948150635,0.2558126747608185,0.1780022531747818,0.3225448727607727,0.4933079481124878,0.3187089264392853,0.4946078956127167,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
``,-0.01591024175286293,0.012824942357838154,0.08962737023830414,0.12624181807041168,0.13378268480300903,0.06720756739377975,-0.0422937348484993,0.05647547170519829,-0.06882932782173157,-0.03835507482290268,0.007871326059103012,0.029072100296616554,0.005397135391831398,0.06780257821083069,0.029072100296616554,0.012585706077516079,-0.004176590591669083,0.0685480609536171
super,0.11920704692602158,0.17302978038787842,0.11992346495389938,0.14630910754203796,0.12591682374477386,0.17783479392528534,0.04438156634569168,0.18469490110874176,0.10644732415676117,0.11758657544851303,0.16951335966587067,0.21959073841571808,0.18053525686264038,0.14718765020370483,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.11471524089574814,0.139107808470726,0.18970663845539093,0.16993016004562378,0.10367374867200851,0.11253492534160614,0.06547024846076965,0.15374425053596497,0.22041946649551392,0.21576224267482758,0.2576042413711548,0.2243070751428604,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
city,0.12024712562561035,0.21416836977005005,0.34653446078300476,0.19493703544139862,0.05561959743499756,0.20300441980361938,0.2517586350440979,0.1887744814157486,0.19312141835689545,0.3448775112628937,0.24677588045597076,0.35769423842430115,0.2052149921655655,0.32503411173820496,0.35769423842430115,0.14329007267951965,0.18699099123477936,0.13423943519592285
'',-0.0029843549709767103,-0.016843097284436226,0.0037952337879687548,0.0263817198574543,0.027580173686146736,-0.009905828163027763,-0.0057889423333108425,-0.010182631202042103,0.042492616921663284,-0.012585800141096115,-0.08359146863222122,0.041273195296525955,-0.03411637991666794,0.13035868108272552,0.041273195296525955,-0.02655862085521221,-0.008809788152575493,0.018684765323996544
opened,0.12807206809520721,0.17347609996795654,0.15682007372379303,0.11270776391029358,0.0916115790605545,0.18903055787086487,0.21432313323020935,0.12053462862968445,0.16703085601329803,0.3003566265106201,0.24100707471370697,0.28544309735298157,0.26874852180480957,0.16720551252365112,0.28544309735298157,0.12151654809713364,0.16360460221767426,0.1934700310230255
on,0.32655060291290283,0.32520127296447754,0.2559742033481598,0.268924742937088,0.22113017737865448,0.41031414270401,0.2459186464548111,0.2112480252981186,0.2101747840642929,0.1835595965385437,0.3347817361354828,0.5107308030128479,0.3680826723575592,0.3966929316520691,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.2714994251728058
january,0.11096196621656418,0.11292167752981186,0.2261478751897812,0.0906485766172409,0.12210159748792648,0.20270398259162903,0.20654942095279694,0.22159449756145477,0.16788257658481598,0.09929802268743515,0.20676779747009277,0.2467057853937149,0.29525622725486755,0.19923388957977295,0.2467057853937149,0.08795880526304245,0.13797584176063538,0.28608936071395874
30,-0.0035910264123231173,0.09108389914035797,0.053928397595882416,0.08760164678096771,-0.030896982178092003,0.06848903745412827,0.01977819949388504,0.0463276170194149,0.02315383404493332,0.11494836211204529,-0.029752081260085106,0.0730796679854393,-0.09423322230577469,0.003304550424218178,0.0730796679854393,0.02300216630101204,-0.030675051733851433,-0.08261742442846298
at,0.2154216170310974,0.2716965675354004,0.2582513391971588,0.2074895054101944,0.2338300496339798,0.36524343490600586,0.27514204382896423,0.15325449407100677,0.14482979476451874,0.24878543615341187,0.372769296169281,0.457212895154953,0.3329743444919586,0.42558613419532776,0.457212895154953,0.11449114978313446,0.2709662914276123,0.21978627145290375
justin,0.10126311331987381,0.14462746679782867,0.0535140261054039,0.12343995273113251,0.08663207292556763,0.10286262631416321,0.09710357338190079,1.0,0.2427445650100708,0.16461516916751862,0.17377479374408722,0.17751482129096985,0.23849661648273468,0.14437353610992432,0.17751482129096985,0.18469490110874176,0.11253492534160614,0.17168305814266205
herman,0.21801693737506866,0.13855092227458954,0.12357868999242783,0.07396884262561798,0.06072043627500534,0.1604921519756317,0.1208435520529747,0.2427445650100708,1.0000001192092896,0.16061931848526,0.1366758793592453,0.19971449673175812,0.09043364971876144,0.1845569759607315,0.19971449673175812,0.10644732415676117,0.06547024846076965,0.15866468846797943
plaza,0.06710678339004517,0.16295140981674194,0.16726557910442352,0.05612921342253685,0.07584528625011444,0.2080681324005127,0.27727821469306946,0.16461516916751862,0.16061931848526,1.0000001192092896,0.1200171560049057,0.2343834489583969,0.17569132149219513,0.21123477816581726,0.2343834489583969,0.11758657544851303,0.15374425053596497,0.14521731436252594
on,0.32655060291290283,0.32520127296447754,0.2559742033481598,0.268924742937088,0.22113017737865448,0.41031414270401,0.2459186464548111,0.2112480252981186,0.2101747840642929,0.1835595965385437,0.3347817361354828,0.5107308030128479,0.3680826723575592,0.3966929316520691,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.40399202704429626,0.28129076957702637,0.535392165184021,0.28665876388549805,0.17751482129096985,0.19971449673175812,0.2343834489583969,0.4838213622570038,1.0,0.28402599692344666,0.733189046382904,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
embarcadero,0.18027722835540771,0.25558707118034363,0.2416001707315445,0.14291749894618988,0.15128684043884277,0.29905974864959717,0.27487343549728394,0.21262159943580627,0.1880379170179367,0.37396538257598877,0.32387691736221313,0.2974037826061249,0.22559411823749542,0.26217901706695557,0.2974037826061249,0.2069183737039566,0.15625977516174316,0.2404213696718216
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.4062570035457611,0.22176046669483185,0.44245919585227966,0.2669648230075836,0.26351892948150635,0.2558126747608185,0.1780022531747818,0.3225448727607727,0.4933079481124878,0.3187089264392853,0.4946078956127167,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
featuring,0.16178856790065765,0.20523323118686676,0.10623688995838165,0.1736019104719162,0.06057977303862572,0.16750919818878174,0.10687066614627838,0.3405510485172272,0.21889439225196838,0.1118273213505745,0.24746395647525787,0.21340800821781158,0.225393146276474,0.1792638599872589,0.21340800821781158,0.21352623403072357,0.13381469249725342,0.24838131666183472
