,maududi,believed,that,islam,needed,what,to,be,established,?
maududi,1.0000001192092896,0.22419530153274536,0.22168143093585968,0.44002339243888855,0.11253054440021515,0.19404585659503937,0.26131707429885864,0.1926235407590866,0.20222386717796326,0.2149532437324524
also,0.34876999258995056,0.34871673583984375,0.6005857586860657,0.21396127343177795,0.3422272205352783,0.42747777700424194,0.5348826050758362,0.48342031240463257,0.20417658984661102,0.21848613023757935
believed,0.22419530153274536,1.0,0.4644409120082855,0.2837423086166382,0.1671695113182068,0.32626157999038696,0.35322412848472595,0.32833608984947205,0.12161052227020264,0.17606885731220245
that,0.22168143093585968,0.4644409120082855,1.0,0.22824111580848694,0.45214173197746277,0.6297725439071655,0.5436353087425232,0.6036020517349243,0.2216063141822815,0.32716336846351624
muslim,0.4165809750556946,0.24337656795978546,0.24297045171260834,0.6905730366706848,0.14531303942203522,0.2631456255912781,0.2551989257335663,0.20231084525585175,0.21042072772979736,0.17456822097301483
society,0.2284529209136963,0.23658768832683563,0.23252169787883759,0.2036060243844986,0.12631429731845856,0.23231269419193268,0.20199917256832123,0.17743872106075287,0.21369166672229767,0.1373005360364914
could,0.16204304993152618,0.386944979429245,0.5584503412246704,0.1624378114938736,0.5366731286048889,0.4188697934150696,0.5461788773536682,0.4791525900363922,0.12967103719711304,0.3411986827850342
not,0.2161082923412323,0.338882714509964,0.6600887179374695,0.2667055130004883,0.49983495473861694,0.5449194312095642,0.5149973034858704,0.5788898468017578,0.16156615316867828,0.41942933201789856
be,0.1926235407590866,0.32833608984947205,0.6036020517349243,0.1987190544605255,0.44150373339653015,0.3929833769798279,0.4972836375236511,1.0,0.11399583518505096,0.3324260413646698
islamic,0.3724023997783661,0.2757934629917145,0.22403839230537415,0.727012574672699,0.10701757669448853,0.2204568088054657,0.1969100832939148,0.16662408411502838,0.22134019434452057,0.1692383587360382
without,0.13589143753051758,0.16554151475429535,0.3644297122955322,0.1973753124475479,0.4072335362434387,0.3181614279747009,0.37970873713493347,0.4152284264564514,0.1127093955874443,0.2928665280342102
sharia,0.43655508756637573,0.26779046654701233,0.3099101781845093,0.5505893230438232,0.19192208349704742,0.29208725690841675,0.2600368559360504,0.29372403025627136,0.21220387518405914,0.22811804711818695
",",0.3992340862751007,0.2386300414800644,0.4137537479400635,0.23459285497665405,0.29017356038093567,0.3087472915649414,0.44245919585227966,0.39254459738731384,0.22739723324775696,0.31091248989105225
and,0.38321298360824585,0.280531644821167,0.4731321930885315,0.25070106983184814,0.32021039724349976,0.31309178471565247,0.48971283435821533,0.41766801476478577,0.2369968742132187,0.20544172823429108
islam,0.44002339243888855,0.2837423086166382,0.22824111580848694,1.0000001192092896,0.1242707297205925,0.23237212002277374,0.2398901730775833,0.1987190544605255,0.1862288862466812,0.18358638882637024
required,0.17621147632598877,0.11503250151872635,0.37379229068756104,0.24739287793636322,0.6447601318359375,0.2506856620311737,0.3613971471786499,0.3677930235862732,0.24313026666641235,0.24962718784809113
the,0.30155912041664124,0.324635773897171,0.5473989248275757,0.2207694798707962,0.3064746856689453,0.42745697498321533,0.535392165184021,0.4248143136501312,0.33092597126960754,0.22068053483963013
establishment,0.20472116768360138,0.12248030304908752,0.26937738060951233,0.2493007630109787,0.21105201542377472,0.1702135056257248,0.17847758531570435,0.14947816729545593,0.6873134970664978,0.1661023646593094
of,0.32255080342292786,0.2945859134197235,0.41498205065727234,0.21728332340717316,0.27215874195098877,0.33290785551071167,0.41548454761505127,0.33904364705085754,0.2735237777233124,0.1826142966747284
an,0.25845959782600403,0.18278776109218597,0.365763783454895,0.14537638425827026,0.27356213331222534,0.2821882665157318,0.3138085603713989,0.33041056990623474,0.1547301560640335,0.19793890416622162
islamic,0.3724023997783661,0.2757934629917145,0.22403839230537415,0.727012574672699,0.10701757669448853,0.2204568088054657,0.1969100832939148,0.16662408411502838,0.22134019434452057,0.1692383587360382
state,0.2492401897907257,0.1692623794078827,0.24252457916736603,0.2002234160900116,0.2064431756734848,0.24273863434791565,0.25557461380958557,0.22221757471561432,0.22528508305549622,0.1160883978009224
.,0.3790089786052704,0.26106974482536316,0.4460422694683075,0.2825687527656555,0.31272366642951965,0.3567904531955719,0.4645031690597534,0.4383580684661865,0.23771190643310547,0.4130953550338745
